Formula,2D plasma frequency (y)
Ag2Br2N2,6.438
Ag2Br2O2,7.028
Ag2Br2S2,7.169
Ag2Br2Se2,12.621
Ag2Br4,5.368
Ag2Br6,1.4825
Ag2Cl2N2,7.282
Ag2Cl2O2,5.766
Ag2Cl2S2,8.242
Ag2Cl2Se2,8.451
Ag2Cl6,1.529
Ag2F4,1.866
Ag2I2N2,6.167
Ag2I2O2,10.122
Ag2I2S2,8.641
Ag2I2Se2,16.711
Ag2I4,6.214
Ag2I6,5.474
Ag2P2S6,3.044
Ag2P2Se6,2.768
Ag2P2Te6,3.264
Ag2S4,6.088
Ag2Se2,3.9005
Ag2Se4,5.561
Ag2Te2,6.2556666666666665
Ag2Te4,5.29
AgBr2,3.4726666666666666
AgCa2Br2O2,6.084
AgCa2I2O2,5.836
AgCl2,3.0653333333333332
AgF2,5.508
AgH2,8.259
AgI2,5.779
AgLi2,12.479
AgNi2O4,7.015
AgO2,2.839
AgSe2,19.254
AgSr2Br2O2,6.027
AgSr2Cl2O2,6.215
AgSr2I2O2,5.75
AgSr2I2S2,6.181
AgTe2,18.349
Al2Br2N2,10.733
Al2Br4,5.55
Al2Cl2N2,11.461
Al2MnS4,7.407
Al2P2Te6,6.664
Al2S2,3.3810000000000002
Al2S4,15.415
Al2Se2,3.485333333333333
Al2Se4,15.956
Al2Te2,3.5593333333333335
Al2Te4,11.264
Al2ZnS4,5.04
AlBr2,6.065
AlCl2,2.6425
AlI2,5.4864999999999995
AlNi5Br2,4.399
AlNi5Cl2,4.578
AlNi5I2,5.198
AlPd5Br2,4.708
AlPd5Cl2,4.915
AlPd5I2,5.575
AlPt5Br2,5.179
AlPt5Cl2,6.467
AlPt5I2,6.154
As2C6,7.404
As2Ge6,6.329
As2Si6,6.639
AsBr2,4.095
AsCl2,3.885
AsS2,8.029
AsSe2,8.121
AsTe2,8.45
Au2Br2N2,6.491
Au2Br2O2,5.936
Au2Br2S2,10.13
Au2Br2Se2,11.796
Au2Br4,5.201
Au2Br6,1.655
Au2Cl2N2,7.266
Au2Cl2O2,5.08
Au2Cl2Se2,11.713
Au2Cl6,1.564
Au2I2N2,6.471
Au2I2O2,7.97
Au2I2S2,9.143
Au2I2Se2,10.567
Au2I4,6.221
Au2I6,2.724
Au2O2,4.591
Au2O4,6.18
Au2P2S6,3.73
Au2P2Se6,3.665
Au2P2Te6,3.446
Au2S2,6.663333333333333
Au2S4,7.45
Au2Se2,6.4022499999999996
Au2Se4,7.158
Au2Te2,5.36275
Au2Te4,6.099
AuBr2,3.3473333333333333
AuCa2Cl2O2,6.874
AuCa2I2O2,6.508
AuCl2,3.1803333333333335
AuF2,2.803
AuH2,8.337
AuI2,4.405333333333333
AuLi2,9.685
AuO2,4.263
AuS2,6.715
AuSe2,8.2935
AuSr2Br2O2,6.995
AuSr2Cl2O2,7.155
AuSr2I2O2,6.716
AuTe2,12.043
Ba2Br2,5.596
Ba2Cl2,6.242
Ba2I2,5.182
Ba2Mn2Ge2,6.676
Ba2N,6.539
BaTe2,11.895
Bi2Br2,0.35
Bi2Br2N2,6.388
Bi2C6,6.911
Bi2Cl2,0.346
Bi2Cl2N2,7.143
Bi2F2,11.392
Bi2Ge6,6.686
Bi2Hf,13.697
Bi2I2,0.386
Bi2I2N2,11.347
Bi2In2,7.013
Bi2Nb,8.3285
Bi2Pb6,5.421
Bi2S2,3.1055
Bi2S4,12.713
Bi2Se2,1.772
Bi2Si6,6.922
Bi2Sn6,6.035
Bi2Te2,3.2889999999999997
Bi2Te4,5.421
Bi2Ti,11.2685
Bi2YO4,7.915
Bi2Zr,12.7525
Bi4Cu4,12.386
Bi6Pt3,7.743
Bi8Rh4,2.281
BiCrAs,4.158
BiCrSb,9.125
BiF2,8.028
BiH2O2,4.983
BiHfAs,9.6805
BiHfSb,13.325
BiI2,4.1594999999999995
BiMoAs,3.7495
BiMoSb,5.054
BiNbAs,7.7195
BiNbSb,8.1955
BiO2,6.192
BiS2,5.939333333333334
BiSe2,6.335999999999999
BiTaAs,8.3645
BiTaSb,9.6025
BiTe2,7.862
BiTiAs,9.818999999999999
BiTiSb,10.9515
BiVAs,6.6345
BiVSb,6.6065000000000005
BiWAs,5.3345
BiWSb,5.5805
BiZrAs,9.341000000000001
BiZrSb,12.6155
Br2Ge2,7.074
Br2Ge2O2,10.444
Br2Ge2S2,9.407
Br2Ge2Se2,9.479
Br2Sb,4.59
C6P2,7.44
C6Sb2,8.066
Ca2Br2,5.633
Ca2Cl2,6.563
Ca2CuBr2O2,5.606
Ca2CuCl2O2,5.718
Ca2CuI2O2,5.299
Ca2CuI2S2,6.721
Ca2F2,7.11
Ca2Fe2Si2,3.602
Ca2Mn2Si2,6.307
Ca2N,5.899
Ca3Cu2Br2O4,8.313
CaSe2,13.274
CaTe2,14.147
Cd2Br2,2.048
Cd2Cl2,2.645
Cd2F2,6.657
Cd2S2,2.4165
Cd2Se2,3.1285
Cd2Te2,2.8593333333333333
Cd4Br4O4,2.757
Cd4I4O4,2.829
CdSe2,15.194
CdTe2,15.664
Cl2Ge2O2,11.012
Cl2Ge2S2,10.185
Cl2Ge2Se2,10.539
Co2Br2,1.2815
Co2Br2N2,8.693
Co2Br2O2,3.77
Co2Br2S2,2.947
Co2Br2Se2,8.255
Co2Br6,1.057
Co2Cl2,3.8405
Co2Cl2N2,10.681
Co2Cl2O2,2.25
Co2Cl2S2,0.731
Co2Cl2Se2,9.476
Co2Cl6,0.7115
Co2F2,5.423
Co2I2,1.92
Co2I2N2,13.921
Co2I2O2,6.696
Co2I2S2,6.571
Co2I2Se2,7.567
Co2I6,1.2015
Co2Li2As2,7.234
Co2Li2P2,7.602
Co2Li2Sb2,7.234
Co2Na2As2,7.168
Co2Na2P2,7.476
Co2Na2Sb2,7.064
Co2O2,4.928333333333334
Co2P2S6,3.931
Co2P2Se6,2.161
Co2P2Te6,2.199
Co2S2,7.497
Co2S4,3.789
Co2S6,5.284
Co2Se2,6.757599999999999
Co2Se4,4.877
Co2Se6,5.675
Co2Te2,7.014
Co2Te4,5.545
Co2Te6,10.637
Co8Ta4Te8,3.935
CoBr2,0.8313333333333334
CoCl2,0.831
CoH2,6.044
CoH2O2,2.385
CoI2,2.8446666666666665
CoO2,4.973
CoS2,5.324
CoSe2,5.5435
CoTe2,6.1419999999999995
Cr2Br2N2,5.231
Cr2C,6.229
Cr2CO2,4.452
Cr2CS2,4.792
Cr2Cl2N2,4.49
Cr2F2,5.6955
Cr2F2N,5.549
