Formula,"Conduction band effective mass, direction 1"
Ag2Au2Cl8,1.399
Ag2Br2,0.472
Ag2Br2S4,0.828
Ag2Br2Se4,0.659
Ag2Br2Te4,1.454
Ag2Br6,-91.483
Ag2Cl2,0.4595
Ag2Cl2S4,2.252
Ag2Cl2Se4,0.681
Ag2Cl2Te4,1.291
Ag2Cl6,7.337
Ag2Cr2P4S12,1.309
Ag2F2,0.472
Ag2I2,0.3715
Ag2I2S4,0.688
Ag2I2Se4,1.133
Ag2I2Te4,1.926
Ag2MoO4,0.658
Ag2MoS4,5.48
Ag2MoSe4,3.153
Ag2MoTe4,2.122
Ag2O2,0.506
Ag2P2Se6,0.223
Ag2ReBr6,0.488
Ag2ReCl6,0.916
Ag2ReF6,0.675
Ag2ReI6,0.339
Ag2S2,0.407
Ag2Se2,0.327
Ag2Te2,0.275
Ag2WO4,1.099
Ag2WS4,-12.658
Ag2WSe4,19.12
Ag2WTe4,4.652
Ag8C4N8,1.993
AgBiP2Se6,0.265
AgGaP2Se6,0.302
AgInP2S6,0.35
AgInP2Se6,0.329
AgScP2S6,4.422
AgScP2Se6,-118.663
AgSnF6,2.415
AgVP2Se6,3.958
Al2Br2O2,0.321
Al2Br2S2,0.189
Al2Br2Se2,0.459
Al2Br6,0.912
Al2Cl2O2,0.38
Al2Cl2S2,0.19
Al2Cl2Se2,0.483
Al2Cl6,1.4795
Al2FeS4,0.776
Al2I2O2,0.319
Al2I2S2,0.192
Al2I2Se2,0.169
Al2I6,-0.935
Al2Mg2Se5,0.168
Al2MgS4,0.233
Al2MgSe4,0.172
Al2O2,0.25
Al2O4,0.433
Al2P2S6,0.313
Al2P2Se6,0.961
Al2S2,0.4655
Al2Se2,0.438
Al2Si2Te6,0.375
Al2Te2,0.5835
Al2Tl2F8,0.148
Al8Te12,-0.279
AlAs,0.118
AlLiP2S6,-13.012
AlN,0.489
AlP,0.189
AlSb,-1.265
As2,0.146
As2Br6,0.609
As2H2O10Te2,-6.313
As2I6,0.617
As2O6Sb2,1.556
As2O8P2,0.87
As2O8Sb2,0.375
As4,0.216
As4Ge4Se4,0.889
As4H2O12P2,1.182
As4O12S2,1.166
As4O6,1.4663333333333333
As4O8,1.117
As4S6,1.3085
As4Se6,1.233
As8Ge4,0.127
As8Si4,0.15
AsB,0.158
AsBrS,0.3155
AsBrSe,0.422
AsBrTe,0.648
AsClS,-1.945
AsClSe,0.792
AsClTe,0.43
AsIS,-0.648
AsISe,0.326
AsITe,0.35050000000000003
Au2Br2,0.9206666666666666
Au2Br2Se4,0.881
Au2Br2Te4,1.63
Au2Br6,5.06
Au2CaF12,1.578
Au2Cl2,0.175
Au2Cl2Te4,1.317
Au2Cl6,5.298
Au2I2,0.41200000000000003
Au2I2Se4,0.809
Au2I2Te4,0.888
Au2I6,0.361
Au2MoO4,2.477
Au2MoS4,3.861
Au2MoSe4,3.172
Au2MoTe4,0.793
Au2O2,0.913
Au2ReF6,0.968
Au2S2,0.468
Au2Se2,0.365
Au2Te2,0.164
Au2WO4,1.771
Au2WS4,1.254
Au2WSe4,0.715
Au2WTe4,0.633
Au4I4Te4,0.283
B3C10N3,0.174
BN,0.933
BP,0.19
BSb,0.074
Ba2H8O6,0.678
Ba4F4Sb4Se8,0.329
BaBr2,1.5633333333333332
BaCl2,2.2129999999999996
BaF12Sb2,0.902
BaF2,0.719
BaI2,-10.746
BeH4O4P2,7.94
Bi2,0.116
Bi2Br2,0.374
Bi2Br2O2,0.387
Bi2Br2S2,0.151
Bi2Br2Se2,0.133
Bi2Br6,0.46149999999999997
Bi2Cd2Cl2O4,0.571
Bi2Cl2,-4.118
Bi2Cl2O2,0.617
Bi2Cl2S2,0.129
Bi2Cl2Se2,0.105
Bi2Cl6,0.7155
Bi2Cu2S4,0.459
Bi2F6,1.939
Bi2Ge3O9,-0.394
Bi2I2,0.386
Bi2I2O2,0.422
Bi2I2S2,0.17
Bi2I2Se2,0.103
Bi2I6,0.05499999999999999
Bi2In2,0.029
Bi2MnTe4,0.135
Bi2O2,-2.382
Bi2O9Si3,12.588
Bi2OS2,0.225
Bi2OSe2,0.203
Bi2OTe2,0.056
Bi2P2S6,0.287
Bi2P2Se6,0.264
Bi2P2Te6,0.162
Bi2S2,4.818
Bi2S2Se,0.134
Bi2S2Te,0.025
Bi2S3,0.17
Bi2SSe2,0.153
Bi2STe2,0.053
Bi2Se2,0.9375
Bi2Se2Te,0.043
Bi2Se3,0.137
Bi2SeTe2,0.057
Bi2Te2,0.449
Bi2Te3,0.06
Bi4B4O12,2.907
Bi4Sr2O8,0.524
Bi8Rh4,0.119
BiBrS,0.39349999999999996
BiBrSe,-9.702
BiBrTe,0.14800000000000002
BiClS,0.3735
BiClSe,-16.4855
BiClTe,0.136
BiCrAs,0.135
BiCuP2Se6,0.409
BiHO6Se2,0.698
BiIS,-3.3905
BiISe,0.2765
BiITe,-1.72
Br2Ge,1.6843333333333332
Br2Ge2N2,0.248
Br2Sb2,0.082
Br6Sb2,0.741
BrSSb,-6.264
BrSbSe,0.5925
BrSbTe,0.595
C2,0.014
C2F2,0.477
C2H2,1.022
C6N2,0.453
C6N8,1.093
CF2Si,0.486
CH2Si,1.093
Ca2Br2H2,0.61
Ca2C2F2O6,2.601
Ca2Cl4H8O4,0.454
Ca2Cl4O8,0.912
Ca2I2,0.681
Ca2Sn4F12,0.92
Ca4As4,1.141
Ca4O12Te4,2.297
CaBr2,1.2590000000000001
CaCl2,1.0543333333333333
CaF2,0.755
CaF2O2,4.159
CaH2O2,0.745
CaH2S2,0.654
CaI2,-0.12966666666666668
Cd2H4O8Se2,1.044
Cd2Mn3O8,0.721
Cd2P2S6,0.259
Cd2P2Se6,0.18
Cd2P2Te6,0.54
Cd2S2,0.184
Cd2S4,0.448
Cd2Se2,0.147
Cd2Se4,0.303
Cd2Te2,0.097
Cd2Te4,0.439
Cd4I4O4,0.67
CdBr2,1.1213333333333333
CdC4Cl2H4N2,2.442
CdCl2,0.5213333333333333
CdClHO,0.858
CdF2,0.661
CdF2O2,0.525
CdGaInS4,0.176
CdH2O2,0.433
CdH2S2,0.288
CdI2,0.436
CdO2,0.72
CdPb2Cl2O2,0.606
CdS2,0.197
Cl2Ge,-0.05733333333333331
Cl2Ge2N2,0.244
Cl2Sb2,0.083
ClSSb,0.34199999999999997
ClSbSe,-0.068
ClSbTe,0.40800000000000003
Co2Br2,0.145
Co2Br4O6Sb4,2.859
Co2Br6,-4.996500000000001
Co2Cl2S2,0.059
Co2Cl6,5.6665
Co2F2O4,0.383
Co2H2O4,0.231
Co2H2S4,0.352
Co2H4O8Se2,3.222
Co2I2,0.051
Co2I6,13.072500000000002
Co4Br4O4,0.608
Co4S8,1.714
CoBr2,2.1325000000000003
CoC4Cl2H4N2,0.318
CoC4H8N2O4,4.584
CoCl2,1.866
CoCl2O8,6.067
CoF2,1.19
CoHfF6,40.659
CoRe2O8,4.293
CoZrBr6,5.037
Cr2Br2O2,0.697
Cr2Br2S2,0.218
Cr2Br2Se2,0.177
Cr2Br6,8.612
Cr2Cl2O2,0.643
Cr2Cl2S2,0.188
Cr2Cl2Se2,0.145
Cr2Cl6,3.39
Cr2Cu2O8,4.591
Cr2Cu2P4S12,2.298
Cr2F4,8.022
Cr2Ge2Te6,0.639
Cr2I2S2,0.282
Cr2I6,-10.457
Cr2Mo2S8,0.934
Cr2Mo2Se8,0.906
Cr2Mo2Te8,0.732
Cr2P2Se6,0.645
Cr2Si2Te6,0.585
Cr2W2S8,0.948
Cr2W2Se8,0.814
Cr2W2Te8,0.75
Cr3MoS8,0.764
Cr3MoSe8,0.803
Cr3MoTe8,0.692
Cr3WS8,0.74
Cr3WSe8,0.771
Cr3WTe8,0.647
CrClI,1.405
CrHO2,0.986
CrMo3S8,0.605
CrMo3Se8,0.646
CrMo3Te8,0.558
CrMoF6,0.542
CrO2,0.871
CrS2,0.872
CrSSe,0.938
CrSTe,1.104
CrSe2,0.937
CrSeTe,0.99
CrTe2,0.85
CrW3S8,0.539
CrW3Se8,0.526
CrW3Te8,0.369
Cs2Br2,0.598
Cs2C2F6O6S2,0.82
Cs2C6N6Se6,0.404
Cs2Cl2,0.698
Cs2F2,0.841
Cs2F2H6O6P2,0.634
CsC2I3N2,-25.351
Cu2As4Cl2S3,4.69
Cu2Br2,0.4095
Cu2Br2C4H4N2,4.294
Cu2Br2S4,1.049
Cu2Br2Se4,0.965
Cu2Br2Te4,1.01
Cu2Br6,11.748
Cu2C2Cl2O2,1.387
Cu2C4H4O8,1.257
Cu2C6H8I2N2,3.082
Cu2Cl2,0.5125
Cu2Cl2Se4,1.035
Cu2Cl2Te4,1.155
Cu2Cl6,14.888
Cu2F2,-11.892
Cu2F4,5.65
Cu2Ge2O6,4.296
Cu2H4O10Se2,1.468
Cu2Hg2Cl2Se2,0.265
Cu2I2,0.3055
Cu2I2S4,-2.777
Cu2I2Se4,0.745
Cu2I2Te4,0.807
Cu2I4O12,1.517
Cu2MoO4,2.801
Cu2MoSe4,5.372
Cu2MoTe4,1.217
Cu2O2,0.652
Cu2O4S,0.706
Cu2O6Si2,3.022
Cu2ReBr6,0.57
Cu2ReCl6,1.05
Cu2ReF6,0.863
Cu2ReI6,0.629
Cu2S2,0.407
Cu2S4Sb2,0.562
Cu2Sb2Se4,1.623
Cu2Se2,0.313
Cu2WO4,2.331
Cu2WS4,1.404
Cu2WSe4,-0.897
Cu2WTe4,0.917
Cu3O4P,0.525
Cu4Cl4H4O4,7.497
Cu4Cl4O4,1.282
Cu4F4H4O4,3.456
Cu4O12Te2,0.727
CuBr,0.178
CuC6H4N6O2,3.146
CuInP2Se6,0.328
CuLi2O2,1.154
CuV2O6,4.627
F2Ge,1.429
F2Ge2,0.023
F2Si2,0.176
Fe2Br6,1.4929999999999999
Fe2Cl6,1.6395
Fe2I2,1.053
Fe2P2Te6,0.328
Fe2S4,2.01
Fe2Se4,1.674
Fe2Te4,1.212
FeBr2,0.765
FeCl2,0.8175
FeF2,4.524
FeGa2S4,0.68
FeHfBr6,5.289
FeHfCl6,14.181
FeHfF6,18.98
FeHfI6,2.464
FeI2,1.28
FeSn2C6N6,3.542
FeZn2C6N6,34.574
FeZrBr6,2.91
FeZrCl6,7.643
FeZrF6,15.417
