Formula,Cond. band minimum
Ag2Au2Cl8,-4.54
Ag2Br2,-1.749
Ag2Br2S4,-2.338
Ag2Br2Se4,-2.171
Ag2Br2Te4,-1.73
Ag2Br6,-3.901
Ag2C8N6,-1.715
Ag2Cl2,-1.983
Ag2Cl2S4,-2.706
Ag2Cl2Se4,-2.315
Ag2Cl2Te4,-1.782
Ag2Cl6,-4.42
Ag2Cr2P4S12,-3.032
Ag2F2,-3.037
Ag2F4,-6.085
Ag2I2,-0.473
Ag2I2S4,-1.627
Ag2I2Se4,-1.747
Ag2I2Te4,-1.508
Ag2MoO4,-2.716
Ag2MoS4,-1.976
Ag2MoSe4,-1.636
Ag2MoTe4,-1.171
Ag2O2,-3.533
Ag2P2Se6,-1.705
Ag2ReBr6,-2.622
Ag2ReCl6,-2.757
Ag2ReF6,-2.767
Ag2ReI6,-1.97
Ag2S2,-2.895
Ag2Se2,-2.585
Ag2Te2,-2.076
Ag2V2P4S12,-3.526
Ag2WO4,-2.904
Ag2WS4,-1.563
Ag2WSe4,-1.283
Ag2WTe4,-0.897
Ag8C4N8,-2.048
AgBiP2Se6,-2.51
AgGaP2Se6,-2.496
AgInP2S6,-2.558
AgInP2Se6,-2.49
AgScP2S6,-2.159
AgScP2Se6,-2.026
AgSnF6,-7.04
AgVP2Se6,-2.755
Al2Br2O2,1.518
Al2Br2S2,-0.366
Al2Br2Se2,-0.446
Al2Br6,-0.9235
Al2Cl2O2,1.675
Al2Cl2S2,-0.19
Al2Cl2Se2,-0.436
Al2Cl6,-0.359
Al2FeS4,-0.052
Al2I2O2,1.828
Al2I2S2,-0.416
Al2I2Se2,-0.342
Al2I6,-1.1855
Al2Mg2Se5,-0.249
Al2MgS4,-0.375
Al2MgSe4,-0.789
Al2O2,0.034
Al2O4,-6.416
Al2P2S6,-0.434
Al2P2Se6,-0.645
Al2S2,-0.2125
Al2Se2,0.06849999999999999
Al2Si2Te6,-1.898
Al2Te2,0.2685
Al2Tl2F8,-3.749
Al8Te12,-1.404
AlAs,-1.965
AlLiP2S6,-2.001
AlN,-0.555
AlP,-1.131
AlSb,-1.481
As2,-0.948
As2Br6,-1.644
As2H2O10Te2,-2.425
As2I6,-1.028
As2O6Sb2,-0.35
As2O8P2,-2.912
As2O8Sb2,-1.909
As4,-0.727
As4Ge4Se4,-2.236
As4H2O12P2,-1.208
As4O12S2,-1.511
As4O6,-1.0643333333333334
As4O8,-3.938
As4S6,-2.3369999999999997
As4Se6,-2.378
As8Ge4,-1.986
As8Si4,-1.902
AsB,-1.863
AsBrS,-1.4935
AsBrSe,-1.313
AsBrTe,-1.2054999999999998
AsClS,-1.679
AsClSe,-1.526
AsClTe,-1.385
AsIS,-1.0844999999999998
AsISe,-0.9065
AsITe,-0.7769999999999999
Au2Br2,-2.068
Au2Br2Se4,-2.418
Au2Br2Te4,-1.856
Au2Br6,-3.354
Au2CaF12,-6.651
Au2Cl2,-3.066
Au2Cl2Te4,-1.928
Au2Cl6,-3.77
Au2I2,-0.638
Au2I2Se4,-2.0
Au2I2Te4,-1.601
Au2I6,-2.41
Au2MoO4,-2.494
Au2MoS4,-1.435
Au2MoSe4,-1.088
Au2MoTe4,-0.714
Au2O2,-3.092
Au2ReF6,-4.347
Au2S2,-2.326
Au2Se2,-2.117
Au2Te2,-1.2015
Au2WO4,-2.203
Au2WS4,-1.166
Au2WSe4,-0.916
Au2WTe4,-0.572
Au4I4Te4,-2.812
B3C10N3,-2.722
BN,1.023
BP,-1.953
BSb,-1.773
Ba2H8O6,-0.062
Ba4F4Sb4Se8,-0.684
BaBr2,-0.16366666666666665
BaCl2,0.0016666666666666496
BaF12Sb2,-3.033
BaF2,-0.282
BaI2,-0.07433333333333333
BeH4O4P2,0.089
Bi2,-0.667
Bi2Br2,-2.48
Bi2Br2O2,-1.354
Bi2Br2S2,-2.201
Bi2Br2Se2,-2.373
Bi2Br6,-2.8235
Bi2Cd2Cl2O4,-2.313
Bi2Cl2,-2.791
Bi2Cl2O2,-1.715
Bi2Cl2S2,-2.514
Bi2Cl2Se2,-2.66
Bi2Cl6,-3.0164999999999997
Bi2Cu2S4,-1.645
Bi2F6,-1.604
Bi2Ge3O9,-1.656
Bi2I2,-1.749
Bi2I2O2,-0.505
Bi2I2S2,-1.492
Bi2I2Se2,-1.682
Bi2I6,-2.146
Bi2In2,-2.151
Bi2MnTe4,-1.096
Bi2O2,-0.736
Bi2O9Si3,-1.074
Bi2OS2,-1.337
Bi2OSe2,-0.858
Bi2OTe2,-0.135
Bi2P2S6,-1.65
Bi2P2Se6,-1.118
Bi2P2Te6,-0.802
Bi2S2,-0.246
Bi2S2Se,-1.252
Bi2S2Te,-1.053
Bi2S3,-1.277
Bi2SSe2,-0.943
Bi2STe2,-0.43
Bi2Se2,-0.638
Bi2Se2Te,-0.799
Bi2Se3,-0.944
Bi2SeTe2,-0.455
Bi2Te2,-1.229
Bi2Te3,-0.395
Bi4B4O12,-1.112
Bi4Sr2O8,0.18
Bi8Rh4,-1.564
BiBrS,-2.364
BiBrSe,-2.24
BiBrTe,-1.984
BiClS,-2.5484999999999998
BiClSe,-2.38
BiClTe,-2.107
BiCrAs,-0.273
BiCuP2Se6,-2.599
BiHO6Se2,-1.847
BiIS,-1.914
BiISe,-1.831
BiITe,-1.6355
Br2Ge,-1.7216666666666667
Br2Ge2N2,-0.809
Br2Sb2,-1.911
Br6Sb2,-1.78
BrSSb,-1.6195
BrSbSe,-1.4505
BrSbTe,-1.24
C2,-1.912
C2F2,-0.921
C2H2,0.894
C6N2,-0.312
C6N8,-2.718
CF2Si,-2.493
CH2Si,0.565
Ca2Br2H2,-0.548
Ca2C2F2O6,-5.604
Ca2Cl4H8O4,-0.971
Ca2Cl4O8,-0.585
Ca2CoO3,0.028
Ca2I2,-0.743
Ca2Sn4F12,-0.037
Ca4As4,-1.024
Ca4O12Te4,-0.199
CaBr2,-0.34933333333333333
CaCl2,-0.26366666666666666
CaF2,-0.635
CaF2O2,-2.296
CaH2O2,0.247
CaH2S2,0.58
CaI2,-0.09133333333333334
Cd2H4O8Se2,-0.736
Cd2Mn3O8,-2.306
Cd2P2S6,-0.699
Cd2P2Se6,-0.676
Cd2P2Te6,-0.34
Cd2S2,-1.246
Cd2S4,-1.031
Cd2Se2,-1.192
Cd2Se4,-0.97
Cd2Te2,-1.202
Cd2Te4,-0.719
Cd4I4O4,-4.569
CdBr2,-1.4856666666666667
CdC4Cl2H4N2,-2.838
CdCl2,-1.6606666666666667
CdClHO,-2.323
CdF2,-3.183
CdF2O2,-3.247
CdGaInS4,-1.943
CdH2O2,-0.665
CdH2S2,-0.437
CdI2,-0.8583333333333334
CdO2,-5.077
CdPb2Cl2O2,-1.341
CdS2,-1.798
Cl2Ge,-1.9136666666666666
Cl2Ge2N2,-0.715
Cl2Sb2,-2.233
ClSSb,-1.8435000000000001
ClSbSe,-1.653
ClSbTe,-1.4035000000000002
Co2Br2,-0.452
Co2Br4O6Sb4,-2.367
Co2Br6,-2.784
Co2Cl2S2,-2.306
Co2Cl6,-3.2394999999999996
Co2F2O4,-2.966
Co2H2O4,-1.355
Co2H2S4,-0.998
Co2H4O8Se2,-2.282
Co2I2,0.299
Co2I6,-1.7710000000000001
Co4Br4O4,-3.14
Co4S8,-1.925
CoBr2,-2.8205
CoC4Cl2H4N2,-2.668
CoC4H8N2O4,-3.1
CoCl2,-3.0755
CoCl2O8,-4.602
CoF2,-3.617
CoHfF6,-3.589
CoRe2O8,-4.673
CoZrBr6,-2.231
Cr2Br2O2,-2.647
Cr2Br2S2,-1.777
Cr2Br2Se2,-1.977
Cr2Br6,-1.948
Cr2Cl2O2,-1.513
Cr2Cl2S2,-2.178
Cr2Cl2Se2,-2.33
Cr2Cl6,-2.118
Cr2Cu2O8,-5.654
Cr2Cu2P4S12,-2.777
Cr2F4,-2.568
Cr2Ge2Te6,-2.426
Cr2I2S2,-1.019
Cr2I6,-1.302
Cr2Mo2S8,-0.453
Cr2Mo2Se8,0.046
Cr2Mo2Te8,0.422
Cr2P2Se6,-0.663
Cr2Si2Te6,-2.289
Cr2Ta4O12,-3.233
Cr2W2S8,-0.333
Cr2W2Se8,0.166
Cr2W2Te8,0.508
Cr3MoS8,-0.602
Cr3MoSe8,-0.11
Cr3MoTe8,0.283
Cr3WS8,-0.546
Cr3WSe8,-0.055
Cr3WTe8,0.329
CrClI,-1.443
CrHO2,-2.596
CrMo3S8,-0.235
CrMo3Se8,0.232
CrMo3Te8,0.556
CrMoF6,-4.21
CrO2,-3.185
CrS2,-0.667
CrSSe,-0.472
CrSTe,-0.295
CrSe2,-0.178
CrSeTe,0.008
CrTe2,0.225
CrW3S8,0.043
CrW3Se8,0.483
CrW3Te8,0.72
Cs2Br2,-0.195
Cs2C2F6O6S2,0.659
Cs2C6N6Se6,-1.836
Cs2Cl2,-0.005
Cs2F2,0.277
Cs2F2H6O6P2,0.393
CsC2I3N2,-0.994
Cu2As4Cl2S3,-2.395
Cu2Br2,-0.786
Cu2Br2C4H4N2,-2.48
Cu2Br2S4,-2.409
Cu2Br2Se4,-2.105
Cu2Br2Te4,-1.562
Cu2Br6,-3.656
Cu2C2Cl2O2,-1.699
Cu2C4H4O8,-4.471
Cu2C6H8I2N2,-2.128
Cu2Cl2,-1.2365
Cu2Cl2Se4,-2.196
Cu2Cl2Te4,-1.609
Cu2Cl6,-4.232
Cu2F2,-4.102
Cu2F4,-5.739
Cu2Ge2O6,-4.543
Cu2H4O10Se2,-5.497
Cu2Hg2Cl2Se2,-2.902
Cu2I2,0.5615
Cu2I2S4,-2.042
Cu2I2Se4,-1.794
Cu2I2Te4,-1.372
Cu2I4O12,-3.319
Cu2MoO4,-2.215
Cu2MoSe4,-1.361
Cu2MoTe4,-0.982
Cu2O2,-3.752
Cu2O4S,-2.356
Cu2O6Si2,-4.233
Cu2PtC6N8,-4.186
Cu2ReBr6,-2.19
Cu2ReCl6,-2.322
Cu2ReF6,-2.341
Cu2ReI6,-1.701
Cu2S2,-2.887
Cu2S4Sb2,-1.752
Cu2Sb2Se4,-1.972
Cu2Se2,-2.371
Cu2WO4,-1.678
Cu2WS4,-1.316
Cu2WSe4,-0.981
Cu2WTe4,-0.66
Cu3O4P,-3.886
Cu4Cl4H4O4,-4.624
Cu4Cl4O4,-5.543
Cu4F4H4O4,-4.082
Cu4Li2V2O12,-5.748
Cu4O12Te2,-5.941
Cu4O12Te4,-3.821
CuBr,-2.694
CuC6H4N6O2,-4.011
CuInP2Se6,-2.494
CuLi2O2,-1.736
CuV2O6,-6.268
F2Ge,-2.261
F2Ge2,-4.41
F2Si2,-3.182
Fe2Br6,-3.0425000000000004
Fe2Cl6,-3.5575
Fe2I2,0.36250000000000004
Fe2Mo2Cl2O8,-5.397
Fe2P2Te6,-0.589
Fe2S4,-1.102
Fe2Se4,-0.483
Fe2Te4,0.102
Fe2W2Cl2O8,-5.263
FeBr2,-1.1604999999999999
FeCl2,-1.3275000000000001
FeF2,-3.341
FeGa2S4,-0.364
FeHfBr6,-1.175
FeHfCl6,-1.357
FeHfF6,-2.071
FeHfI6,-0.646
FeI2,-1.1416666666666668
FeMn2C6N6,-2.771
FeSn2C6N6,-0.849
FeZn2C6N6,-1.136
FeZrBr6,-1.317
FeZrCl6,-1.489
FeZrF6,-2.189
FeZrI6,-0.849
Ga2Br2,-1.447
Ga2Br2O2,-0.526
Ga2Br2S2,-1.494
Ga2Br2Se2,-1.762
Ga2Br6,-2.226
Ga2Cl2,-1.233
Ga2Cl2O2,-0.666
Ga2Cl2S2,-1.628
Ga2Cl2Se2,-1.914
Ga2Cl2Te2,-2.565
Ga2Cl6,-1.9685
Ga2F4H10N4,-0.531
Ga2Ge2Te2,-1.433
Ga2H2O8Se2,-0.776
Ga2I2,-1.465
Ga2I2O2,0.044
Ga2I2S2,-1.227
Ga2I2Se2,-1.337
Ga2I6,-2.0955
Ga2In2S6,-2.136
Ga2NiS4,-1.164
Ga2O2,-1.824
Ga2P2Te6,-0.635
Ga2S2,-0.264
Ga2Se2,-1.0723333333333334
Ga2Te2,-0.19749999999999998
GaAs,-2.139
GaN,-1.546
GaP,-1.806
Ge2,-2.318
Ge2H2,-1.99
Ge2P2S6,-0.881
Ge2P2Se6,-0.761
Ge2P2Te6,-0.412
Ge2S2,-0.271
Ge2S4,-1.614
Ge2Se2,-1.1265
Ge2Te2,0.186
Ge2Te4,-2.323
Ge3O9Sb2,-1.591
GeH2O2,-0.331
GeI2,-1.3795
GeO,-1.781
GeO2,-2.6620000000000004
GeS,-1.054
GeS2,-1.6955
GeSe,-0.916
GeSe2,-1.428
GeTe,-0.853
H2Si2,-1.123
H4O10Si4,-1.152
H4O12Te4,-2.792
Hf2Br2N2,-0.44900000000000007
Hf2Br4,0.438
Hf2CO2,0.569
Hf2Cl2N2,-0.5955
Hf2Cl4,0.29
Hf2Ge2Te8,-1.658
Hf2I2N2,0.008500000000000008
Hf2I4,0.828
Hf2O6,0.435
Hf2P2S6,-1.223
Hf2P2Se6,-1.028
Hf2S2,0.363
Hf2S6,0.176
Hf2Se2,0.238
Hf2Se6,0.248
Hf2Te10,-2.267
Hf2Te2,0.685
Hf2Ti2S8,-1.952
Hf2Ti2Se8,-1.53
Hf2Ti2Te8,-1.001
Hf2Zr2S8,-1.801
Hf2Zr2Se8,-1.41
Hf2Zr2Te8,-0.971
Hf3C2O2,1.034
Hf3N2O2,2.577
Hf3TiS8,-1.861
Hf3TiSe8,-1.465
Hf3TiTe8,-0.971
Hf3ZrS8,-1.767
Hf3ZrSe8,-1.38
Hf3ZrTe8,-0.942
HfBr2,1.361
HfBrCl,1.378
HfBrI,1.748
HfCl2,1.244
HfClI,1.657
HfH2O2,-0.242
HfI2,1.844
HfMnF6,-2.168
HfMnI6,-0.989
HfNa2H6O6,-0.597
HfNiBr6,-2.279
HfNiCl6,-2.603
HfNiI6,-1.513
HfO2,-1.0813333333333333
HfS2,-1.6576666666666666
HfSSe,-1.5
HfSTe,-1.004
HfSe2,-1.3443333333333334
HfSeTe,-0.951
HfTe2,-1.163
HfTi3S8,-2.027
HfTi3Se8,-1.567
HfTi3Te8,-0.991
HfZr3S8,-1.803
HfZr3Se8,-1.441
HfZr3Te8,-0.981
Hg2Br2,-1.761
Hg2Cl2,-2.01
Hg2GeO4,-3.314
Hg2I2,-0.672
Hg2K4Cl8,-2.763
Hg2O4,-4.372
Hg2P2S6,-1.412
Hg2P2Se6,-1.21
Hg2P2Te6,-0.658
Hg2Pt4Se6,-2.112
Hg2Se2,-2.253
Hg2Te2,-1.7045
Hg2V2O6,-3.877
Hg3B2O6,-2.349
Hg4I8,-3.172
Hg4K2Cl6O6S2,-1.897
Hg4Mo2O8,-2.86
Hg4W2O8,-2.031
HgBr2,-2.295666666666667
HgCl2,-2.623333333333333
HgF2,-4.386
HgH2O2,-1.774
HgH2S2,-1.578
HgI2,-1.632
HgO,-3.116
HgO2,-4.42
HgS,-3.42
HgSe,-3.37
HgSe2,-2.234
HgTe,-2.884
I2Sb,-0.399
I2Sb2,-1.153
I6Sb2,-1.235
ISSb,-1.1509999999999998
ISbSe,-1.0115
ISbTe,-0.833
In2Br2,-1.0074999999999998
In2Br2O2,-1.017
In2Br2S2,-1.215
In2Br2Se2,-1.469
In2Br6,-2.1185
In2Cl2,-0.9849999999999999
In2Cl2O2,-1.329
In2Cl2S2,-1.472
In2Cl2Se2,-1.737
In2Cl6,-2.0965
In2F2,-0.981
In2I2,-0.7805000000000001
In2I2O2,-0.277
In2I2S2,-0.82
In2I2Se2,-1.069
In2I6,-1.8815
In2O2,-2.121
In2P2S6,-1.184
In2S2,-0.6635
In2S4,-1.996
In2Se2,-1.1426666666666667
In2Se3,-2.887
In2Si2Te6,-2.305
In2Te2,-0.198
In2Te4,-2.772
In2Te5,-2.086
In2ZnS4,-2.189
In4Br4Te4,-2.651
In4Br8,-2.395
In4I4Te4,-2.42
InAs,-2.211
InLiI4O12,-1.928
InN,-2.175
InNaI4O12,-2.448
InP,-2.034
InSb,-2.029
Ir2Br2O2,-0.142
Ir2Br2S2,-0.734
Ir2Br2Se2,-1.127
Ir2Br6,-1.366
Ir2Cl2O2,-0.514
Ir2Cl2S2,-1.206
Ir2Cl2Se2,-1.571
Ir2Cl6,-1.7905
Ir2I2S2,0.095
Ir2I6,-0.599
Ir2Nb2Te8,-2.052
Ir2O2,-0.042
Ir2P2S6,-1.297
Ir2P2Se6,-0.971
Ir2P2Te6,-0.235
Ir2S2,0.78
Ir2Se2,1.1413333333333333
Ir2Ta2Te8,-1.918
Ir4S8,-1.061
Ir4Se8,-0.423
Ir4Te8,-0.161
K2Br2,-0.593
K2C2H2O6,0.095
K2C2O6,-4.822
K2C4,-4.705
K2C4H6O6,0.588
K2C6H6O6,-1.218
K2Cl2,-0.353
K2Cl2O6,0.386
K2F2,-0.152
K2I2,-0.568
K2N2O6,-1.609
K2Os2Br8N2O4,-4.417
K2Os2F10N2O2,-3.629
K2Pt2Cl6N2,-4.963
Li2Cl2O4,-0.966
Li2F2O2,-2.449
Li2F2S2,-2.314
Li2H2O2,-0.321
Li2H2S2,-0.043
Li2H4N2,-0.824
Li2H4N2O6,-2.144
Li2PtH6O6,-0.713
Li2V4O10,-4.053
Li4CO4,-0.125
Li4O8Sb4,-0.243
Li6H2O8Te2,-0.112
LiC5H5N2O5,-2.201
Mg2Cl4,-1.608
Mg2Mo2O12Te2,-2.04
Mg2P2S6,-1.805
Mg2P2Se6,-1.918
MgB2H8,-0.835
MgBr2,-0.06500000000000002
MgCl2,-0.38033333333333336
MgF2O2,-2.339
MgF2S2,-1.852
MgH2O2,0.188
MgH2S2,0.546
MgI2,0.2955
MgNa2H4O8S2,0.172
Mn2Br2S4Sb2,-2.624
Mn2Br2Sb2Se4,-2.642
Mn2Br6,-3.253
Mn2Cl2N2,-2.099
Mn2Cl2S4Sb2,-2.769
Mn2Cl6,-3.2455000000000003
Mn2H4O8S2,-0.736
Mn2I2Sb2Se4,-2.593
Mn2I6,-2.266
Mn2Mo2O12Te2,-2.002
Mn2O8Se2,-3.556
Mn2P2S6,-3.155
Mn2P2Se6,-2.792
MnBr2,-1.6446666666666667
MnCl2,-1.8116666666666668
MnF12Sb2,-4.044
MnH2O2,-0.157
MnI2,-1.1280000000000001
MnNa2F3O7P2,-6.021
MnO2,-3.55
MnRe2O8,-3.598
