Formula,Conduction band minimum (HSE06)
Ag2Au2Cl8,-4.274
Ag2Br2,-1.498
Ag2Br2S4,-2.159
Ag2Br2Se4,-1.995
Ag2Br2Te4,-1.521
Ag2Br6,-4.084
Ag2Cl2,-1.6795
Ag2Cl2S4,-2.611
Ag2Cl2Se4,-2.142
Ag2Cl2Te4,-1.579
Ag2Cl6,-4.5
Ag2F2,-2.8529999999999998
Ag2I2,-0.1965
Ag2I2S4,-1.342
Ag2I2Te4,-1.296
Ag2MoO4,-2.357
Ag2MoS4,-1.451
Ag2MoSe4,-1.141
Ag2MoTe4,-0.752
Ag2O2,-3.718
Ag2S2,-2.938
Ag2Se2,-2.629
Ag2Te2,-2.108
Ag2WO4,-2.536
Ag2WS4,-1.161
Ag2WSe4,-0.913
Ag2WTe4,-0.57
AgBiP2Se6,-2.242
AgGaP2Se6,-2.304
AgInP2S6,-2.269
AgInP2Se6,-2.27
AgScP2S6,-1.465
AgScP2Se6,-1.526
Al2Br2O2,1.932
Al2Br2S2,-0.039
Al2Br2Se2,-0.168
Al2Br6,-0.566
Al2Cl2O2,2.126
Al2Cl2S2,0.164
Al2Cl2Se2,-0.13
Al2Cl6,0.10650000000000004
Al2FeS4,0.392
Al2I2O2,2.222
Al2I2S2,-0.128
Al2I2Se2,-0.113
Al2I6,-0.9335
Al2Mg2Se5,0.086
Al2MgS4,0.029
Al2MgSe4,-0.456
Al2O2,0.193
Al2P2S6,-0.08
Al2P2Se6,-0.311
Al2S2,0.043500000000000004
Al2Se2,0.305
Al2Si2Te6,-1.681
Al2Te2,0.511
Al8Te12,-1.158
AlAs,-1.627
AlLiP2S6,-1.595
AlN,-0.303
AlSb,-1.254
As2,-0.726
As2Br6,-1.39
As2H2O10Te2,-1.975
As2I6,-0.805
As2O6Sb2,-0.021
As4,-0.522
As4Ge4Se4,-1.972
As4H2O12P2,-0.744
As4O12S2,-1.043
As4O6,-0.6326666666666667
As4S6,-2.104
As4Se6,-2.086
As8Ge4,-1.761
As8Si4,-1.657
AsB,-1.648
AsBrS,-1.266
AsBrSe,-1.1155
AsBrTe,-1.0245
AsClS,-1.427
AsClSe,-1.309
AsClTe,-1.186
AsIS,-0.8885000000000001
AsISe,-0.7265
AsITe,-0.6135
Au2Br2,-1.8383333333333336
Au2Br2Se4,-2.36
Au2Br2Te4,-1.694
Au2Br6,-3.269
Au2Cl2,-2.931
Au2Cl2Te4,-1.763
Au2Cl6,-3.539
Au2I2,-0.383
Au2I2Se4,-1.897
Au2I2Te4,-1.429
Au2MoO4,-1.857
Au2MoS4,-0.999
Au2MoSe4,-0.77
Au2MoTe4,-0.468
Au2O2,-2.908
Au2ReF6,-5.212
Au2S2,-2.091
Au2Se2,-1.954
Au2Te2,-1.1255
Au2WO4,-1.57
Au2WS4,-0.81
Au2WSe4,-0.608
Au2WTe4,-0.332
Au4I4Te4,-2.701
BN,1.219
BP,-1.72
BSb,-1.642
Ba4F4Sb4Se8,-0.511
BaBr2,0.11599999999999999
BaCl2,0.29633333333333334
BaF12Sb2,-2.595
BaF2,-0.014
BaI2,0.221
Bi2,-0.769
Bi2Br2,-2.293
Bi2Br2O2,-1.103
Bi2Br2S2,-2.029
Bi2Br2Se2,-2.255
Bi2Br6,-2.576
Bi2Cd2Cl2O4,-1.976
Bi2Cl2,-2.583
Bi2Cl2O2,-1.442
Bi2Cl2S2,-2.327
Bi2Cl2Se2,-2.537
Bi2Cl6,-2.7185
Bi2Cu2S4,-1.779
Bi2F6,-1.206
Bi2I2,-1.588
Bi2I2O2,-0.275
Bi2I2S2,-1.332
Bi2I2Se2,-1.575
Bi2I6,-1.948
Bi2In2,-2.243
Bi2O2,-0.385
Bi2OS2,-1.195
Bi2OSe2,-0.725
Bi2OTe2,-0.031
Bi2P2S6,-1.408
Bi2P2Se6,-0.875
Bi2P2Te6,-0.586
Bi2S2,-0.28900000000000003
Bi2S2Se,-1.112
Bi2S2Te,-0.9
Bi2S3,-1.128
Bi2SSe2,-0.82
Bi2STe2,-0.304
Bi2Se2,-0.41566666666666663
Bi2Se3,-0.83
Bi2SeTe2,-0.34
Bi2Te2,-0.32
Bi2Te3,-0.295
Bi4B4O12,-0.656
Bi4Sr2O8,0.45
Bi8Rh4,-1.696
BiBrS,-2.11
BiBrSe,-2.0145
BiBrTe,-1.7545000000000002
BiClS,-2.2795
BiClSe,-2.138
BiClTe,-1.8619999999999999
BiCuP2Se6,-2.293
BiIS,-1.6795
BiISe,-1.62
BiITe,-1.4395
Br2Ge,-1.4716666666666667
Br2Ge2N2,-0.533
Br2Sb2,-1.875
Br6Sb2,-1.532
BrSSb,-1.425
BrSbSe,-1.2665
BrSbTe,-1.0585
C2,-1.877
C2F2,-0.262
C2H2,1.123
C6N2,-0.006
CF2Si,-2.021
CH2Si,0.987
Ca2Br2H2,0.18
Ca2Cl4H8O4,-0.644
Ca2Cl4O8,0.01
Ca2Sn4F12,0.212
Ca4As4,-0.715
Ca4O12Te4,0.126
CaBr2,0.14233333333333334
CaCl2,0.26766666666666666
CaF2,-0.335
CaH2S2,0.861
CaI2,0.44166666666666665
Cd2H4O8Se2,-0.412
