Formula,Dir. band gap
Ag2Au2Cl8,0.979
Ag2Br2,1.779
Ag2Br2S4,1.167
Ag2Br2Se4,1.243
Ag2Br2Te4,1.242
Ag2Br6,0.024
Ag2C8N6,3.413
Ag2Cl2,1.7845
Ag2Cl2S4,1.186
Ag2Cl2Se4,1.343
Ag2Cl2Te4,1.333
Ag2Cl6,0.1335
Ag2Cr2P4S12,1.012
Ag2F2,1.5505
Ag2F4,0.086
Ag2I2,1.8210000000000002
Ag2I2S4,1.188
Ag2I2Se4,1.124
Ag2I2Te4,1.099
Ag2MoO4,2.089
Ag2MoS4,1.211
Ag2MoSe4,0.97
Ag2MoTe4,0.618
Ag2O2,0.759
Ag2P2Se6,0.087
Ag2ReBr6,0.604
Ag2ReCl6,0.78
Ag2ReF6,1.041
Ag2ReI6,0.17
Ag2S2,0.6775
Ag2Se2,0.5955
Ag2Te2,0.32566666666666666
Ag2V2P4S12,0.04
Ag2WO4,1.95
Ag2WS4,1.609
Ag2WSe4,1.317
Ag2WTe4,0.885
Ag8C4N8,1.61
AgBiP2Se6,1.146
AgGaP2Se6,0.91
AgInP2S6,1.581
AgInP2Se6,0.997
AgScP2S6,2.033
AgScP2Se6,1.68
AgSnF6,0.764
AgVP2Se6,0.404
Al2Br2O2,4.376
Al2Br2S2,2.263
Al2Br2Se2,1.642
Al2Br6,3.2055
Al2Cl2O2,5.981
Al2Cl2S2,2.334
Al2Cl2Se2,1.606
Al2Cl6,4.668
Al2FeS4,0.799
Al2I2O2,2.279
Al2I2S2,1.619
Al2I2Se2,1.493
Al2I6,1.446
Al2Mg2Se5,1.114
Al2MgS4,2.048
Al2MgSe4,1.064
Al2O2,0.764
Al2O4,0.259
Al2P2S6,1.804
Al2P2Se6,1.039
Al2S2,1.8166666666666667
Al2Se2,1.7850000000000001
Al2Si2Te6,1.339
Al2Te2,1.5060000000000002
Al2Tl2F8,2.255
Al8Te12,1.863
AlAs,2.144
AlLiP2S6,2.974
AlN,3.606
AlP,2.574
AlSb,1.564
As2,1.805
As2Br6,2.649
As2H2O10Te2,3.44
As2I6,2.013
As2O6Sb2,4.041
As2O8P2,4.367
As2O8Sb2,3.395
As4,0.886
As4Ge4Se4,1.74
As4H2O12P2,4.556
As4O12S2,4.456
As4O6,4.021999999999999
As4O8,3.232
As4S6,2.359
As4Se6,1.892
As8Ge4,1.201
As8Si4,1.427
AsB,0.757
AsBrS,1.835
AsBrSe,1.6875
AsBrTe,1.5375
AsClS,2.0945
AsClSe,1.919
AsClTe,1.721
AsIS,1.0215
AsISe,0.9954999999999999
AsITe,0.902
Au2Br2,0.983
Au2Br2Se4,0.869
Au2Br2Te4,1.064
Au2Br6,0.058
Au2CaF12,1.569
Au2Cl2,0.019
Au2Cl2Te4,1.217
Au2Cl6,0.1255
Au2I2,0.8049999999999999
Au2I2Se4,0.806
Au2I2Te4,0.834
Au2I6,0.018
Au2MoO4,2.699
Au2MoS4,0.814
Au2MoSe4,0.656
Au2MoTe4,0.428
Au2O2,0.2195
Au2ReF6,0.328
Au2S2,0.535
Au2Se2,0.35975
Au2Te2,0.33299999999999996
Au2WO4,2.992
Au2WS4,1.143
Au2WSe4,0.942
Au2WTe4,0.646
Au4I4Te4,1.144
B3C10N3,0.862
BN,4.667
BP,0.898
BSb,0.314
Ba2H8O6,4.228
Ba4F4Sb4Se8,1.468
BaBr2,4.567333333333333
BaCl2,5.219666666666666
BaF12Sb2,4.966
BaF2,5.671
BaI2,3.813
BeH4O4P2,6.091
Bi2,0.672
Bi2Br2,0.456
Bi2Br2O2,1.867
Bi2Br2S2,1.122
Bi2Br2Se2,0.854
Bi2Br6,1.967
Bi2Cd2Cl2O4,2.947
Bi2Cl2,0.492
Bi2Cl2O2,2.132
Bi2Cl2S2,1.205
Bi2Cl2Se2,0.885
Bi2Cl6,2.4295
Bi2Cu2S4,0.154
Bi2F6,4.353
Bi2Ge3O9,3.374
Bi2I2,0.388
Bi2I2O2,1.43
Bi2I2S2,0.992
Bi2I2Se2,0.8
Bi2I6,1.284
Bi2In2,0.196
Bi2MnTe4,0.212
Bi2O2,0.296
Bi2O9Si3,3.769
Bi2OS2,0.745
Bi2OSe2,0.674
Bi2OTe2,0.249
Bi2P2S6,0.689
Bi2P2Se6,0.711
Bi2P2Te6,0.41
Bi2S2,0.11425
Bi2S2Se,0.831
Bi2S2Te,0.021
Bi2S3,0.857
Bi2SSe2,0.636
Bi2STe2,0.206
Bi2Se2,0.18875
Bi2Se2Te,0.111
Bi2Se3,0.63
Bi2SeTe2,0.237
Bi2Te2,0.083
Bi2Te3,0.209
Bi4B4O12,2.919
Bi4Sr2O8,2.794
Bi8Rh4,0.091
BiBrS,1.316
BiBrSe,1.062
BiBrTe,0.5755
BiClS,1.4329999999999998
BiClSe,1.1495
BiClTe,0.565
BiCrAs,0.027
BiCuP2Se6,1.035
BiHO6Se2,3.186
BiIS,0.631
BiISe,0.621
BiITe,0.449
Br2Ge,2.611
Br2Ge2N2,1.5
Br2Sb2,0.222
Br6Sb2,2.476
BrSSb,1.7965
BrSbSe,1.5995
BrSbTe,1.4100000000000001
C2F2,3.165
C2H2,3.46
C6N2,1.498
C6N8,1.391
CF2Si,1.935
CH2Si,3.781
Ca2Br2H2,4.203
Ca2C2F2O6,1.109
Ca2Cl4H8O4,5.762
Ca2Cl4O8,2.864
Ca2CoO3,0.102
Ca2I2,0.517
Ca2Sn4F12,4.067
Ca4As4,0.998
Ca4O12Te4,4.029
CaBr2,4.671333333333333
CaCl2,5.446666666666666
CaF2,6.525
CaF2O2,2.971
CaH2O2,3.713
CaH2S2,3.815
CaI2,3.8053333333333335
Cd2H4O8Se2,4.104
Cd2Mn3O8,1.144
Cd2P2S6,2.315
Cd2P2Se6,1.508
Cd2P2Te6,0.82
Cd2S2,0.893
Cd2S4,1.736
Cd2Se2,0.701
Cd2Se4,1.388
Cd2Te2,0.49266666666666664
Cd2Te4,1.141
Cd4I4O4,0.056
CdBr2,2.7876666666666665
CdC4Cl2H4N2,2.318
CdCl2,3.5376666666666665
CdClHO,2.517
CdF2,3.873
CdF2O2,1.719
CdGaInS4,0.206
CdH2O2,2.244
CdH2S2,2.526
CdI2,2.1406666666666667
CdO2,0.271
CdPb2Cl2O2,2.869
CdS2,0.6795
Cl2Ge,3.020666666666667
Cl2Ge2N2,1.851
Cl2Sb2,0.218
ClSSb,1.907
ClSbSe,1.7505
ClSbTe,1.5135
Co2Br2,0.0325
Co2Br4O6Sb4,0.867
Co2Br6,0.5155
Co2Cl2S2,0.008
Co2Cl6,0.579
Co2F2O4,0.536
Co2H2O4,0.391
Co2H2S4,0.508
