Formula,Direct band gap (HSE06)
Ag2Au2Cl8,2.375
Ag2Br2,3.027
Ag2Br2S4,2.242
Ag2Br2Se4,2.267
Ag2Br2Te4,2.174
Ag2Br6,0.831
Ag2Cl2,3.2560000000000002
Ag2Cl2S4,2.252
Ag2Cl2Se4,2.423
Ag2Cl2Te4,2.301
Ag2Cl6,1.278
Ag2F2,3.331
Ag2I2,2.8520000000000003
Ag2I2S4,2.223
Ag2I2Te4,1.947
Ag2MoO4,3.576
Ag2MoS4,2.324
Ag2MoSe4,1.937
Ag2MoTe4,1.332
Ag2O2,1.829
Ag2S2,1.891
Ag2Se2,0.7995
Ag2Te2,0.6295
Ag2WO4,3.459
Ag2WS4,2.709
Ag2WSe4,2.27
Ag2WTe4,1.592
AgBiP2Se6,2.047
AgGaP2Se6,1.753
AgInP2S6,2.71
AgInP2Se6,1.904
AgScP2S6,3.453
AgScP2Se6,2.778
Al2Br2O2,5.572
Al2Br2S2,3.21
Al2Br2Se2,2.416
Al2Br6,4.3445
Al2Cl2O2,7.372
Al2Cl2S2,3.303
Al2Cl2Se2,2.399
Al2Cl6,6.1395
Al2FeS4,2.649
Al2I2O2,3.19
Al2I2S2,2.445
Al2I2Se2,2.239
Al2I6,2.2545
Al2Mg2Se5,2.024
Al2MgS4,3.143
Al2MgSe4,1.984
Al2O2,2.101
Al2P2S6,2.61
Al2P2Se6,1.652
Al2S2,3.5545
Al2Se2,3.475
Al2Si2Te6,1.926
Al2Te2,2.968
Al8Te12,2.576
AlAs,2.967
AlLiP2S6,4.036
AlN,4.875
AlSb,2.028
As2,2.451
As2Br6,3.5
As2H2O10Te2,4.89
As2I6,2.749
As2O6Sb2,5.295
As4,1.42
As4Ge4Se4,2.515
As4H2O12P2,6.004
As4O12S2,5.874
As4O6,5.322
As4S6,3.37
As4Se6,2.717
As8Ge4,1.751
As8Si4,2.023
AsB,1.188
AsBrS,2.539
AsBrSe,2.3335
AsBrTe,2.154
AsClS,2.824
AsClSe,2.6180000000000003
AsClTe,2.3845
AsIS,1.683
AsISe,1.6045
AsITe,1.4815
Au2Br2,1.859
Au2Br2Se4,1.509
Au2Br2Te4,1.816
Au2Br6,0.891
Au2Cl2,0.777
Au2Cl2Te4,2.001
Au2Cl6,1.301
Au2I2,1.6099999999999999
Au2I2Se4,1.405
Au2I2Te4,1.464
Au2MoO4,4.227
Au2MoS4,1.626
Au2MoSe4,1.377
Au2MoTe4,0.979
Au2O2,1.328
Au2ReF6,0.557
Au2S2,2.373
Au2Se2,1.039
Au2Te2,0.615
Au2WO4,4.491
Au2WS4,1.947
Au2WSe4,1.645
Au2WTe4,1.182
Au4I4Te4,1.697
BN,6.129
BP,1.362
BSb,0.551
Ba4F4Sb4Se8,2.055
BaBr2,5.701666666666667
BaCl2,6.525333333333333
BaF12Sb2,7.344
BaF2,7.7
BaI2,4.786666666666666
Bi2,0.667
Bi2Br2,1.667
Bi2Br2O2,2.789
Bi2Br2S2,1.738
Bi2Br2Se2,1.355
Bi2Br6,2.9495
Bi2Cd2Cl2O4,4.145
Bi2Cl2,1.671
Bi2Cl2O2,3.175
Bi2Cl2S2,1.848
Bi2Cl2Se2,1.392
Bi2Cl6,3.4755000000000003
Bi2Cu2S4,0.896
Bi2F6,5.941
Bi2I2,1.477
Bi2I2O2,2.194
Bi2I2S2,1.569
Bi2I2Se2,1.29
Bi2I6,2.0535
Bi2In2,0.181
Bi2O2,1.318
Bi2OS2,1.351
Bi2OSe2,1.246
Bi2OTe2,0.7
Bi2P2S6,1.35
Bi2P2Se6,1.192
Bi2P2Te6,0.819
Bi2S2,0.6214999999999999
Bi2S2Se,1.416
Bi2S2Te,0.528
Bi2S3,1.4
Bi2SSe2,1.126
Bi2STe2,0.702
Bi2Se2,0.5356666666666667
Bi2Se3,1.089
Bi2SeTe2,0.73
Bi2Te2,0.49749999999999994
Bi2Te3,0.662
Bi4B4O12,4.321
Bi4Sr2O8,4.068
Bi8Rh4,0.143
BiBrS,2.083
BiBrSe,1.737
BiBrTe,1.174
BiClS,2.2325
BiClSe,1.8649999999999998
BiClTe,1.1745
BiCuP2Se6,2.387
BiIS,1.417
BiISe,1.322
BiITe,1.0465
Br2Ge,3.467
Br2Ge2N2,2.54
Br2Sb2,0.439
Br6Sb2,3.232
BrSSb,2.4515000000000002
BrSbSe,2.2135000000000002
BrSbTe,2.0175
C2F2,4.909
C2H2,4.421
C6N2,2.264
CF2Si,3.306
CH2Si,4.871
Ca2Br2H2,5.531
Ca2Cl4H8O4,7.148
Ca2Cl4O8,4.669
Ca2Sn4F12,5.111
Ca4As4,1.585
Ca4O12Te4,5.441
CaBr2,5.940666666666666
CaCl2,6.944333333333333
CaF2,8.701
CaH2S2,4.861
CaI2,4.9479999999999995
Cd2H4O8Se2,5.485
Cd2P2S6,3.341
Cd2P2Se6,2.369
Cd2P2Te6,1.472
Cd2S2,2.117
Cd2S4,2.603
Cd2Se2,2.197
Cd2Se4,2.258
Cd2Te2,1.4045
Cd2Te4,1.839
Cd4I4O4,0.097
CdBr2,3.8729999999999998
CdC4Cl2H4N2,3.798
CdCl2,4.835333333333334
CdClHO,3.774
CdF2,5.993
CdF2O2,3.796
CdGaInS4,1.34
CdH2O2,3.883
CdH2S2,3.599
CdI2,3.021333333333333
CdO2,1.237
CdPb2Cl2O2,3.928
CdS2,2.395
Cl2Ge,4.0103333333333335
Cl2Ge2N2,2.954
Cl2Sb2,0.431
ClSSb,2.5805
ClSbSe,2.387
ClSbTe,2.146
Co2Br2O2,0.801
Co2Br2S2,0.428
Co2Br6,3.143
Co2Cl2O2,1.027
Co2Cl2S2,0.29
Co2Cl6,3.602
Co2F2O4,2.484
Co2H2O4,2.596
Co2H2S4,1.315
Co2I2S2,0.579
Co2I6,1.985
Co4Br4O4,1.702
Co4S8,0.781
CoBr2,3.2495
CoCl2,3.242
CoCl2O8,0.767
CoZrBr6,0.379
Cr2Br2S2,2.087
Cr2Br2Se2,1.116
Cr2Br6,3.48
Cr2Cl2O2,3.12
Cr2Cl2S2,2.148
Cr2Cl2Se2,1.015
Cr2Cl6,4.048
Cr2I2S2,1.681
Cr2I2Se2,0.997
Cr2I6,2.091
Cr2Mo2Te8,0.98
Cr2P2Se6,1.297
Cr2S4,0.132
Cr2Se4,0.105
Cr2W2S8,1.442
Cr2W2Se8,1.203
Cr2W2Te8,0.876
Cr3MoTe8,0.893
Cr3WTe8,0.841
CrMo3Se8,1.432
CrMo3Te8,1.105
CrO2,2.046
CrS2,1.351
CrSSe,1.241
CrSTe,0.608
CrSe2,1.128
CrSeTe,0.994
CrTe2,0.869
CrW3Se8,1.333
CrW3Te8,0.937
Cs2Br2,5.145
Cs2C6N6Se6,2.879
Cs2Cl2,5.654
Cs2F2,6.059
Cu2As4Cl2S3,2.91
Cu2Br2,3.449
Cu2Br2C4H4N2,2.97
Cu2Br2S4,2.203
Cu2Br2Se4,2.316
Cu2Br2Te4,2.474
Cu2Br6,0.705
Cu2C2Cl2O2,5.038
Cu2C6H8I2N2,2.843
Cu2Cl2,3.609
Cu2Cl2Se4,2.433
Cu2Cl2Te4,2.556
Cu2Cl6,1.507
Cu2F2,0.2585
Cu2F4,0.635
Cu2Hg2Cl2Se2,2.303
Cu2I2,3.4555
Cu2I2S4,1.908
Cu2I2Se4,2.111
Cu2I2Te4,2.269
Cu2MoSe4,2.383
Cu2MoTe4,1.681
Cu2O2,1.726
Cu2O4S,4.25
Cu2S2,0.9015
Cu2S4Sb2,1.427
Cu2Sb2Se4,0.669
Cu2Se2,0.827
Cu2WS4,3.196
Cu2WSe4,2.655
Cu2WTe4,1.872
Cu4Cl4H4O4,0.042
Cu4Cl4O4,1.237
Cu4O12Te2,1.781
F2Ge,4.551
F2Ge2,0.38
F2Si2,1.492
Fe2P2Te6,1.461
Fe2S4,1.59
Fe2Se4,1.243
Fe2Te4,0.751
FeBr2,1.71
FeCl2,1.8145
FeGa2S4,2.402
FeH2O2,1.699
FeHfBr6,3.428
FeHfCl6,3.841
FeHfF6,4.965
FeHfI6,2.795
FeI2,1.463
FeZn2C6N6,5.601
FeZrBr6,3.197
FeZrCl6,3.564
FeZrF6,4.91
FeZrI6,2.598
Ga2Br2O2,3.616
Ga2Br2S2,2.361
Ga2Br2Se2,1.679
Ga2Br6,2.9935
Ga2Cl2,3.324
Ga2Cl2O2,4.963
Ga2Cl2S2,2.416
Ga2Cl2Se2,1.566
Ga2Cl2Te2,2.931
Ga2Cl6,4.5185
Ga2Ge2Te2,1.169
Ga2H2O8Se2,5.896
Ga2I2,2.959
Ga2I2O2,1.972
Ga2I2S2,1.491
Ga2I2Se2,1.544
Ga2I6,1.24
Ga2In2S6,2.866
Ga2O2,3.271
Ga2P2Te6,0.952
Ga2S2,3.2184999999999997
Ga2Se2,1.9469999999999998
Ga2Te2,1.3493333333333333
GaAs,1.756
GaN,3.481
GaP,2.784
Ge2,0.025
Ge2H2,1.488
Ge2I2N2,0.504
Ge2P2S6,2.528
Ge2P2Se6,1.904
Ge2P2Te6,1.5
Ge2S2,1.3365
Ge2S4,1.458
Ge2Se2,0.8019999999999999
Ge2Se4,0.946
Ge2Te2,1.14
Ge2Te4,0.214
GeH2O2,4.341
GeI2,2.7945
