Formula,Dir. gap wo. soc.
Ag2Au2Cl8,0.94
Ag2Br2,1.8775
Ag2Br2S4,1.189
Ag2Br2Se4,1.297
Ag2Br2Te4,1.362
Ag2Br6,0.0865
Ag2C8N6,3.426
Ag2Cl2,1.8695
Ag2Cl2S4,1.196
Ag2Cl2Se4,1.39
Ag2Cl2Te4,1.436
Ag2Cl6,0.134
Ag2Cr2P4S12,1.022
Ag2F2,1.669
Ag2I2,2.1109999999999998
Ag2I2S4,1.3
Ag2I2Se4,1.258
Ag2I2Te4,1.29
Ag2MoO4,2.126
Ag2MoS4,1.22
Ag2MoSe4,0.974
Ag2MoTe4,0.607
Ag2O2,0.77
Ag2ReBr6,0.659
Ag2ReCl6,0.833
Ag2ReF6,1.062
Ag2ReI6,0.321
Ag2S2,0.682
Ag2Se2,0.607
Ag2Te2,0.3373333333333333
Ag2V2P4S12,0.04
Ag2WO4,1.985
Ag2WS4,1.648
Ag2WSe4,1.341
Ag2WTe4,0.887
Ag8C4N8,1.63
AgBiP2Se6,1.521
AgGaP2Se6,0.988
AgInP2S6,1.599
AgInP2Se6,1.071
AgScP2S6,2.043
AgScP2Se6,1.721
AgSnF6,0.791
AgVP2Se6,0.413
Al2Br2O2,4.485
Al2Br2S2,2.264
Al2Br2Se2,1.649
Al2Br6,3.362
Al2Cl2O2,5.991
Al2Cl2S2,2.335
Al2Cl2Se2,1.609
Al2Cl6,4.67
Al2FeS4,0.811
Al2I2O2,2.327
Al2I2S2,1.76
Al2I2Se2,1.515
Al2I6,1.8145000000000002
Al2Mg2Se5,1.254
Al2MgS4,2.078
Al2MgSe4,1.203
Al2O2,0.7655
Al2O4,0.259
Al2P2S6,1.812
Al2P2Se6,1.094
Al2S2,1.8170000000000002
Al2Se2,1.7919999999999998
Al2Si2Te6,1.432
Al2Te2,1.5666666666666664
Al2Tl2F8,2.491
Al8Te12,1.992
AlAs,2.237
AlLiP2S6,2.99
AlN,3.613
AlP,2.574
AlSb,1.63
As2,1.945
As2Br6,2.753
As2H2O10Te2,3.497
As2I6,2.327
As2O6Sb2,4.128
As2O8P2,4.378
As2O8Sb2,3.456
As4,0.913
As4Ge4Se4,1.763
As4H2O12P2,4.575
As4O12S2,4.476
As4O6,4.042666666666666
As4O8,3.236
As4S6,2.3695
As4Se6,1.934
As8Ge4,1.226
As8Si4,1.443
AsB,0.76
AsBrS,1.979
AsBrSe,1.8305
AsBrTe,1.758
AsClS,2.162
AsClSe,2.047
AsClTe,1.9875
AsIS,1.55
AsISe,1.4635
AsITe,1.3935
Au2Br2,1.1176666666666666
Au2Br2Se4,0.927
Au2Br2Te4,1.232
Au2Br6,0.0595
Au2CaF12,1.623
Au2Cl2,0.176
Au2Cl2Te4,1.399
Au2Cl6,0.12
Au2I2,1.0905
Au2I2Se4,0.903
Au2I2Te4,1.035
Au2MoO4,2.991
Au2MoS4,0.843
Au2MoSe4,0.672
Au2MoTe4,0.42
Au2O2,0.259
Au2ReF6,0.256
Au2S2,0.5636666666666666
Au2Se2,0.38775
Au2Te2,0.3405
Au2WO4,3.289
Au2WS4,1.212
Au2WSe4,0.983
Au2WTe4,0.648
Au4I4Te4,1.248
B3C10N3,0.862
BN,4.667
BP,0.898
BSb,0.324
Ba2H8O6,4.251
Ba4F4Sb4Se8,1.543
BaBr2,4.664333333333333
BaCl2,5.234
BaF12Sb2,4.967
BaF2,5.728
BaI2,4.049
BeH4O4P2,6.092
Bi2,0.611
Bi2Br2O2,2.562
Bi2Br2S2,1.937
Bi2Br2Se2,1.399
Bi2Br6,2.9165
Bi2Cd2Cl2O4,3.159
Bi2Cl2O2,2.863
Bi2Cl2S2,1.98
Bi2Cl2Se2,1.374
Bi2Cl6,3.402
Bi2Cu2S4,0.36
Bi2F6,5.132
Bi2Ge3O9,3.907
Bi2I2O2,2.169
Bi2I2S2,1.771
Bi2I2Se2,1.38
Bi2I6,2.5395000000000003
Bi2MnTe4,0.754
Bi2O2,0.8305
Bi2O9Si3,4.455
Bi2OS2,1.092
Bi2OSe2,1.144
Bi2OTe2,0.685
Bi2P2S6,1.136
