Formula,Direct band gap (G₀W₀)
Al2O2,2.766
Al2S2,4.4315
Al2Se2,4.2775
Al2Te2,3.672
AlAs,3.829
AlSb,2.558
As4,1.837
AsB,1.477
AsBrS,2.974
AsBrSe,2.724
AsBrTe,2.496
AsClS,3.317
AsClSe,3.0945
AsClTe,2.761
AsIS,1.9715
AsISe,1.8935
AsITe,1.7525
Au2O2,1.581
BN,7.738
BP,1.802
BSb,0.635
BaBr2,7.307
BaCl2,8.733
Bi2O2,1.747
BiBrS,2.7115
BiBrSe,2.3485
BiBrTe,1.6644999999999999
BiClS,2.9425
BiClSe,2.539
BiClTe,1.706
BiIS,1.9565
BiISe,1.7875
BiITe,1.4825
Br2Ge,4.574
BrSSb,2.965
BrSbSe,2.7125
BrSbTe,2.431
C2F2,7.198
C2H2,6.416
CF2Si,5.118
CH2Si,6.355
CaBr2,8.0225
CaCl2,9.443000000000001
CaF2,11.458
CaI2,6.681
CdBr2,5.4433333333333325
CdCl2,6.521999999999999
CdF2,8.365
CdI2,3.8884999999999996
Cl2Ge,5.254
ClSSb,3.1865
ClSbSe,2.9735
ClSbTe,2.5759999999999996
CoBr2,1.504
CrO2,2.217
CrS2,1.448
CrSSe,1.294
CrSTe,1.006
CrSe2,1.165
CrSeTe,0.974
CrTe2,0.812
Cu2Br2,3.3325
Cu2Cl2,3.448
Cu2I2,3.504
Cu2S2,2.009
F2Ge,6.147
F2Ge2,0.35
F2Si2,2.333
FeBr2,1.1085
FeCl2,1.3565
FeI2,1.304
Ga2O2,4.388
Ga2S2,4.26
Ga2Se2,3.4619999999999997
Ga2Te2,2.859
GaAs,2.552
GaN,5.019
GaP,3.692
Ge2H2,2.353
Ge2S2,3.322
Ge2Se2,1.861
Ge2Te2,1.361
GeI2,3.764
GeO,4.343
GeO2,6.631333333333333
GeS,4.412
GeS2,3.322
GeSe,4.036
GeTe,2.969
H2Si2,3.976
HfBr2,2.563
HfBrCl,2.718
HfBrI,2.304
HfCl2,2.88
HfClI,2.419
HfI2,2.108
HfO2,6.788
HfS2,3.4455
HfSSe,2.596
HfSe2,2.5805
HfSeTe,1.457
HfTe2,1.412
HgBr2,3.5425
HgCl2,4.410500000000001
HgI2,2.5835
HgTe,0.028
ISSb,2.3495
ISbSe,2.1929999999999996
ISbTe,1.929
In2O2,2.587
In2S2,3.1915
In2Se2,2.775
In2Te2,2.362
InAs,1.687
InN,1.914
InP,2.47
InSb,1.307
Ir2O2,0.301
Ir2S2,0.108
Ir2Se2,0.582
MgBr2,7.109
MgCl2,8.9045
MgI2,5.4905
MnBr2,3.977
MnCl2,5.564
MnO2,3.241
MoO2,2.834
MoOS,3.089
MoOSe,2.866
MoS2,2.533
MoSSe,2.361
MoSTe,2.055
MoSe2,2.119
MoSeTe,1.882
MoTe2,1.563
NiBr2,2.613
NiCl2,3.414
NiO2,2.521
NiS2,2.145
OsBr2,2.463
OsCl2,2.881
OsI2,2.235
P4,2.025
Pb2S2,2.226
Pb2Se2,1.626
Pb2Te2,1.246
PbBr2,4.6355
PbCl2,5.435499999999999
PbI2,3.424
PbO,4.023
PbO2,3.1189999999999998
PbS,3.529
PbS2,1.946
PbSe,2.935
PbSe2,0.831
PbTe,2.059
Pd2F2,2.308
PdCl2,2.7
PdO2,3.298
PdS2,2.613
PdSe2,1.987
Pt2Cl2,2.43
PtCl2,2.61
PtO2,3.966
PtS2,3.108
PtSe2,2.572
PtTe2,1.854
Rh2Se2,0.31
RuBr2,2.403
RuCl2,2.01
RuI2,1.988
S2Si,3.842
S2Si2,3.039
Sc2O2,1.355
Sc2S2,1.069
Sc2Se2,1.021
Sc2Te2,0.805
ScH2,0.945
ScO2,4.638
ScS2,2.918
Se2Si,2.425
Se2Si2,2.755
Si2Te2,0.992
Sn2H2,1.043
Sn2S2,2.665
Sn2Se2,1.643
Sn2Te2,1.032
SnBr2,4.448
SnCl2,5.1205
SnF2,5.762
SnI2,3.597
SnO,3.715
SnO2,4.867666666666667
SnS,4.196
SnS2,2.9405
SnSe,3.885
SnSe2,2.283
SnTe,2.998
SrBr2,7.9155
SrCl2,9.052499999999998
SrF2,10.855
SrI2,6.31
Ti2Te2,0.3805
TiBr2,1.649
TiBrCl,1.651
TiBrI,1.209
TiCl2,1.854
TiClI,1.557
TiI2,1.331
TiO2,5.622333333333334
TiS2,3.3105
TiSSe,2.139
TiSe2,2.174
Tl2S2,1.689
Tl2Se2,1.374
V2S2,0.366
V2Se2,0.617
V2Te2,0.624
VBr2,3.514
VCl2,3.561
VSe2,0.779
VTe2,4.759
WO2,3.011
WOSe,3.161
WOTe,2.281
WS2,2.532
WSSe,2.326
WSTe,2.065
WSe2,2.127
WSeTe,1.8
WTe2,1.377
YBr2,2.283
YCl2,2.653
Zn2S2,4.691
ZnBr2,5.657333333333334
ZnCl2,7.156333333333333
ZnF2,9.628
ZnI2,4.147333333333333
Zr2Te2,0.6685
ZrBr2,2.349
ZrBrCl,2.446
ZrBrI,2.183
ZrCl2,2.564
ZrClI,2.271
ZrI2,2.02
ZrO2,6.658
ZrS2,3.2855
ZrSSe,2.584
ZrSTe,1.429
ZrSe2,2.464
ZrSeTe,1.495
ZrTe2,1.374
