Formula,Exc. bind. energy
Ag2Br2,1.458
Ag2Cl2,1.744
Ag2F2,2.37
Ag2I2,1.082
Ag2O2,1.179
Ag2S2,1.187
Ag2Se2,1.091
Ag2Te2,0.94
Al2O2,0.787
Al2S2,1.33
Al2Se2,1.096
Al2Te2,0.799
AlAs,0.966
AlN,1.75
AlSb,0.787
As4,0.566
AsBrS,0.7725
AsBrSe,0.6910000000000001
AsBrTe,0.556
AsClS,0.978
AsClSe,0.804
AsClTe,0.5505
AsIS,0.4105
AsISe,0.4325
AsITe,0.4115
Au2I2,0.692
Au2O2,0.76
Au2S2,1.039
Au2Se2,0.965
Au2Te2,0.5575
BN,2.001
BP,0.494
BSb,0.3
BaBr2,2.0445
BaCl2,2.412
BaI2,1.6400000000000001
Bi2O2,0.608
BiBrS,0.7965
BiBrSe,0.782
BiBrTe,0.474
BiClS,0.853
BiClSe,0.8140000000000001
BiClTe,0.464
BiCrAs,0.269
BiIS,0.5425
BiISe,0.589
BiITe,0.48150000000000004
Br2Ge,1.3965
BrSSb,0.9704999999999999
BrSbSe,0.8335
BrSbTe,0.5635
C2F2,1.94
C2H2,1.387
CaBr2,2.076
CaCl2,2.583
CaI2,1.5535
Cd2S4,1.589
CdBr2,1.2025000000000001
CdCl2,1.6680000000000001
CdI2,1.004
Cl2Ge,1.832
ClSSb,1.108
ClSbSe,0.9425000000000001
ClSbTe,0.5674999999999999
CoBr2,2.211
CoCl2,2.383
Cr2O2,0.035
CrO2,0.776
CrS2,0.534
CrSSe,0.508
CrSTe,0.481
CrSe2,0.479
CrSeTe,0.448
CrTe2,0.433
Cs2Br2,1.638
Cs2Cl2,1.829
Cs2F2,2.09
Cu2Br2,1.271
Cu2Cl2,1.581
Cu2I2,0.916
Cu2S2,0.949
Cu2Se2,0.859
F2Ge2,-0.024
F2Si2,0.727
FeBr2,0.9484999999999999
FeCl2,1.127
FeI2,0.741
Ga2I2,1.345
Ga2O2,1.288
Ga2S2,0.873
Ga2Se2,0.636
Ga2Te2,0.454
GaAs,0.398
GaN,1.121
GaP,0.908
Ge2H2,0.385
Ge2S2,0.944
Ge2Se2,0.436
Ge2Te2,0.464
GeI2,0.916
GeO2,1.9689999999999999
GeS2,0.784
H2Si2,0.723
HfBr2,0.808
HfBrCl,0.845
HfBrI,0.7
HfCl2,0.914
HfClI,0.739
HfI2,0.571
HfO2,2.181
HfS2,1.0105
HfSSe,0.7515
HfSe2,0.6725
HfSeTe,0.486
HfTe2,0.439
HgBr2,1.125
HgCl2,1.5145
HgI2,0.888
HgO,0.327
ISSb,0.588
ISbSe,0.5589999999999999
