Formula,Energy
Ag2,-5.061
Ag2Au2Cl8,-30.882
Ag2Br2,-10.187000000000001
Ag2Br2N2,-19.27
Ag2Br2O2,-18.876
Ag2Br2S2,-16.358
Ag2Br2S4,-26.341
Ag2Br2Se2,-15.973
Ag2Br2Se4,-24.254
Ag2Br2Te4,-23.215
Ag2Br4,-13.242
Ag2Br6,-15.386
Ag2C8N6,-122.279
Ag2Cl2,-10.8735
Ag2Cl2N2,-20.153
Ag2Cl2O2,-19.564
Ag2Cl2S2,-17.034
Ag2Cl2S4,-27.169
Ag2Cl2Se2,-16.883
Ag2Cl2Se4,-25.078
Ag2Cl2Te4,-24.054
Ag2Cl6,-17.1665
Ag2Cr2P4S12,-102.151
Ag2F2,-12.612
Ag2F4,-19.359
Ag2I2,-9.66
Ag2I2N2,-18.419
Ag2I2O2,-18.36
Ag2I2S2,-15.743
Ag2I2S4,-25.637
Ag2I2Se2,-15.55
Ag2I2Se4,-23.535
Ag2I2Te4,-22.454
Ag2I4,-12.046
Ag2I6,-13.971499999999999
Ag2MoO4,-44.98
Ag2MoS4,-35.509
Ag2MoSe4,-32.633
Ag2MoTe4,-30.017
Ag2O2,-16.113
Ag2P2S6,-42.043
Ag2P2Se6,-37.931
Ag2P2Te6,-34.702
Ag2ReBr6,-29.858
Ag2ReCl6,-33.154
Ag2ReF6,-42.251
Ag2ReI6,-26.794
Ag2S2,-13.244
Ag2S4,-21.594
Ag2Se2,-12.2945
Ag2Se4,-19.321
Ag2Te2,-11.507666666666665
Ag2Te4,-17.927
Ag2V2P4S12,-100.904
Ag2WO4,-45.643
Ag2WS4,-35.957
Ag2WSe4,-32.876
Ag2WTe4,-30.0
Ag8C4N8,-118.225
AgBiP2Se6,-41.048
AgBr2,-6.425333333333334
AgCa2Br2O2,-32.171
AgCa2Br2S2,-27.019
AgCa2Cl2O2,-33.195
AgCa2Cl2S2,-28.057
AgCa2I2O2,-30.954
AgCa2I2S2,-25.972
AgCl2,-7.0680000000000005
AgCuTe2,-13.006
AgF2,-9.66
AgGaP2Se6,-39.552
AgH2,-7.926
AgI2,-5.897666666666666
AgInP2S6,-44.072
AgInP2Se6,-39.557
AgLi2,-6.458
AgNi2O4,-42.208
AgO2,-11.402
AgS2,-9.708
AgScP2S6,-49.387
AgScP2Se6,-44.469
AgSe2,-9.468
AgSnF6,-33.016
AgSr2Br2O2,-32.205
AgSr2Br2S2,-27.27
