Formula,Gap wo. soc.
Ag2Au2Cl8,0.861
Ag2Br2,1.8775
Ag2Br2S4,1.189
Ag2Br2Se4,1.295
Ag2Br2Te4,1.287
Ag2Br6,0.073
Ag2C8N6,3.426
Ag2Cl2,1.8695
Ag2Cl2S4,1.196
Ag2Cl2Se4,1.39
Ag2Cl2Te4,1.387
Ag2Cl6,0.134
Ag2Cr2P4S12,1.01
Ag2F2,0.5595
Ag2I2,2.1109999999999998
Ag2I2S4,1.3
Ag2I2Se4,1.165
Ag2I2Te4,1.165
Ag2MoO4,2.126
Ag2MoS4,0.953
Ag2MoSe4,0.708
Ag2MoTe4,0.338
Ag2O2,0.16
Ag2ReBr6,0.638
Ag2ReCl6,0.814
Ag2ReF6,1.009
Ag2ReI6,0.303
Ag2S2,0.484
Ag2Se2,0.435
Ag2Te2,0.221
Ag2V2P4S12,0.028
Ag2WO4,1.985
Ag2WS4,1.434
Ag2WSe4,1.141
Ag2WTe4,0.677
Ag8C4N8,1.63
AgBiP2Se6,1.417
AgGaP2Se6,0.937
AgInP2S6,1.333
AgInP2Se6,0.893
AgScP2S6,2.028
AgScP2Se6,1.691
AgSnF6,0.609
AgVP2Se6,0.356
Al2Br2O2,4.158
Al2Br2S2,2.264
Al2Br2Se2,1.543
Al2Br6,3.3175
Al2Cl2O2,5.73
Al2Cl2S2,2.335
Al2Cl2Se2,1.423
Al2Cl6,4.668
Al2FeS4,0.667
Al2I2O2,2.26
Al2I2S2,1.76
Al2I2Se2,1.515
Al2I6,1.7955
Al2Mg2Se5,1.254
Al2MgS4,2.078
Al2MgSe4,1.203
Al2O2,0.6585
Al2O4,0.017
Al2P2S6,1.312
Al2P2Se6,0.637
Al2S2,1.4096666666666666
Al2Se2,1.386
Al2Si2Te6,1.366
Al2Te2,1.3019999999999998
Al2Tl2F8,2.491
Al8Te12,1.896
AlAs,1.239
AlLiP2S6,2.825
AlN,2.893
AlP,2.26
AlSb,1.53
As2,1.614
As2Br6,2.572
As2H2O10Te2,3.435
As2I6,2.248
As2O6Sb2,4.068
As2O8P2,4.378
As2O8Sb2,3.443
As4,0.849
As4Ge4Se4,1.763
As4H2O12P2,4.575
As4O12S2,4.476
As4O6,3.9979999999999998
As4O8,3.236
As4S6,2.2725
As4Se6,1.764
As8Ge4,1.222
As8Si4,1.439
AsB,0.76
AsBrS,1.48
AsBrSe,1.449
AsBrTe,1.3735
AsClS,1.6525
AsClSe,1.6164999999999998
AsClTe,1.5995
AsIS,1.097
AsISe,1.0815000000000001
AsITe,1.029
Au2Br2,1.091
Au2Br2Se4,0.927
Au2Br2Te4,1.187
Au2Br6,0.058
Au2CaF12,1.623
Au2Cl2,0.176
Au2Cl2Te4,1.153
Au2Cl6,0.12
Au2I2,1.065
Au2I2Se4,0.844
Au2I2Te4,0.851
Au2MoO4,2.903
Au2MoS4,0.828
Au2MoSe4,0.648
Au2MoTe4,0.279
Au2O2,0.083
Au2ReF6,0.106
Au2S2,0.42766666666666664
Au2Se2,0.297
Au2Te2,0.24
Au2WO4,3.251
Au2WS4,1.152
Au2WSe4,0.855
Au2WTe4,0.396
Au4I4Te4,1.223
B3C10N3,0.811
BN,4.667
BP,0.898
BSb,0.324
Ba2H8O6,4.251
Ba4F4Sb4Se8,1.485
BaBr2,4.619
BaCl2,5.1930000000000005
BaF12Sb2,4.967
BaF2,5.722
BaI2,3.9666666666666663
BeH4O4P2,5.994
Bi2,0.611
Bi2Br2O2,2.387
Bi2Br2S2,1.71
Bi2Br2Se2,1.125
Bi2Br6,2.842
Bi2Cd2Cl2O4,3.159
Bi2Cl2O2,2.677
Bi2Cl2S2,1.73
Bi2Cl2Se2,1.144
Bi2Cl6,3.25
Bi2Cu2S4,0.355
Bi2F6,5.132
Bi2Ge3O9,3.897
Bi2I2O2,1.967
Bi2I2S2,1.597
Bi2I2Se2,1.144
Bi2I6,2.4835000000000003
Bi2MnTe4,0.718
Bi2O2,0.46
Bi2O9Si3,4.455
Bi2OS2,0.906
Bi2OSe2,0.879
Bi2OTe2,0.685
Bi2P2S6,1.065
Bi2P2Se6,1.203
Bi2P2Te6,0.802
Bi2S2,0.326
Bi2S2Se,1.056
Bi2S2Te,1.259
Bi2S3,1.07
Bi2SSe2,0.898
Bi2STe2,0.93
Bi2Se2,0.423
Bi2Se2Te,1.075
Bi2Se3,0.847
Bi2SeTe2,0.86
Bi2Te2,0.205
Bi2Te3,0.916
Bi4B4O12,3.702
Bi4Sr2O8,2.85
BiBrS,1.923
BiBrSe,1.811
BiBrTe,1.723
BiClS,2.032
BiClSe,1.9509999999999998
BiClTe,1.8085
BiCrAs,0.0325
BiCuP2Se6,1.236
BiHO6Se2,3.826
BiIS,1.7429999999999999
BiISe,1.6745
BiITe,1.5819999999999999
Br2Ge,2.1186666666666665
Br2Ge2N2,1.502
Br2Sb2,0.002
Br6Sb2,2.504
BrSSb,1.436
BrSbSe,1.373
BrSbTe,1.388
C2F2,3.178
C2H2,3.463
C6N2,0.396
C6N8,1.265
CF2Si,1.946
CH2Si,3.788
Ca2Br2H2,4.197
Ca2C2F2O6,0.839
Ca2Cl4H8O4,5.721
Ca2Cl4O8,2.819
Ca2CoO3,0.044
Ca2I2,0.129
Ca2Sn4F12,3.958
Ca4As4,1.005
Ca4O12Te4,3.988
CaBr2,4.683333333333334
CaCl2,5.3709999999999996
CaF2,6.464
CaF2O2,2.83
CaH2O2,3.726
CaH2S2,3.841
CaI2,3.807
