Formula,Number of atoms
Ag2,2.0
Ag2Au2Cl8,12.0
Ag2Br2,4.0
Ag2Br2N2,6.0
Ag2Br2O2,6.0
Ag2Br2S2,6.0
Ag2Br2S4,8.0
Ag2Br2Se2,6.0
Ag2Br2Se4,8.0
Ag2Br2Te4,8.0
Ag2Br4,6.0
Ag2Br6,8.0
Ag2C8N6,16.0
Ag2Cl2,4.0
Ag2Cl2N2,6.0
Ag2Cl2O2,6.0
Ag2Cl2S2,6.0
Ag2Cl2S4,8.0
Ag2Cl2Se2,6.0
Ag2Cl2Se4,8.0
Ag2Cl2Te4,8.0
Ag2Cl6,8.0
Ag2Cr2P4S12,20.0
Ag2F2,4.0
Ag2F4,6.0
Ag2I2,4.0
Ag2I2N2,6.0
Ag2I2O2,6.0
Ag2I2S2,6.0
Ag2I2S4,8.0
Ag2I2Se2,6.0
Ag2I2Se4,8.0
Ag2I2Te4,8.0
Ag2I4,6.0
Ag2I6,8.0
Ag2MoO4,7.0
Ag2MoS4,7.0
Ag2MoSe4,7.0
Ag2MoTe4,7.0
Ag2O2,4.0
Ag2P2S6,10.0
Ag2P2Se6,10.0
Ag2P2Te6,10.0
Ag2ReBr6,9.0
Ag2ReCl6,9.0
Ag2ReF6,9.0
Ag2ReI6,9.0
Ag2S2,4.0
Ag2S4,6.0
Ag2Se2,4.0
Ag2Se4,6.0
Ag2Te2,4.0
Ag2Te4,6.0
Ag2V2P4S12,20.0
Ag2WO4,7.0
Ag2WS4,7.0
Ag2WSe4,7.0
Ag2WTe4,7.0
Ag8C4N8,20.0
AgBiP2Se6,10.0
AgBr2,3.0
AgCa2Br2O2,7.0
AgCa2Br2S2,7.0
AgCa2Cl2O2,7.0
AgCa2Cl2S2,7.0
AgCa2I2O2,7.0
AgCa2I2S2,7.0
AgCl2,3.0
AgCuTe2,4.0
AgF2,3.0
AgGaP2Se6,10.0
AgH2,3.0
AgI2,3.0
AgInP2S6,10.0
AgInP2Se6,10.0
AgLi2,3.0
AgNi2O4,7.0
AgO2,3.0
AgS2,3.0
AgScP2S6,10.0
AgScP2Se6,10.0
AgSe2,3.0
AgSnF6,8.0
AgSr2Br2O2,7.0
AgSr2Br2S2,7.0
AgSr2Cl2O2,7.0
AgSr2Cl2S2,7.0
AgSr2I2O2,7.0
AgSr2I2S2,7.0
AgTe2,3.0
AgVP2Se6,10.0
Al2Br2N2,6.0
Al2Br2O2,6.0
Al2Br2S2,6.0
Al2Br2Se2,6.0
Al2Br4,6.0
Al2Br6,8.0
Al2Cl2N2,6.0
Al2Cl2O2,6.0
Al2Cl2S2,6.0
Al2Cl2Se2,6.0
Al2Cl6,8.0
Al2FeS4,7.0
Al2I2O2,6.0
Al2I2S2,6.0
Al2I2Se2,6.0
Al2I6,8.0
Al2Mg2Se5,9.0
Al2MgS4,7.0
Al2MgSe4,7.0
Al2MnS4,7.0
Al2O2,4.0
Al2O4,6.0
Al2P2S6,10.0
Al2P2Se6,10.0
Al2P2Te6,10.0
Al2S2,4.0
Al2S4,6.0
Al2Se2,4.0
Al2Se4,6.0
Al2Si2Te6,10.0
Al2Te2,4.0
Al2Te4,6.0
Al2Tl2F8,12.0
Al2ZnS4,7.0
Al8Te12,20.0
AlAs,2.0
AlB4,5.0
AlBr2,3.0
AlC,2.0
AlCl2,3.0
AlFeF5,7.0
AlI2,3.0
AlLiP2S6,10.0
AlN,2.0
AlNi5Br2,8.0
AlNi5Cl2,8.0
AlNi5I2,8.0
AlP,2.0
AlPd5Br2,8.0
AlPd5Cl2,8.0
AlPd5I2,8.0
AlPt5Br2,8.0
AlPt5Cl2,8.0
AlPt5I2,8.0
AlSb,2.0
AlTe4,5.0
As2,2.0
As2Br6,8.0
As2C6,8.0
As2Ge6,8.0
As2H2O10Te2,16.0
As2I6,8.0
As2O6Sb2,10.0
As2O8P2,12.0
As2O8Sb2,12.0
As2Si6,8.0
As4,4.0
As4Ge4Se4,12.0
As4H2O12P2,20.0
As4O12S2,18.0
As4O6,10.0
As4O8,12.0
As4S6,10.0
As4Se6,10.0
As8Ge4,12.0
As8Si4,12.0
AsB,2.0
AsBr2,3.0
AsBrS,3.0
AsBrSe,3.0
AsBrTe,3.0
AsC,2.0
AsCl2,3.0
AsClS,3.0
AsClSe,3.0
AsClTe,3.0
AsI2,3.0
AsIS,3.0
AsISe,3.0
AsITe,3.0
AsS2,3.0
AsSe2,3.0
AsTe2,3.0
Au2Br2,4.0
Au2Br2N2,6.0
Au2Br2O2,6.0
Au2Br2S2,6.0
Au2Br2Se2,6.0
Au2Br2Se4,8.0
Au2Br2Te4,8.0
Au2Br4,6.0
Au2Br6,8.0
Au2CaF12,15.0
Au2Cl2,4.0
Au2Cl2N2,6.0
Au2Cl2O2,6.0
Au2Cl2Se2,6.0
Au2Cl2Te4,8.0
Au2Cl6,8.0
Au2I2,4.0
Au2I2N2,6.0
Au2I2O2,6.0
Au2I2S2,6.0
Au2I2Se2,6.0
Au2I2Se4,8.0
Au2I2Te4,8.0
Au2I4,6.0
Au2I6,8.0
