Formula,Thermodynamic stability level
Ag2,1.0
Ag2Au2Cl8,3.0
Ag2Br2,3.0
Ag2Br2N2,1.0
Ag2Br2O2,1.0
Ag2Br2S2,1.0
Ag2Br2S4,3.0
Ag2Br2Se2,2.0
Ag2Br2Se4,3.0
Ag2Br2Te4,3.0
Ag2Br4,3.0
Ag2Br6,2.0
Ag2C8N6,1.0
Ag2Cl2,3.0
Ag2Cl2N2,1.0
Ag2Cl2O2,2.0
Ag2Cl2S2,1.0
Ag2Cl2S4,3.0
Ag2Cl2Se2,3.0
Ag2Cl2Se4,3.0
Ag2Cl2Te4,3.0
Ag2Cl6,2.5
Ag2Cr2P4S12,3.0
Ag2F2,3.0
Ag2F4,3.0
Ag2I2,3.0
Ag2I2N2,1.0
Ag2I2O2,1.0
Ag2I2S2,1.0
Ag2I2S4,3.0
Ag2I2Se2,1.0
Ag2I2Se4,3.0
Ag2I2Te4,3.0
Ag2I4,3.0
Ag2I6,1.0
Ag2MoO4,3.0
Ag2MoS4,3.0
Ag2MoSe4,3.0
Ag2MoTe4,3.0
Ag2O2,3.0
Ag2P2S6,3.0
Ag2P2Se6,3.0
Ag2P2Te6,1.0
Ag2ReBr6,3.0
Ag2ReCl6,3.0
Ag2ReF6,3.0
Ag2ReI6,3.0
Ag2S2,1.0
Ag2S4,1.0
Ag2Se2,1.0
Ag2Se4,1.0
Ag2Te2,1.0
Ag2Te4,1.0
Ag2V2P4S12,3.0
Ag2WO4,3.0
Ag2WS4,3.0
Ag2WSe4,3.0
Ag2WTe4,3.0
Ag8C4N8,1.0
AgBiP2Se6,3.0
AgBr2,3.0
AgCa2Br2O2,3.0
AgCa2Br2S2,2.0
AgCa2Cl2O2,3.0
AgCa2Cl2S2,2.0
AgCa2I2O2,2.0
AgCa2I2S2,2.0
AgCl2,3.0
AgCuTe2,3.0
AgF2,3.0
AgGaP2Se6,3.0
AgH2,1.0
AgI2,2.3333333333333335
AgInP2S6,3.0
AgInP2Se6,3.0
AgLi2,1.0
AgNi2O4,3.0
AgO2,1.0
AgS2,1.0
AgScP2S6,3.0
AgScP2Se6,3.0
AgSe2,1.0
AgSnF6,3.0
AgSr2Br2O2,3.0
AgSr2Br2S2,3.0
AgSr2Cl2O2,3.0
AgSr2Cl2S2,2.0
AgSr2I2O2,3.0
AgSr2I2S2,3.0
AgTe2,1.0
AgVP2Se6,3.0
Al2Br2N2,2.0
Al2Br2O2,3.0
Al2Br2S2,3.0
Al2Br2Se2,3.0
Al2Br4,2.0
Al2Br6,2.5
Al2Cl2N2,2.0
Al2Cl2O2,3.0
Al2Cl2S2,3.0
Al2Cl2Se2,3.0
Al2Cl6,3.0
Al2FeS4,3.0
Al2I2O2,3.0
Al2I2S2,3.0
Al2I2Se2,3.0
Al2I6,2.5
Al2Mg2Se5,3.0
Al2MgS4,3.0
Al2MgSe4,3.0
Al2MnS4,3.0
Al2O2,2.0
Al2O4,2.0
Al2P2S6,3.0
Al2P2Se6,3.0
Al2P2Te6,3.0
Al2S2,2.6666666666666665
Al2S4,2.0
Al2Se2,2.6666666666666665
Al2Se4,3.0
Al2Si2Te6,3.0
Al2Te2,2.3333333333333335
Al2Te4,3.0
Al2Tl2F8,3.0
Al2ZnS4,3.0
Al8Te12,3.0
AlAs,1.0
AlB4,1.0
AlBr2,2.0
AlC,1.0
AlCl2,2.0
AlFeF5,2.0
AlI2,2.0
AlLiP2S6,3.0
AlN,2.0
AlNi5Br2,3.0
AlNi5Cl2,2.0
AlNi5I2,3.0
AlP,2.0
AlPd5Br2,3.0
AlPd5Cl2,3.0
AlPd5I2,3.0
AlPt5Br2,3.0
AlPt5Cl2,2.0
AlPt5I2,3.0
AlSb,1.0
AlTe4,1.0
As2,1.0
As2Br6,3.0
As2C6,1.0
As2Ge6,1.0
As2H2O10Te2,3.0
As2I6,3.0
As2O6Sb2,3.0
As2O8P2,3.0
As2O8Sb2,3.0
As2Si6,1.0
As4,1.0
As4Ge4Se4,3.0
As4H2O12P2,3.0
As4O12S2,3.0
As4O6,3.0
As4O8,3.0
As4S6,3.0
As4Se6,3.0
As8Ge4,3.0
As8Si4,3.0
AsB,1.0
AsBr2,1.0
AsBrS,3.0
AsBrSe,3.0
AsBrTe,3.0
AsC,1.0
AsCl2,1.5
AsClS,2.5
AsClSe,3.0
AsClTe,3.0
AsI2,1.0
AsIS,2.0
AsISe,2.0
AsITe,2.0
AsS2,1.0
AsSe2,1.0
AsTe2,1.0
Au2Br2,1.6666666666666667
Au2Br2N2,1.0
Au2Br2O2,1.0
Au2Br2S2,1.0
Au2Br2Se2,3.0
Au2Br2Se4,3.0
Au2Br2Te4,3.0
Au2Br4,3.0
Au2Br6,2.0
Au2CaF12,3.0
Au2Cl2,1.0
Au2Cl2N2,1.0
Au2Cl2O2,1.0
Au2Cl2Se2,3.0
Au2Cl2Te4,3.0
Au2Cl6,2.0
Au2I2,1.0
Au2I2N2,1.0
Au2I2O2,1.0
Au2I2S2,1.0
Au2I2Se2,1.0
Au2I2Se4,3.0
Au2I2Te4,3.0
Au2I4,1.0
Au2I6,1.0
Au2MoO4,3.0
Au2MoS4,3.0
Au2MoSe4,3.0
Au2MoTe4,3.0
Au2O2,2.0
Au2O4,1.0
Au2P2S6,3.0
Au2P2Se6,3.0
Au2P2Te6,1.0
Au2ReF6,3.0
Au2S2,1.6666666666666667
Au2S4,1.0
Au2Se2,1.5
Au2Se4,1.0
Au2SrO8,2.0
Au2Te2,1.5
Au2Te4,1.0
Au2WO4,3.0
Au2WS4,3.0
Au2WSe4,3.0
Au2WTe4,3.0
Au4I4Te4,3.0
AuBr2,1.0
AuCa2Br2O2,2.0
AuCa2Br2S2,2.0
AuCa2Cl2O2,2.0
AuCa2Cl2S2,2.0
AuCa2I2O2,2.0
AuCa2I2S2,2.0
AuCl2,1.6666666666666667
AuF2,2.0
AuH2,1.0
AuI2,1.0
AuLi2,2.0
AuO2,1.0
AuS2,1.0
AuSe2,1.0
AuSr2Br2O2,3.0
AuSr2Br2S2,2.0
AuSr2Cl2O2,3.0
AuSr2Cl2S2,2.0
AuSr2I2O2,3.0
AuSr2I2S2,3.0
AuTe2,1.0
B2,1.0
B2N,1.0
B3C10N3,1.0
BC,1.0
BN,3.0
BP,2.0
BSb,1.0
Ba2Br2,2.0
Ba2Cl2,2.0
Ba2CuHgTlO5,2.0
Ba2H8O6,3.0
Ba2I2,2.0
Ba2Mg2Pb2,1.0
Ba2Mg2Sn2,1.0
Ba2Mn2Ge2,2.0
Ba2N,3.0
Ba4F4Sb4Se8,3.0
BaBr2,2.6666666666666665
BaCl2,2.3333333333333335
BaF12Sb2,3.0
BaF2,2.0
BaI2,2.6666666666666665
BaTa2O7,2.0
BaTe2,2.0
Be4,1.0
BeH4O4P2,3.0
Bi2,1.0
Bi2Br2,2.5
Bi2Br2N2,1.0
Bi2Br2O2,3.0
Bi2Br2S2,3.0
Bi2Br2Se2,3.0
Bi2Br6,3.0
Bi2C6,1.0
Bi2Cd2Cl2O4,3.0
Bi2Cl2,2.5
Bi2Cl2N2,1.0
Bi2Cl2O2,3.0
Bi2Cl2S2,3.0
Bi2Cl2Se2,3.0
Bi2Cl6,3.0
Bi2Cr,1.0
Bi2Cu2S4,3.0
Bi2F2,2.0
Bi2F6,3.0
Bi2Fe2Br2S4,2.0
Bi2Ge3O9,3.0
Bi2Ge6,1.0
Bi2Hf,3.0
Bi2I2,2.5
Bi2I2N2,1.0
Bi2I2O2,3.0
Bi2I2S2,3.0
Bi2I2Se2,3.0
Bi2I6,3.0
Bi2In2,1.0
Bi2MnTe4,3.0
Bi2Mo,1.0
Bi2Nb,1.0
Bi2O2,2.0
Bi2O9Si3,3.0
Bi2OS2,3.0
Bi2OSe2,3.0
Bi2OTe2,3.0
Bi2P2S6,3.0
Bi2P2Se6,3.0
Bi2P2Te6,1.0
Bi2Pb6,1.0
Bi2Pd,3.0
Bi2S2,1.25
Bi2S2Se,3.0
Bi2S2Te,3.0
Bi2S3,3.0
Bi2S4,1.0
Bi2SSe2,3.0
Bi2STe2,3.0
Bi2Se2,1.5
Bi2Se2Te,3.0
Bi2Se3,3.0
Bi2SeTe2,3.0
Bi2Si6,1.0
Bi2Sn6,1.0
Bi2Ta,1.0
Bi2Te2,1.0
Bi2Te3,3.0
Bi2Te4,1.0
Bi2Ti,2.0
Bi2V,1.0
Bi2W,1.0
Bi2YO4,3.0
Bi2Zr,3.0
Bi4B4O12,3.0
Bi4Cu4,1.0
Bi4Sr2O8,3.0
Bi6Ir2O4,3.0
Bi6Pt3,3.0
Bi8Rh4,3.0
BiBr2,2.0
BiBrS,3.0
BiBrSe,3.0
BiBrTe,3.0
BiCl2,2.0
BiClS,3.0
BiClSe,3.0
BiClTe,3.0
BiCrAs,1.0
BiCrSb,1.0
BiCuP2Se6,3.0
BiF2,2.0
BiH2O2,2.0
BiHO6Se2,3.0
BiHfAs,2.0
BiHfSb,2.0
BiI2,2.0
BiIS,3.0
BiISe,3.0
BiITe,3.0
BiMoAs,1.0
BiMoSb,1.0
BiNbAs,1.5
BiNbSb,1.0
BiO,2.0
BiO2,2.0
BiS2,1.3333333333333333
BiSe2,1.3333333333333333
BiTaAs,1.0
BiTaSb,1.0
BiTe2,1.0
BiTiAs,2.0
BiTiSb,2.0
BiVAs,1.0
BiVSb,1.0
BiWAs,1.0
BiWSb,1.0
BiZrAs,2.0
BiZrSb,2.0
Br2Ge,3.0
Br2Ge2,2.0
Br2Ge2N2,2.0
Br2Ge2O2,2.0
Br2Ge2S2,3.0
Br2Ge2Se2,3.0
Br2Sb,2.0
Br2Sb2,2.5
Br6Sb2,3.0
BrSSb,3.0
BrSbSe,3.0
BrSbTe,3.0
C2,3.0
C2F2,2.0
C2H2,3.0
C6N2,1.0
C6N8,1.0
C6P2,1.0
C6Sb2,1.0
CF2Si,2.0
CH2Si,3.0
CN,1.0
CP,1.0
Ca2Br2,2.0
Ca2Br2H2,3.0
Ca2C,1.0
Ca2C2F2O6,3.0
Ca2Cl2,2.5
Ca2Cl4H8O4,3.0
Ca2Cl4O8,3.0
Ca2CoO3,2.0
Ca2CuBr2O2,3.0
Ca2CuBr2S2,2.0
Ca2CuCl2O2,3.0
Ca2CuCl2S2,2.0
Ca2CuI2O2,3.0
Ca2CuI2S2,3.0
Ca2F2,2.0
Ca2Fe2Si2,3.0
Ca2I2,2.0
