Formula,"Valence band effective mass, direction 1"
Ag2Au2Cl8,-4.232
Ag2Br2,-1.068
Ag2Br2S4,-4.428
Ag2Br2Se4,-1.316
Ag2Br2Te4,-1.283
Ag2Br6,-0.997
Ag2Cl2,-1.8255000000000001
Ag2Cl2S4,-0.875
Ag2Cl2Se4,-1.239
Ag2Cl2Te4,-1.597
Ag2Cl6,-2.518
Ag2Cr2P4S12,-1.864
Ag2F2,-12.741
Ag2I2,-0.59
Ag2I2S4,-2.05
Ag2I2Se4,-1.567
Ag2I2Te4,-1.093
Ag2MoO4,-2.611
Ag2MoS4,-0.891
Ag2MoSe4,-0.576
Ag2MoTe4,-1.072
Ag2O2,-1.695
Ag2P2Se6,-0.697
Ag2ReBr6,-2.054
Ag2ReCl6,-2.124
Ag2ReF6,-12.043
Ag2ReI6,-5.324
Ag2S2,-7.698
Ag2Se2,-1.036
Ag2Te2,-1.147
Ag2WO4,-10.524
Ag2WS4,-0.883
Ag2WSe4,-0.613
Ag2WTe4,-1.238
Ag8C4N8,-2.186
AgBiP2Se6,-1.835
AgGaP2Se6,-0.382
AgInP2S6,-0.803
AgInP2Se6,-0.825
AgScP2S6,-25.458
AgScP2Se6,-0.617
AgSnF6,-3.004
AgVP2Se6,-2.914
Al2Br2O2,-1.418
Al2Br2S2,-0.762
Al2Br2Se2,-0.811
Al2Br6,-1.0185
Al2Cl2O2,-2.711
Al2Cl2S2,-0.839
Al2Cl2Se2,-0.727
Al2Cl6,-5.0105
Al2FeS4,-14.612
Al2I2O2,-1.404
Al2I2S2,-1.775
Al2I2Se2,-0.645
Al2I6,-0.5065
Al2Mg2Se5,-0.373
Al2MgS4,-0.675
Al2MgSe4,-0.476
Al2O2,-0.395
Al2O4,-1.403
Al2P2S6,-1.296
Al2P2Se6,-0.633
Al2S2,-5.4005
Al2Se2,-5.298500000000001
Al2Si2Te6,-0.19
Al2Te2,-14.268500000000001
Al2Tl2F8,-1.258
Al8Te12,-0.915
AlAs,-0.726
AlLiP2S6,-4.737
AlN,-1.512
AlP,-0.84
AlSb,-0.705
As2,-0.13
As2Br6,-29.085
As2H2O10Te2,-5.518
As2I6,-1.678
As2O6Sb2,-3.403
As2O8P2,-14.095
As2O8Sb2,-23.575
As4,-0.347
As4Ge4Se4,-3.198
As4H2O12P2,-3.772
As4O12S2,-7.093
As4O6,-2.8973333333333335
As4O8,-11.847
As4S6,-2.49
As4Se6,-1.153
As8Ge4,-1.177
As8Si4,-0.644
AsB,-0.153
AsBrS,-0.737
AsBrSe,-0.8320000000000001
AsBrTe,-0.8725
AsClS,-0.8235
AsClSe,-0.8095
AsClTe,-0.6795
AsIS,-0.25949999999999995
AsISe,-2.023
AsITe,-0.8664999999999999
Au2Br2,-4.777333333333334
Au2Br2Se4,-0.57
Au2Br2Te4,-1.442
Au2Br6,-1.109
Au2CaF12,-19.234
Au2Cl2,-0.178
Au2Cl2Te4,-1.349
Au2Cl6,-1.636
Au2I2,-0.47
Au2I2Se4,-1.356
Au2I2Te4,-0.922
Au2I6,-1.119
Au2MoO4,-42.065
Au2MoS4,-0.458
Au2MoSe4,-1.374
Au2MoTe4,-0.381
Au2O2,-2.184
Au2ReF6,-3.803
Au2S2,-5.607
Au2Se2,-0.982
