Formula,Val. band maximum
Ag2Au2Cl8,-5.449
Ag2Br2,-3.528
Ag2Br2S4,-3.505
Ag2Br2Se4,-3.407
Ag2Br2Te4,-2.944
Ag2Br6,-3.947
Ag2C8N6,-5.127
Ag2Cl2,-3.768
Ag2Cl2S4,-3.892
Ag2Cl2Se4,-3.655
Ag2Cl2Te4,-3.074
Ag2Cl6,-4.687
Ag2Cr2P4S12,-4.03
Ag2F2,-3.564
Ag2F4,-6.09
Ag2I2,-2.2945
Ag2I2S4,-2.815
Ag2I2Se4,-2.801
Ag2I2Te4,-2.533
Ag2MoO4,-4.8
Ag2MoS4,-2.917
Ag2MoSe4,-2.331
Ag2MoTe4,-1.484
Ag2O2,-3.697
Ag2P2Se6,-1.742
Ag2ReBr6,-3.183
Ag2ReCl6,-3.535
Ag2ReF6,-3.791
Ag2ReI6,-2.139
Ag2S2,-3.856
Ag2Se2,-3.335
Ag2Te2,-2.553
Ag2V2P4S12,-3.554
Ag2WO4,-4.854
Ag2WS4,-2.943
Ag2WSe4,-2.353
Ag2WTe4,-1.484
Ag8C4N8,-3.658
AgBiP2Se6,-3.611
AgGaP2Se6,-3.406
AgInP2S6,-3.875
AgInP2Se6,-3.354
AgScP2S6,-4.176
AgScP2Se6,-3.66
AgSnF6,-7.642
AgVP2Se6,-3.105
Al2Br2O2,-2.624
Al2Br2S2,-2.628
Al2Br2Se2,-1.981
Al2Br6,-4.124499999999999
Al2Cl2O2,-4.054
Al2Cl2S2,-2.524
Al2Cl2Se2,-1.852
Al2Cl6,-5.024
Al2FeS4,-0.715
Al2I2O2,-0.391
Al2I2S2,-2.03
Al2I2Se2,-1.835
Al2I6,-2.6315
Al2Mg2Se5,-1.363
Al2MgS4,-2.423
Al2MgSe4,-1.853
Al2O2,-1.281
Al2O4,-6.433
Al2P2S6,-1.739
Al2P2Se6,-1.248
Al2S2,-2.3265000000000002
Al2Se2,-1.9989999999999999
Al2Si2Te6,-3.012
Al2Te2,-1.5835
Al2Tl2F8,-6.004
Al8Te12,-3.179
AlAs,-3.203
AlLiP2S6,-4.825
AlN,-3.448
AlP,-3.391
AlSb,-2.987
As2,-2.431
As2Br6,-4.121
As2H2O10Te2,-5.814
As2I6,-2.94
As2O6Sb2,-4.324
As2O8P2,-7.278
As2O8Sb2,-5.293
As4,-1.562
As4Ge4Se4,-3.971
As4H2O12P2,-5.764
As4O12S2,-5.967
As4O6,-5.039000000000001
As4O8,-7.17
As4S6,-4.6005
As4Se6,-4.112
As8Ge4,-3.171
As8Si4,-3.324
AsB,-2.62
AsBrS,-2.8955
AsBrSe,-2.6755
AsBrTe,-2.3565
AsClS,-3.3114999999999997
AsClSe,-3.071
AsClTe,-2.7685
AsIS,-1.8635000000000002
AsISe,-1.705
AsITe,-1.4325
Au2Br2,-3.014333333333333
Au2Br2Se4,-3.259
Au2Br2Te4,-2.87
Au2Br6,-3.436
Au2CaF12,-8.217
Au2Cl2,-3.085
Au2Cl2Te4,-2.909
Au2Cl6,-3.978
Au2I2,-1.4435
Au2I2Se4,-2.715
Au2I2Te4,-2.312
Au2I6,-2.422
Au2MoO4,-5.135
Au2MoS4,-2.235
Au2MoSe4,-1.68
Au2MoTe4,-0.93
Au2O2,-3.265
Au2ReF6,-4.53
Au2S2,-3.542
Au2Se2,-3.073
Au2Te2,-1.529
