Formula,Valence band maximum (HSE06)
Ag2Au2Cl8,-6.607
Ag2Br2,-4.525
Ag2Br2S4,-4.401
Ag2Br2Se4,-4.257
Ag2Br2Te4,-3.576
Ag2Br6,-4.852
Ag2Cl2,-4.935499999999999
Ag2Cl2S4,-4.863
Ag2Cl2Se4,-4.563
Ag2Cl2Te4,-3.677
Ag2Cl6,-5.778
Ag2F2,-4.9955
Ag2I2,-3.0484999999999998
Ag2I2S4,-3.566
Ag2I2Te4,-3.185
Ag2MoO4,-5.929
Ag2MoS4,-3.599
Ag2MoSe4,-2.914
Ag2MoTe4,-1.867
Ag2O2,-4.844
Ag2S2,-4.495
Ag2Se2,-3.808
Ag2Te2,-2.863
Ag2WO4,-5.994
Ag2WS4,-3.643
Ag2WSe4,-2.952
Ag2WTe4,-1.888
AgBiP2Se6,-4.221
AgGaP2Se6,-3.997
AgInP2S6,-4.634
AgInP2Se6,-3.977
AgScP2S6,-4.918
AgScP2Se6,-4.302
Al2Br2O2,-3.465
Al2Br2S2,-3.249
Al2Br2Se2,-2.49
Al2Br6,-4.8965
Al2Cl2O2,-5.091
Al2Cl2S2,-3.139
Al2Cl2Se2,-2.354
Al2Cl6,-6.019
Al2FeS4,-1.968
Al2I2O2,-0.959
Al2I2S2,-2.568
Al2I2Se2,-2.352
Al2I6,-3.1879999999999997
Al2Mg2Se5,-1.938
Al2MgS4,-3.114
Al2MgSe4,-2.44
Al2O2,-1.657
Al2P2S6,-2.088
Al2P2Se6,-1.516
Al2S2,-2.8695000000000004
Al2Se2,-2.4885
Al2Si2Te6,-3.354
Al2Te2,-1.9700000000000002
Al8Te12,-3.599
AlAs,-3.655
AlLiP2S6,-5.468
AlN,-4.351
AlSb,-3.251
As2,-2.745
As2Br6,-4.69
As2H2O10Te2,-6.832
As2I6,-3.43
As2O6Sb2,-5.125
As4,-1.846
As4Ge4Se4,-4.459
As4H2O12P2,-6.743
As4O12S2,-6.917
As4O6,-5.890333333333333
As4S6,-5.34
As4Se6,-4.622
As8Ge4,-3.49
As8Si4,-3.679
AsB,-2.836
AsBrS,-3.323
AsBrSe,-3.0845000000000002
AsBrTe,-2.7750000000000004
AsClS,-3.7775
AsClSe,-3.524
AsClTe,-3.1715
AsIS,-2.269
AsISe,-2.0945
AsITe,-1.8005
Au2Br2,-3.66
Au2Br2Se4,-3.863
Au2Br2Te4,-3.315
Au2Br6,-4.129
Au2Cl2,-3.708
Au2Cl2Te4,-3.353
Au2Cl6,-4.815
Au2I2,-1.993
Au2I2Se4,-3.238
Au2I2Te4,-2.78
Au2MoO4,-5.968
Au2MoS4,-2.62
Au2MoSe4,-2.017
Au2MoTe4,-1.145
Au2O2,-3.773
Au2ReF6,-5.465
Au2S2,-4.101
Au2Se2,-3.516
Au2Te2,-1.698
Au2WO4,-6.006
Au2WS4,-2.637
Au2WSe4,-2.023
Au2WTe4,-1.125
Au4I4Te4,-4.373
BN,-4.456
BP,-3.082
BSb,-2.193
Ba4F4Sb4Se8,-2.556
BaBr2,-5.567
BaCl2,-6.203
BaF12Sb2,-9.939
BaF2,-7.686
BaI2,-4.465333333333334
Bi2,-1.38
Bi2Br2,-3.334
Bi2Br2O2,-3.424
Bi2Br2S2,-3.65
Bi2Br2Se2,-3.495
Bi2Br6,-5.2865
Bi2Cd2Cl2O4,-6.049
Bi2Cl2,-3.662
Bi2Cl2O2,-4.164
Bi2Cl2S2,-3.985
Bi2Cl2Se2,-3.773
Bi2Cl6,-5.968500000000001
Bi2Cu2S4,-2.675
Bi2F6,-7.105
Bi2I2,-2.608
Bi2I2O2,-2.104
Bi2I2S2,-2.721
Bi2I2Se2,-2.755
Bi2I6,-3.94
Bi2In2,-2.381
Bi2O2,-1.427
Bi2OS2,-2.373
Bi2OSe2,-1.762
Bi2OTe2,-0.716
Bi2P2S6,-2.724
Bi2P2Se6,-2.039
Bi2P2Te6,-1.364
Bi2S2,-0.7364999999999999
Bi2S2Se,-2.084
Bi2S2Te,-1.428
Bi2S3,-2.169
Bi2SSe2,-1.677
Bi2STe2,-0.889
Bi2Se2,-0.8566666666666666
Bi2Se3,-1.582
Bi2SeTe2,-0.858
Bi2Te2,-0.6679999999999999
Bi2Te3,-0.763
Bi4B4O12,-4.883
Bi4Sr2O8,-3.588
Bi8Rh4,-1.706
BiBrS,-3.9000000000000004
BiBrSe,-3.5665
BiBrTe,-2.915
BiClS,-4.2875
BiClSe,-3.8885
BiClTe,-3.0365
BiCuP2Se6,-4.353
BiIS,-3.0055
BiISe,-2.822
BiITe,-2.4015
Br2Ge,-4.300666666666667
Br2Ge2N2,-3.073
Br2Sb2,-2.314
Br6Sb2,-4.617
BrSSb,-3.358
BrSbSe,-3.109
BrSbTe,-2.776
C2,-1.877
C2F2,-5.171
C2H2,-3.298
C6N2,-1.019
CF2Si,-5.327
CH2Si,-3.884
Ca2Br2H2,-5.351
Ca2Cl4H8O4,-7.73
Ca2Cl4O8,-4.613
Ca2Sn4F12,-4.736
Ca4As4,-2.298
Ca4O12Te4,-5.221
CaBr2,-5.767
CaCl2,-6.638333333333333
CaF2,-8.961
CaH2S2,-4.0
CaI2,-4.207
Cd2H4O8Se2,-5.897
Cd2P2S6,-3.256
Cd2P2Se6,-2.522
Cd2P2Te6,-1.529
Cd2S2,-3.2904999999999998
Cd2S4,-3.14
Cd2Se2,-3.17
Cd2Se4,-2.948
Cd2Te2,-2.372
Cd2Te4,-2.238
Cd4I4O4,-5.327
CdBr2,-5.088
CdC4Cl2H4N2,-5.959
CdCl2,-6.177666666666667
CdClHO,-5.868
CdF2,-8.721
CdF2O2,-6.329
CdGaInS4,-3.043
CdH2O2,-4.277
CdH2S2,-3.406
CdI2,-3.4456666666666664
CdO2,-6.469
CdPb2Cl2O2,-5.032
CdS2,-3.828
Cl2Ge,-4.831666666666666
Cl2Ge2N2,-3.348
Cl2Sb2,-2.631
ClSSb,-3.792
ClSbSe,-3.5035
ClSbTe,-3.087
Co2Br2O2,-1.988
Co2Br2S2,-2.408
Co2Br6,-4.512
Co2Cl2O2,-2.776
Co2Cl2S2,-2.914
Co2Cl6,-5.151
Co2F2O4,-4.859
Co2H2O4,-3.187
Co2H2S4,-1.916
Co2I2S2,-1.148
Co2I6,-2.599
Co4Br4O4,-4.38
Co4S8,-2.816
CoBr2,-4.4205000000000005
CoCl2,-4.750500000000001
CoCl2O8,-6.448
CoZrBr6,-4.238
Cr2Br2S2,-3.245
Cr2Br2Se2,-2.646
Cr2Br6,-4.665
Cr2Cl2O2,-3.49
Cr2Cl2S2,-3.718
Cr2Cl2Se2,-2.887
Cr2Cl6,-5.272
Cr2I2S2,-2.018
Cr2I2Se2,-1.78
Cr2I6,-2.86
Cr2Mo2Te8,-0.071
Cr2P2Se6,-1.195
Cr2S4,-1.521
Cr2Se4,-0.604
Cr2W2S8,-1.284
Cr2W2Se8,-0.578
Cr2W2Te8,0.073
