Formula,Valence band maximum (G₀W₀)
Al2O2,-2.174
Al2S2,-3.662
Al2Se2,-3.224
Al2Te2,-2.538
AlAs,-4.314
AlSb,-3.825
As4,-2.341
AsB,-3.252
AsBrS,-3.8155
AsBrSe,-3.5255
AsBrTe,-3.162
AsClS,-4.29
AsClSe,-3.9805
AsClTe,-3.598
AsIS,-2.6645
AsISe,-2.443
AsITe,-2.124
Au2O2,-3.064
BN,-5.497
BP,-3.581
BSb,-2.519
BaBr2,-6.692
BaCl2,-7.568
Bi2O2,-1.481
BiBrS,-4.4825
BiBrSe,-4.098
BiBrTe,-3.402
BiClS,-4.879
BiClSe,-4.431
BiClTe,-3.528
BiIS,-3.4894999999999996
BiISe,-3.265
BiITe,-2.8225
Br2Ge,-4.9365000000000006
BrSSb,-3.9480000000000004
BrSbSe,-3.6545
BrSbTe,-3.2615
C2F2,-6.41
C2H2,-4.663
CF2Si,-6.358
CH2Si,-4.954
CaBr2,-6.954
CaCl2,-8.007
CaF2,-10.492
CaI2,-4.9785
CdBr2,-6.174666666666667
CdCl2,-7.322333333333333
CdF2,-9.751
CdI2,-3.8355
Cl2Ge,-5.641
ClSSb,-4.398
ClSbSe,-4.071
ClSbTe,-3.5875000000000004
CoBr2,-3.113
CrO2,-4.076
CrS2,-1.869
CrSSe,-1.497
CrSTe,-0.869
CrSe2,-1.137
CrSeTe,-0.786
CrTe2,-0.42
Cu2Br2,-3.4655
Cu2Cl2,-4.094
Cu2I2,-2.512
Cu2S2,-4.15
F2Ge,-5.263
F2Ge2,-4.715
F2Si2,-4.971
FeBr2,-1.7215
FeCl2,-1.992
FeI2,-0.837
Ga2O2,-4.637
Ga2S2,-3.7504999999999997
Ga2Se2,-3.166
Ga2Te2,-2.273
GaAs,-4.072
GaN,-5.003
GaP,-4.418
Ge2H2,-3.768
Ge2S2,-2.958
Ge2Se2,-1.797
Ge2Te2,-1.06
GeI2,-3.598
GeO,-4.973
GeO2,-7.5040000000000004
GeS,-4.717
GeS2,-4.0405
GeSe,-4.193
GeTe,-3.184
H2Si2,-4.463
HfBr2,0.002
HfBrCl,-0.102
HfBrI,0.47
HfCl2,-0.338
HfClI,0.26
HfI2,0.698
HfO2,-6.562666666666668
HfS2,-3.9485
HfSSe,-3.336
HfSe2,-2.7995
HfSeTe,-1.555
HfTe2,-1.575
HgBr2,-5.2835
HgCl2,-6.3045
HgI2,-3.5015
HgTe,-3.269
ISSb,-3.0345
ISbSe,-2.8525
ISbTe,-2.4635
In2O2,-3.613
In2S2,-3.4905
In2Se2,-3.002
In2Te2,-2.271
InAs,-3.686
InN,-3.778
InP,-4.049
InSb,-3.257
Ir2O2,0.093
Ir2S2,0.71
Ir2Se2,1.03
MgBr2,-6.321
MgCl2,-7.6835
MgI2,-4.2555
MnBr2,-3.155
MnCl2,-4.764
MnO2,-4.778
MoO2,-2.785
MoOS,-1.79
MoOSe,-1.181
MoS2,-1.43
MoSSe,-1.051
MoSTe,-0.669
MoSe2,-0.685
MoSeTe,-0.274
MoTe2,0.035
NiBr2,-3.6
NiCl2,-3.992
NiO2,-5.25
NiS2,-3.054
OsBr2,-1.434
OsCl2,-1.706
OsI2,-0.784
P4,-2.723
Pb2S2,-2.022
Pb2Se2,-1.767
Pb2Te2,-1.393
PbBr2,-5.701
PbCl2,-6.3815
PbI2,-4.2675
PbO,-4.637
PbO2,-6.345
PbS,-4.403
PbS2,-4.081
PbSe,-3.902
PbSe2,-2.848
PbTe,-2.965
Pd2F2,-4.019
PdCl2,-4.069
PdO2,-4.95
PdS2,-3.554
PdSe2,-2.477
Pt2Cl2,-1.882
PtCl2,-3.297
PtO2,-4.535
PtS2,-3.313
PtSe2,-2.57
PtTe2,-1.067
Rh2Se2,0.511
RuBr2,-1.575
RuCl2,-2.085
RuI2,-0.873
S2Si,-4.031
S2Si2,-3.369
Sc2O2,-0.527
Sc2S2,-1.413
Sc2Se2,-1.134
Sc2Te2,-0.742
ScH2,-1.985
ScO2,-6.42
ScS2,-4.296
Se2Si,-2.814
Se2Si2,-2.819
Si2Te2,-0.647
Sn2H2,-3.521
Sn2S2,-2.248
Sn2Se2,-1.623
Sn2Te2,-0.964
SnBr2,-5.1035
SnCl2,-5.683
SnF2,-5.225
SnI2,-3.776
SnO,-4.365
SnO2,-6.835666666666666
SnS,-4.616
SnS2,-4.0165
SnSe,-4.217
SnSe2,-3.253
SnTe,-3.227
SrBr2,-7.1545000000000005
SrCl2,-8.002500000000001
SrF2,-10.019
SrI2,-5.308
Ti2Te2,0.311
TiBr2,-0.137
TiBrCl,-0.378
TiBrI,0.171
TiCl2,-0.502
TiClI,-0.014
TiI2,0.418
TiO2,-6.629333333333332
TiS2,-4.2755
TiSSe,-2.507
TiSe2,-2.436
Tl2S2,-3.2350000000000003
Tl2Se2,-2.742
V2S2,-0.524
V2Se2,-0.591
V2Te2,-0.552
VBr2,-1.962
VCl2,-2.155
VSe2,-0.891
VTe2,-1.798
WO2,-2.752
WOSe,-1.259
WOTe,-0.472
WS2,-1.373
WSSe,-1.008
WSTe,-0.668
WSe2,-0.627
WSeTe,-0.236
WTe2,0.063
YBr2,-0.984
YCl2,-1.287
Zn2S2,-4.68
ZnBr2,-5.887333333333333
ZnCl2,-7.099666666666667
ZnF2,-10.367
ZnI2,-3.9613333333333336
Zr2Te2,0.246
ZrBr2,-0.175
ZrBrCl,-0.277
ZrBrI,0.279
ZrCl2,-0.512
ZrClI,0.089
ZrI2,0.496
ZrO2,-6.399666666666666
ZrS2,-3.9445
ZrSSe,-3.371
ZrSTe,-1.569
ZrSe2,-2.854
ZrSeTe,-1.668
ZrTe2,-1.666
