Formula,Vacuum level
Ag2,1.926
Ag2Au2Cl8,1.357
Ag2Br2,2.754
Ag2Br2N2,3.653
Ag2Br2O2,3.485
Ag2Br2S2,3.568
Ag2Br2S4,2.632
Ag2Br2Se2,4.576
Ag2Br2Se4,2.575
Ag2Br2Te4,2.642
Ag2Br4,2.849
Ag2Br6,2.4764999999999997
Ag2C8N6,0.51
Ag2Cl2,2.5010000000000003
Ag2Cl2N2,3.609
Ag2Cl2O2,3.434
Ag2Cl2S2,3.739
Ag2Cl2S4,2.446
Ag2Cl2Se2,5.072
Ag2Cl2Se4,2.458
Ag2Cl2Te4,2.554
Ag2Cl6,2.489
Ag2Cr2P4S12,2.01
Ag2F2,1.937
Ag2F4,1.109
Ag2I2,3.143
Ag2I2N2,4.084
Ag2I2O2,4.018
Ag2I2S2,3.887
Ag2I2S4,2.97
Ag2I2Se2,5.293
Ag2I2Se4,2.893
Ag2I2Te4,2.87
Ag2I4,3.33
Ag2I6,3.1345
Ag2MoO4,1.838
Ag2MoS4,2.637
Ag2MoSe4,2.767
Ag2MoTe4,3.043
Ag2O2,1.855
Ag2P2S6,3.608
Ag2P2Se6,3.693
Ag2P2Te6,3.92
Ag2ReBr6,2.859
Ag2ReCl6,2.796
Ag2ReF6,2.069
Ag2ReI6,3.341
Ag2S2,2.7045
Ag2S4,2.215
Ag2Se2,2.7885
Ag2Se4,2.292
Ag2Te2,3.3623333333333334
Ag2Te4,2.423
Ag2V2P4S12,2.015
Ag2WO4,1.846
Ag2WS4,2.623
Ag2WSe4,2.758
Ag2WTe4,3.042
Ag8C4N8,2.071
AgBiP2Se6,1.996
AgBr2,2.843666666666666
AgCa2Br2O2,4.101
AgCa2Br2S2,3.696
AgCa2Cl2O2,3.907
AgCa2Cl2S2,3.519
AgCa2I2O2,4.589
AgCa2I2S2,4.164
AgCl2,2.7916666666666665
AgCuTe2,2.313
AgF2,1.111
AgGaP2Se6,2.023
AgH2,2.228
AgI2,3.3273333333333333
AgInP2S6,2.003
AgInP2Se6,2.019
AgLi2,2.47
AgNi2O4,3.556
AgO2,1.526
AgS2,4.883
AgScP2S6,1.992
AgScP2Se6,2.021
AgSe2,4.842
AgSnF6,1.133
AgSr2Br2O2,4.243
AgSr2Br2S2,3.835
AgSr2Cl2O2,4.053
AgSr2Cl2S2,3.626
AgSr2I2O2,4.739
AgSr2I2S2,4.321
AgTe2,4.71
AgVP2Se6,2.051
Al2Br2N2,4.09
Al2Br2O2,3.948
Al2Br2S2,3.532
Al2Br2Se2,3.466
Al2Br4,2.834
Al2Br6,2.7275
Al2Cl2N2,3.998
Al2Cl2O2,3.841
Al2Cl2S2,3.458
Al2Cl2Se2,3.402
Al2Cl6,2.7645
Al2FeS4,3.224
Al2I2O2,4.445
Al2I2S2,3.922
Al2I2Se2,3.818
Al2I6,3.0765000000000002
Al2Mg2Se5,3.46
Al2MgS4,2.945
Al2MgSe4,2.983
Al2MnS4,3.311
Al2O2,3.035
Al2O4,2.021
Al2P2S6,3.541
Al2P2Se6,3.585
Al2P2Te6,3.836
Al2S2,3.283
Al2S4,4.237
Al2Se2,3.261333333333333
Al2Se4,3.888
Al2Si2Te6,2.094
Al2Te2,3.202
Al2Te4,3.946
Al2Tl2F8,1.166
Al2ZnS4,3.214
Al8Te12,1.736
AlAs,2.005
AlB4,1.057
AlBr2,2.838
AlC,1.738
AlCl2,2.9604999999999997
AlFeF5,0.951
AlI2,3.4345
AlLiP2S6,1.699
AlN,1.875
AlNi5Br2,4.576
AlNi5Cl2,4.571
AlNi5I2,4.84
AlP,1.961
AlPd5Br2,4.872
AlPd5Cl2,4.919
AlPd5I2,5.079
AlPt5Br2,5.415
AlPt5Cl2,5.527
AlPt5I2,5.672
AlSb,2.012
AlTe4,1.806
As2,2.811
As2Br6,2.727
As2C6,2.491
As2Ge6,2.106
As2H2O10Te2,2.058
As2I6,3.089
As2O6Sb2,1.701
As2O8P2,1.353
As2O8Sb2,1.484
As2Si6,2.168
As4,3.103
As4Ge4Se4,1.675
As4H2O12P2,1.244
As4O12S2,1.21
As4O6,1.1953333333333334
As4O8,1.386
As4S6,1.2814999999999999
As4Se6,1.369
As8Ge4,1.981
As8Si4,1.963
AsB,2.294
AsBr2,3.599
AsBrS,3.316
AsBrSe,3.3315
AsBrTe,3.3925
AsC,2.39
AsCl2,3.6820000000000004
AsClS,3.2935
AsClSe,3.3025
AsClTe,3.355
AsI2,3.4775
AsIS,3.552
AsISe,3.565
AsITe,3.619
AsS2,3.8040000000000003
AsSe2,3.9074999999999998
AsTe2,4.202
Au2Br2,2.6766666666666663
Au2Br2N2,3.768
Au2Br2O2,3.511
Au2Br2S2,3.473
Au2Br2Se2,3.512
Au2Br2Se4,2.449
Au2Br2Te4,2.629
Au2Br4,2.793
Au2Br6,2.5415
Au2CaF12,1.679
Au2Cl2,3.171
Au2Cl2N2,3.705
Au2Cl2O2,3.453
Au2Cl2Se2,3.513
Au2Cl2Te4,2.579
Au2Cl6,2.566
Au2I2,3.5564999999999998
Au2I2N2,4.192
Au2I2O2,3.936
Au2I2S2,3.8
Au2I2Se2,3.776
Au2I2Se4,2.713
Au2I2Te4,2.833
Au2I4,3.265
Au2I6,2.9085
Au2MoO4,1.455
Au2MoS4,2.828
Au2MoSe4,2.951
Au2MoTe4,3.225
Au2O2,2.683
Au2O4,2.765
Au2P2S6,3.611
Au2P2Se6,3.662
Au2P2Te6,3.972
Au2ReF6,2.376
Au2S2,3.267333333333333
Au2S4,2.361
Au2Se2,3.407
Au2Se4,2.41
Au2SrO8,1.948
Au2Te2,3.43825
Au2Te4,2.522
Au2WO4,1.478
Au2WS4,2.823
Au2WSe4,2.953
Au2WTe4,3.243
Au4I4Te4,1.943
AuBr2,2.861
AuCa2Br2O2,4.181
AuCa2Br2S2,3.805
AuCa2Cl2O2,3.944
AuCa2Cl2S2,3.64
AuCa2I2O2,4.559
AuCa2I2S2,4.242
AuCl2,2.8379999999999996
AuF2,2.38
AuH2,2.446
AuI2,3.2823333333333333
AuLi2,1.914
AuO2,2.8716666666666666
AuS2,3.435
AuSe2,4.11
AuSr2Br2O2,4.337
AuSr2Br2S2,3.946
AuSr2Cl2O2,4.162
AuSr2Cl2S2,3.757
AuSr2I2O2,4.82
AuSr2I2S2,4.421
AuTe2,4.178
B2,1.943
B2N,2.202
B3C10N3,1.138
BC,1.966
BN,2.177
BP,2.276
BSb,2.415
Ba2Br2,1.997
Ba2Cl2,2.065
Ba2CuHgTlO5,3.536
Ba2H8O6,1.342
Ba2I2,2.126
Ba2Mg2Pb2,2.253
Ba2Mg2Sn2,2.272
Ba2Mn2Ge2,2.529
Ba2N,2.375
Ba4F4Sb4Se8,3.499
BaBr2,2.5006666666666666
BaCl2,2.461
BaF12Sb2,2.66
BaF2,1.574
BaI2,2.755333333333333
BaTa2O7,3.167
BaTe2,4.448
Be4,1.493
BeH4O4P2,0.84
Bi2,2.617
Bi2Br2,3.1265
Bi2Br2N2,4.223
Bi2Br2O2,4.105
Bi2Br2S2,3.59
Bi2Br2Se2,3.56
Bi2Br6,2.516
Bi2C6,2.404
Bi2Cd2Cl2O4,1.78
Bi2Cl2,3.0549999999999997
Bi2Cl2N2,4.137
Bi2Cl2O2,4.038
Bi2Cl2S2,3.538
Bi2Cl2Se2,3.512
Bi2Cl6,2.5125
Bi2Cr,5.008
Bi2Cu2S4,1.988
Bi2F2,5.307
Bi2F6,1.83
Bi2Fe2Br2S4,1.935
Bi2Ge3O9,0.95
Bi2Ge6,2.131
Bi2Hf,5.8685
Bi2I2,3.4655
Bi2I2N2,5.025
Bi2I2O2,4.453
Bi2I2S2,3.855
Bi2I2Se2,3.805
Bi2I6,2.8485
Bi2In2,1.719
Bi2MnTe4,3.529
Bi2Mo,5.464499999999999
Bi2Nb,5.634
Bi2O2,2.6445
Bi2O9Si3,0.913
Bi2OS2,4.591
Bi2OSe2,4.588
Bi2OTe2,4.558
Bi2P2S6,3.32
Bi2P2Se6,3.399
Bi2P2Te6,3.488
Bi2Pb6,2.052
Bi2Pd,2.47
Bi2S2,4.109999999999999
Bi2S2Se,4.744
Bi2S2Te,4.828
Bi2S3,4.698
Bi2S4,2.719
Bi2SSe2,4.707
Bi2STe2,4.741
Bi2Se2,3.74925
Bi2Se2Te,4.844
Bi2Se3,4.754
Bi2SeTe2,4.784
Bi2Si6,2.105
Bi2Sn6,2.116
Bi2Ta,5.7435
Bi2Te2,3.77875
Bi2Te3,4.854
Bi2Te4,3.034
Bi2Ti,5.430999999999999
Bi2V,5.2165
Bi2W,5.6025
Bi2YO4,2.4
Bi2Zr,5.8095
Bi4B4O12,1.868
Bi4Cu4,2.555
Bi4Sr2O8,2.253
Bi6Ir2O4,2.15
Bi6Pt3,2.194
Bi8Rh4,2.176
BiBr2,3.7389999999999994
BiBrS,3.293
BiBrSe,3.3129999999999997
BiBrTe,3.351
BiCl2,3.802666666666667
BiClS,3.2455
BiClSe,3.269
BiClTe,3.303
BiCrAs,4.301500000000001
BiCrSb,4.891
BiCuP2Se6,2.01
BiF2,3.106
BiH2O2,1.819
BiHO6Se2,1.891
BiHfAs,4.3335
BiHfSb,5.677
BiI2,3.9570000000000003
BiIS,3.52
BiISe,3.537
BiITe,3.567
BiMoAs,4.9815000000000005
BiMoSb,5.3125
BiNbAs,4.605499999999999
BiNbSb,5.4605
BiO,1.315
BiO2,2.264
BiS2,3.298
BiSe2,3.404
BiTaAs,4.6245
BiTaSb,5.574
BiTe2,3.826
BiTiAs,4.186
BiTiSb,5.282500000000001
BiVAs,4.3515
BiVSb,5.074999999999999
BiWAs,5.1525
BiWSb,5.449
BiZrAs,4.298500000000001
BiZrSb,5.6215
Br2Ge,2.683
Br2Ge2,3.929
Br2Ge2N2,4.125
Br2Ge2O2,3.758
Br2Ge2S2,3.624
Br2Ge2Se2,3.619
Br2Sb,3.7449999999999997
Br2Sb2,3.1955
Br6Sb2,2.663
BrSSb,3.3185000000000002
BrSbSe,3.3355
BrSbTe,3.377
C2,2.336
C2F2,3.596
C2H2,2.165
C6N2,2.453
C6N8,0.951
C6P2,2.526
C6Sb2,2.554
CF2Si,3.125
CH2Si,2.163
CN,2.559
CP,2.557
Ca2Br2,1.842
Ca2Br2H2,2.086
Ca2C,2.135
Ca2C2F2O6,2.342
Ca2Cl2,2.011
Ca2Cl4H8O4,1.195
Ca2Cl4O8,1.528
Ca2CoO3,1.745
Ca2CuBr2O2,4.261
Ca2CuBr2S2,3.908
Ca2CuCl2O2,4.062
Ca2CuCl2S2,3.69
Ca2CuI2O2,4.774
Ca2CuI2S2,4.433
Ca2F2,1.93
Ca2Fe2Si2,3.394
Ca2I2,2.812
Ca2Mn2Ge2,2.234
Ca2Mn2Si2,2.192
Ca2Mn2Sn2,3.822
Ca2N,3.298
Ca2Sn4F12,2.033
Ca3Cu2Br2O4,3.287
Ca4As4,1.258
Ca4O12Te4,1.608
CaBr2,2.539
CaCl2,2.492
CaF2,1.405
CaF2O2,2.43
CaH2O2,1.462
CaH2S2,1.933
CaH4O4,0.832
CaI2,2.858
CaS2,3.643
CaSe2,3.858
CaTe2,4.027
Cd2Br2,3.6525
Cd2Cl2,3.62
Cd2F2,2.9625
Cd2H4O8Se2,1.604
Cd2I2,3.9915000000000003
Cd2Mn3O8,1.378
Cd2P2S6,3.62
Cd2P2Se6,3.664
Cd2P2Te6,3.786
Cd2S2,2.651
Cd2S4,2.324
Cd2Se2,2.77
Cd2Se4,2.705
Cd2Te2,3.0340000000000003
Cd2Te4,2.858
Cd4Br4O4,1.5
Cd4I4O4,1.679
CdBr2,2.794
CdC4Cl2H4N2,1.316
CdCl2,2.792
CdClHO,1.29
CdF2,1.636
CdF2O2,2.806
CdGaInS4,3.0945
CdH2O2,1.549
CdH2S2,2.091
CdI2,3.1
CdO2,2.539
CdPb2Cl2O2,1.802
CdS2,2.956
CdSe2,4.069
CdTe2,4.061
Cl2Ge,2.6426666666666665
Cl2Ge2,4.074
Cl2Ge2N2,4.043
Cl2Ge2O2,3.671
Cl2Ge2S2,3.582
Cl2Ge2Se2,3.597
Cl2Sb,3.865
Cl2Sb2,3.125
ClSSb,3.277
ClSbSe,3.2915
ClSbTe,3.3289999999999997
Co2Br2,3.4715
Co2Br2N2,3.962
Co2Br2O2,3.803
Co2Br2S2,3.932
Co2Br2Se2,3.885
Co2Br4O6Sb4,2.075
Co2Br6,2.7889999999999997
Co2Cl2,3.8665
Co2Cl2N2,4.0
Co2Cl2O2,3.741
Co2Cl2S2,3.9
Co2Cl2Se2,3.858
Co2Cl6,2.8245
Co2F2,3.7045
Co2F2O4,4.138
Co2H2O4,2.94
Co2H2S4,3.901
Co2H4O8Se2,1.624
Co2I2,3.828
Co2I2N2,4.755
Co2I2O2,4.308
Co2I2S2,4.317
Co2I2Se2,4.233
Co2I6,3.1925
Co2Li2As2,3.266
Co2Li2P2,3.154
Co2Li2Sb2,3.242
Co2Na2As2,3.223
Co2Na2P2,3.222
Co2Na2Sb2,2.861
Co2O2,3.1133333333333333
Co2P2S6,3.841
Co2P2Se6,3.788
Co2P2Te6,3.955
Co2Pd2P2,2.795
Co2S2,3.8513999999999995
Co2S4,3.1925
Co2S6,4.469
Co2Se2,3.914
Co2Se4,3.979
Co2Se6,4.945
Co2Te2,3.9542
Co2Te4,4.227
Co2Te6,5.198
Co4Br4O4,1.762
Co4S8,3.685
Co8Ta4Te8,3.387
CoBr2,2.9783333333333335
CoC2N2S2,1.577
CoC4Cl2H4N2,1.437
CoC4H8N2O4,0.968
CoCl2,3.0206666666666666
CoCl2O8,1.87
CoF2,1.874
CoH2,2.339
CoH2O2,1.785
CoHfBr6,2.979
CoHfF6,2.204
CoI2,3.406
CoLi2,3.027
CoO2,2.9066666666666667
CoRe2O8,1.613
CoS2,3.8273333333333333
CoSe2,3.97
CoTe2,4.1883333333333335
CoZrBr6,2.952
Cr2BO2,5.121
Cr2BS2,5.829
Cr2BSe2,5.977
Cr2Br2,3.657
Cr2Br2N2,3.877
Cr2Br2O2,2.284
Cr2Br2S2,3.699
Cr2Br2Se2,3.677
Cr2Br4C16H16N8,1.649
Cr2Br6,2.881
Cr2C,4.066
Cr2C16Cl4H16N8,1.557
Cr2C16H16I4N8,1.86
Cr2CO2,4.863
Cr2CS2,5.858
Cr2Cl2,3.581
Cr2Cl2N2,3.801
Cr2Cl2O2,3.711
Cr2Cl2S2,3.643
Cr2Cl2Se2,3.632
Cr2Cl6,2.916
Cr2Cu2O8,1.421
Cr2Cu2P4S12,2.01
Cr2F2,3.8695000000000004
Cr2F2N,4.386
Cr2F4,1.122
Cr2Ge2Te6,2.144
Cr2H2NO2,3.427
Cr2I2,4.602
Cr2I2N2,4.478
Cr2I2S2,4.056
Cr2I2Se2,4.003
Cr2I6,3.262
Cr2Mo2S8,4.394
Cr2Mo2Se8,4.45
Cr2Mo2Te8,4.621
Cr2N,4.584
Cr2Nb2Se10,2.541
Cr2O2,2.7445
Cr2P2S6,3.767
Cr2P2Se6,3.681
Cr2P2Te6,3.919
Cr2S2,3.62
Cr2S4,3.197
Cr2Se2,2.139
Cr2Se4,3.2805
Cr2Si2Te6,2.144
Cr2Ta4O12,1.796
Cr2Te4,2.328
Cr2Te6,5.119
Cr2W2S8,4.443
Cr2W2Se8,4.494
Cr2W2Te8,4.651
Cr3C2,5.199
Cr3C2F2,6.082
Cr3C2H2O2,4.08
Cr3C2O2,6.399
Cr3MoS8,4.347
Cr3MoSe8,4.404
Cr3MoTe8,4.576
Cr3N2,6.215
Cr3N2O2,7.133
Cr3Te4,3.763
Cr3WS8,4.37
Cr3WSe8,4.425
Cr3WTe8,4.59
Cr4C3,6.345
Cr4C3F2,6.934
Cr4C3H2O2,4.79
Cr4C3O2,7.572
Cr4F2N3,6.945
Cr4H2N3O2,5.404
Cr4N3,6.155
Cr4N3O2,7.308
CrAs2,4.977
CrAsSb,4.824
CrBr2,2.923666666666667
CrBrCl,3.0359999999999996
CrBrI,3.2635
CrCl2,2.937
CrClI,3.2525
CrF2,3.016
CrGa2S4,3.165
CrGa2Se4,3.159
CrH2,2.405
CrH2O2,2.064
CrHO2,1.418
CrI2,3.281
CrLi2,3.098
CrMo3S8,4.449
CrMo3Se8,4.503
CrMo3Te8,4.666
CrMoF6,1.192
CrNbF6,0.964
CrO2,3.017333333333333
CrS2,3.7256666666666667
CrSSe,4.1395
CrSTe,4.2535
CrSb2,5.263999999999999
CrSe2,3.787333333333333
CrSeTe,4.32
CrTe2,3.776666666666666
CrW3S8,4.529
CrW3Se8,4.575
CrW3Te8,4.714
Cs2Br2,1.268
Cs2C2F6O6S2,1.916
Cs2C6N6Se6,1.783
Cs2Cl2,1.274
Cs2F2,1.303
Cs2F2H6O6P2,2.239
CsC2I3N2,1.494
CsF2,0.975
CsO2,1.407
Cu2As4Cl2S3,1.511
Cu2Br2,2.9444999999999997
Cu2Br2C4H4N2,1.259
Cu2Br2N2,3.714
Cu2Br2O2,3.584
Cu2Br2S2,3.647
Cu2Br2S4,2.548
Cu2Br2Se2,3.82
Cu2Br2Se4,2.615
Cu2Br2Te4,2.729
Cu2Br6,2.564
Cu2C2Cl2O2,1.553
Cu2C2N4,1.009
Cu2C4H4O8,0.648
Cu2C6H8I2N2,1.362
Cu2Cl2,2.9105
Cu2Cl2N2,3.663
Cu2Cl2O2,3.495
Cu2Cl2S2,3.749
Cu2Cl2Se2,3.773
Cu2Cl2Se4,2.549
Cu2Cl2Te4,2.68
Cu2Cl6,2.5835
Cu2F2,3.016
Cu2F4,1.174
Cu2Ge2O6,1.446
Cu2H4O10Se2,1.113
Cu2Hg2Cl2Se2,1.565
Cu2I2,3.29
Cu2I2N2,4.694
Cu2I2O2,4.22
Cu2I2S2,4.088
Cu2I2S4,2.795
Cu2I2Se2,4.141
Cu2I2Se4,2.849
Cu2I2Te4,2.908
Cu2I4,3.509
Cu2I4O12,1.705
Cu2I6,3.0795
Cu2MoO4,1.625
Cu2MoSe4,2.949
Cu2MoTe4,3.225
Cu2O12Sb4,1.656
Cu2O2,2.276
Cu2O4S,1.067
Cu2O6Si2,1.365
Cu2P2S6,3.697
Cu2P2Se6,3.79
Cu2P2Te6,4.02
Cu2PtC6N8,1.153
Cu2ReBr6,3.068
Cu2ReCl6,2.872
Cu2ReF6,2.081
Cu2ReI6,3.358
Cu2S,1.184
Cu2S2,2.8396666666666666
Cu2S4,2.257
Cu2S4Sb2,2.098
Cu2Sb2Se4,2.096
Cu2Se2,2.9555999999999996
Cu2Se4,2.341
Cu2Sr2,1.761
Cu2Te2,3.3240000000000003
Cu2Te4,3.4495
Cu2WO4,1.397
Cu2WS4,2.817
Cu2WSe4,2.964
Cu2WTe4,3.248
Cu3O4P,0.982
Cu4Cl4H4O4,1.694
Cu4Cl4O4,1.623
Cu4F4H4O4,1.059
Cu4Li2V2O12,1.163
Cu4O12Te2,1.53
Cu4O12Te4,1.197
CuBr,0.893
CuBr2,2.923
CuC6H4N6O2,1.228
CuCl2,2.922333333333333
CuF2,1.147
CuH2,2.095
CuH2O2,1.476
CuI2,3.3836666666666666
CuInP2Se6,2.055
CuLi2,2.504
CuLi2O2,0.671
CuO2,2.340666666666667
CuS2,3.547333333333333
CuSe2,3.7003333333333335
CuSr2Br2O2,4.42
CuSr2Br2S2,4.041
CuSr2Cl2O2,4.211
CuSr2Cl2S2,3.816
CuSr2I2O2,4.949
CuSr2I2S2,4.548
CuTe2,4.049333333333333
CuV2O6,1.088
F2Ge,1.518
F2Ge2,2.659
F2Sb,3.398
F2Sb2,5.931
F2Si2,2.663
Fe2Br2,3.738
Fe2Br2N2,3.94
Fe2Br2O2,3.757
Fe2Br6,2.795
Fe2Cl2,4.015000000000001
Fe2Cl2O2,3.679
Fe2Cl6,2.7960000000000003
Fe2F2,3.7205000000000004
Fe2F2O2,1.892
Fe2Ga2S5,3.8215000000000003
Fe2H2O4,3.578
Fe2I2,3.886
Fe2I2O2,4.17
Fe2I2S2,4.392
Fe2I6,3.186
Fe2In2Se5,3.754
Fe2Li2As2,3.17
Fe2Li2P2,3.019
Fe2Li2Sb2,3.926
Fe2Mg2Ge2,3.968
Fe2Mg2Si2,3.216
Fe2Mo2Cl2O8,1.35
Fe2Na2P2,3.037
Fe2O2,3.27
Fe2O4,2.067
Fe2P2S6,2.093
Fe2P2Se6,2.117
Fe2P2Te6,4.0
Fe2S2,3.71475
Fe2S4,3.963
Fe2Se2,3.1115
Fe2Se4,3.178
Fe2Sr2Ge2,4.447
Fe2Sr2Si2,3.842
Fe2Sr3Br2O5,3.626
Fe2Sr4Br2O6,4.054
Fe2Ta2Te6,2.421
Fe2Te2,4.119400000000001
Fe2Te4,3.375
Fe2Te6,5.318
Fe2W2Cl2O8,1.359
Fe3GeTe2,4.867
Fe3S4,4.1655
Fe3Se4,3.91
Fe4S8,2.208
FeBr2,3.0096666666666665
FeCl2,3.051
FeF2,2.907
FeGa2S4,3.246
FeH2,2.365
FeH2O2,2.139
FeHfBr6,3.06
FeHfCl6,3.094
FeHfF6,2.458
FeHfI6,3.422
FeI2,3.3870000000000005
FeLi2,2.809
FeMn2C6N6,0.796
FeO2,3.001333333333333
FeS2,3.5273333333333334
FeSe2,3.6183333333333336
FeSn2C6N6,0.97
FeTe2,4.270666666666667
FeZn2C6N6,0.861
FeZrBr6,3.062
FeZrCl6,3.093
FeZrF6,2.487
FeZrI6,3.399
Ga2Br2,1.414
Ga2Br2N2,3.979
Ga2Br2O2,3.742
Ga2Br2S2,3.442
Ga2Br2Se2,3.399
Ga2Br6,2.6775
Ga2Cl2,1.334
Ga2Cl2N2,3.899
Ga2Cl2O2,3.654
Ga2Cl2S2,3.393
Ga2Cl2Se2,3.356
Ga2Cl2Te2,1.847
Ga2Cl6,2.6985
Ga2F4H10N4,1.035
Ga2Ge2Te2,2.826
Ga2H2O8Se2,1.576
Ga2I2,1.71
Ga2I2N2,4.481
Ga2I2O2,4.208
