Formula,Work function (avg. if finite dipole)
Ag2,4.52
Ag2Au2Cl8,6.352
Ag2Br2,5.393
Ag2Br2N2,6.096
Ag2Br2O2,6.421
Ag2Br2S2,6.431
Ag2Br2S4,5.554
Ag2Br2Se2,6.345
Ag2Br2Se4,5.364
Ag2Br2Te4,4.979
Ag2Br4,6.557
Ag2Br6,6.6274999999999995
Ag2C8N6,3.931
Ag2Cl2,5.377
Ag2Cl2N2,6.558
Ag2Cl2O2,6.997
Ag2Cl2S2,6.926
Ag2Cl2S4,5.744
Ag2Cl2Se2,6.562
Ag2Cl2Se4,5.442
Ag2Cl2Te4,4.982
Ag2Cl6,7.341
Ag2Cr2P4S12,5.541
Ag2F2,5.237
Ag2F4,7.197
Ag2I2,4.526999999999999
Ag2I2N2,5.493
Ag2I2O2,5.581
Ag2I2S2,5.759
Ag2I2S4,5.191
Ag2I2Se2,5.242
Ag2I2Se4,5.167
Ag2I2Te4,4.89
Ag2I4,5.843
Ag2I6,5.82
Ag2MoO4,5.596
Ag2MoS4,5.083
Ag2MoSe4,4.75
Ag2MoTe4,4.37
Ag2O2,5.47
Ag2P2S6,5.913
Ag2P2Se6,5.417
Ag2P2Te6,4.834
Ag2ReBr6,5.762
Ag2ReCl6,5.942
Ag2ReF6,5.348
Ag2ReI6,5.395
Ag2S2,5.728
Ag2S4,4.838
Ag2Se2,5.449999999999999
Ag2Se4,4.728
Ag2Te2,5.251
Ag2Te4,4.595
Ag2V2P4S12,5.555
Ag2WO4,5.725
Ag2WS4,4.876
Ag2WSe4,4.576
Ag2WTe4,4.232
Ag8C4N8,4.924
AgBiP2Se6,5.057
AgBr2,6.6626666666666665
AgCa2Br2O2,5.306
AgCa2Br2S2,5.991
AgCa2Cl2O2,5.284
AgCa2Cl2S2,6.065
AgCa2I2O2,5.45
AgCa2I2S2,5.887
AgCl2,7.265666666666667
AgCuTe2,4.621
AgF2,6.481
AgGaP2Se6,4.974
AgH2,4.816
AgI2,5.916333333333334
AgInP2S6,5.219
AgInP2Se6,4.941
AgLi2,3.429
AgNi2O4,7.027
AgO2,6.74
AgS2,5.744
AgScP2S6,5.16
AgScP2Se6,4.864
AgSe2,5.2
AgSnF6,8.474
AgSr2Br2O2,5.385
AgSr2Br2S2,5.369
AgSr2Cl2O2,5.026
AgSr2Cl2S2,5.309
AgSr2I2O2,5.676
AgSr2I2S2,5.456
AgTe2,4.724
AgVP2Se6,4.98
Al2Br2N2,6.537
Al2Br2O2,4.501
Al2Br2S2,5.029
Al2Br2Se2,4.679
Al2Br4,4.175
Al2Br6,5.2509999999999994
Al2Cl2N2,6.573
Al2Cl2O2,5.031
Al2Cl2S2,4.815
Al2Cl2Se2,4.547
Al2Cl6,5.4559999999999995
Al2FeS4,3.608
Al2I2O2,3.726
Al2I2S2,5.145
Al2I2Se2,4.906
Al2I6,4.984999999999999
Al2Mg2Se5,4.266
Al2MgS4,4.345
Al2MgSe4,4.304
Al2MnS4,4.358
Al2O2,3.5445
Al2O4,8.445
Al2P2S6,4.627
Al2P2Se6,4.532
Al2P2Te6,4.344
