Formula,Area of unit-cell
Ag2,7.093
Ag2Au2Cl8,58.727
Ag2Br2,18.252499999999998
Ag2Br2N2,14.551
Ag2Br2O2,14.854
Ag2Br2S2,18.736
Ag2Br2S4,39.132
Ag2Br2Se2,16.097
Ag2Br2Se4,43.519
Ag2Br2Te4,48.514
Ag2Br4,28.035
Ag2Br6,42.316
Ag2C8N6,101.987
Ag2Cl2,18.441499999999998
Ag2Cl2N2,14.249
Ag2Cl2O2,14.584
Ag2Cl2S2,17.659
Ag2Cl2S4,40.248
Ag2Cl2Se2,14.015
Ag2Cl2Se4,43.587
Ag2Cl2Te4,48.168
Ag2Cl6,38.272000000000006
Ag2Cr2P4S12,63.803
Ag2F2,16.964
Ag2F4,22.502
Ag2I2,19.325499999999998
Ag2I2N2,15.081
Ag2I2O2,14.884
Ag2I2S2,19.164
Ag2I2S4,38.345
Ag2I2Se2,14.923
Ag2I2Se4,42.924
Ag2I2Te4,49.217
Ag2I4,30.634
Ag2I6,44.055
Ag2MoO4,33.75
Ag2MoS4,34.701
Ag2MoSe4,36.192
Ag2MoTe4,38.514
Ag2O2,19.139
Ag2P2S6,33.071
Ag2P2Se6,36.36
Ag2P2Te6,41.405
Ag2ReBr6,43.494
Ag2ReCl6,40.271
Ag2ReF6,33.663
Ag2ReI6,48.181
Ag2S2,18.4705
Ag2S4,35.525
Ag2Se2,19.501
Ag2Se4,39.201
Ag2Te2,19.107333333333333
Ag2Te4,45.572
Ag2V2P4S12,63.956
Ag2WO4,34.584
Ag2WS4,35.332
Ag2WSe4,36.734
Ag2WTe4,38.89
Ag8C4N8,40.642
AgBiP2Se6,39.421
AgBr2,13.875
AgCa2Br2O2,16.922
AgCa2Br2S2,23.05
AgCa2Cl2O2,16.8
AgCa2Cl2S2,23.141
AgCa2I2O2,17.367
AgCa2I2S2,23.031
AgCl2,13.082333333333333
AgCuTe2,13.456
AgF2,16.916
AgGaP2Se6,36.044
AgH2,7.169
AgI2,15.130333333333333
AgInP2S6,33.915
AgInP2Se6,37.494
AgLi2,8.004
AgNi2O4,7.292
AgO2,14.202
AgS2,7.358
AgScP2S6,33.503
AgScP2Se6,36.883
AgSe2,8.261
AgSnF6,28.047
AgSr2Br2O2,17.681
AgSr2Br2S2,23.195
AgSr2Cl2O2,17.336
AgSr2Cl2S2,23.234
AgSr2I2O2,18.176
AgSr2I2S2,23.301
AgTe2,10.179
AgVP2Se6,35.611
Al2Br2N2,11.942
Al2Br2O2,12.156
