Formula,Band gap
As4O8,3.232
Ca4As4,0.998
In2Se2,1.63
Sc4S6,1.515
V2O5,1.356
Zr2Te10,0.191
Al2MgSe4,1.064
Cr2Br2O2,0.501
Hf2Ge2Te8,0.565
In4I4Te4,1.732
Li2Cl2O4,3.347
Na2H2O2,2.802
Nb2Br4Se4,1.096
Nb3Cl7Te,0.772
Pd2O6Se2,1.12
Pt4Tl2Te6,0.663
Sc4I4O4,1.792
Ta3I7Te,0.643
W2O12Sb4,1.745
Zr2Cl2N2,1.923
In2Se2,1.321
Cu4Cl4H4O4,0.403
HfNa2H6O6,4.113
Li6H2O8Te2,4.037
Na2PtH6O6,2.835
Sn2F2O6P2,3.985
Na2C2H6N8O2,4.819
Ag2Se2,0.75
Al2Se2,1.997
Au2I2,0.781
Co2Br2,0.065
In2Br2,2.054
Cu2Cl2,1.447
Rb2Cl2,4.651
Ti2Cl2,0.013
Co2I2,0.037
F2Ge2,0.118
F2Si2,0.666
Ga2Te2,1.297
GeTe,1.474
Hf2Se2,0.043
Hg2Te2,0.026
I2Sb2,0.586
Ir2Se2,0.305
Pt2O2,0.432
Pb2S2,0.422
Sn2S2,1.414
BaCl2,5.618
CaCl2,4.771
CdCl2,3.616
CoBr2,0.174
Co4S8,0.322
GeO2,1.457
HfTe2,0.132
HgO2,0.504
MnBr2,1.775
NiI2,0.106
Ni2Te4,0.921
Ti2O4,2.855
Os2Te4,0.713
PbTe2,0.125
PdS2,1.171
I2Sb,0.019
SnS2,1.587
SrCl2,5.267
ZrSe2,1.446
SrF2O2,2.862
Au2MoS4,0.801
Cu2WS4,1.534
Ag2ReBr6,0.562
Al2Br6,3.897
Au2Cl6,0.208
W2Cl6,0.487
Cu2Br6,0.107
Ga2Cl6,2.524
In2Cl6,2.863
Mn2Cl6,0.039
Tl2Cl6,2.425
HfTi3Te8,0.052
TiZr3Te8,0.189
Al2Br2Se2,1.535
AsBrTe,1.237
AsIS,1.336
Bi2Cl2S2,0.943
BiIS,0.401
In2Br2O2,2.29
Sc2Br2Se2,1.51
Cl2Ge2N2,1.851
ZrClI,0.877
ClSbSe,1.172
Hf2I2N2,1.585
ISbSe,1.012
ZrSSe,0.613
Ag2I2Te4,1.025
Co2H2S4,0.364
Al2P2Se6,0.602
Cr2P2Se6,0.431
Hg2P2Se6,0.606
Rh2P2Se6,0.032
Ta2P2Te6,0.179
Mo2W2Te8,0.862
HfMnF6,0.697
P2,1.929
As4S6,2.272
Mo2Cl6,0.639
V4O10,2.062
Ca2Sn4F12,3.924
Li2H4N2,2.805
Nb2Cl4Se4,1.08
Nb2Cl4S4,1.61
Ni2Ta4Se10,0.032
Sn2O6P2,0.699
W2H4O8,0.726
Zr2I2N2,0.284
Ba4F4Sb4Se8,1.386
Co2Br4O6Sb4,0.831
Cu4F4H4O4,0.384
InNaI4O12,2.81
Mg2Mo2O12Te2,3.167
Sn2H2O6P2,4.3
NiC4H8N2O4,1.326
Sn2,0.065
Al2Se2,2.138
Au2I2,0.829
BN,4.667
In2Br2,1.338
Sn2Br2,0.035
Cu2Cl2,1.228
Tl2Cl2,2.659
Pb2F2,0.122
Sn2F2,0.316
Fe2I2,0.011
H2Si2,2.171
HgTe,0.153
Ir2Se2,0.073
Pb2S2,0.17
Sn2S2,0.067
Tl2S2,0.628
BaCl2,4.747
CaCl2,5.53
CdF2,3.791
CoCl2,0.168
CrTe2,0.453
Ge2S4,0.284
HgBr2,1.982
MnCl2,1.713
Mo2S4,0.051
MoTe2,0.932
Os2O4,0.169
Os2Te4,0.117
PbO2,0.047
PtCl2,0.403
Pt2Se4,1.441
SnS2,0.763
SrF2,6.021
SrH2O2,3.702
ScO2,1.464
SnBr2,1.27
TiBr2,0.758
TiO2,2.701
VSe2,0.248
Zn2Te4,0.959
ZrSe2,0.337
Au2MoSe4,0.592
Cu2WSe4,1.235
Ag2ReCl6,0.778
Al2Br6,2.504
Co2Br6,0.027
W2Cl6,0.706
Cu2Cl6,0.426
Ga2I6,1.153
In2Cl6,3.761
Pb2Se6,0.578
Sc2Br6,2.975
Tl2Cl6,1.683
HfZr3S8,1.154
Cr3WS8,0.863
AsBrTe,1.064
AsIS,0.222
BiClS,1.43
BiIS,0.777
TiBrCl,0.83
Cr2Br2S2,0.455
In2Br2S2,1.908
Tl2Br2O2,1.013
BrSSb,1.426
CrClI,0.022
Zr2Cl2N2,1.849
Rh2Cl2S2,0.011
ClSbSe,1.674
ISbTe,1.011
ZrSSe,0.829
VSeTe,0.12
Au2Br2Se4,0.841
Cu2I2S4,0.854
Hg2P2Te6,0.363
Rh2P2Te6,0.108
Cr2Mo2S8,1.014
Ti2Zr2S8,0.845
HfMnI6,1.359
As4S6,2.255
Cr2F4,1.396
In2Te4,0.487
P8Si4,1.539
V4O8,0.304
Ag2Au2Cl8,0.909
Ca2Cl4O8,2.819
