Formula,Band gap (HSE06)
Ag2Au2Cl8,2.332
Ag2Br2,3.027
Ag2Br2S4,2.242
Ag2Br2Se4,2.262
Ag2Br2Te4,2.055
Ag2Br6,0.768
Ag2Cl2,3.2560000000000002
Ag2Cl2S4,2.252
Ag2Cl2Se4,2.421
Ag2Cl2Te4,2.098
Ag2Cl6,1.278
Ag2F2,2.1425
Ag2I2,2.8520000000000003
Ag2I2S4,2.223
Ag2I2Te4,1.889
Ag2MoO4,3.572
Ag2MoS4,2.147
Ag2MoSe4,1.774
Ag2MoTe4,1.115
Ag2O2,1.126
Ag2S2,1.557
Ag2Se2,0.5895
Ag2Te2,0.378
Ag2WO4,3.459
Ag2WS4,2.482
Ag2WSe4,2.039
Ag2WTe4,1.318
AgBiP2Se6,1.979
AgGaP2Se6,1.694
AgInP2S6,2.365
AgInP2Se6,1.707
AgScP2S6,3.453
AgScP2Se6,2.775
Al2Br2O2,5.397
Al2Br2S2,3.21
Al2Br2Se2,2.322
Al2Br6,4.33
Al2Cl2O2,7.217
Al2Cl2S2,3.303
Al2Cl2Se2,2.225
Al2Cl6,6.125500000000001
Al2FeS4,2.36
Al2I2O2,3.181
Al2I2S2,2.44
Al2I2Se2,2.239
Al2I6,2.2545
Al2Mg2Se5,2.024
Al2MgS4,3.143
Al2MgSe4,1.984
Al2O2,1.849
Al2P2S6,2.008
Al2P2Se6,1.205
Al2S2,2.913
Al2Se2,2.7935
Al2Si2Te6,1.673
Al2Te2,2.4805
Al8Te12,2.441
AlAs,2.028
AlLiP2S6,3.873
AlN,4.048
AlSb,1.996
As2,2.019
As2Br6,3.3
As2H2O10Te2,4.857
As2I6,2.625
As2O6Sb2,5.103
As4,1.324
As4Ge4Se4,2.487
As4H2O12P2,5.999
As4O12S2,5.874
As4O6,5.258
As4S6,3.236
As4Se6,2.535
As8Ge4,1.729
As8Si4,2.023
AsB,1.188
AsBrS,2.057
AsBrSe,1.969
AsBrTe,1.7505
AsClS,2.3505000000000003
AsClSe,2.2155
AsClTe,1.9855
AsIS,1.38
AsISe,1.3685
AsITe,1.187
Au2Br2,1.8216666666666665
Au2Br2Se4,1.503
Au2Br2Te4,1.621
Au2Br6,0.86
Au2Cl2,0.777
Au2Cl2Te4,1.589
Au2Cl6,1.276
Au2I2,1.6099999999999999
Au2I2Se4,1.341
Au2I2Te4,1.351
Au2MoO4,4.11
Au2MoS4,1.621
Au2MoSe4,1.247
Au2MoTe4,0.677
Au2O2,0.865
Au2ReF6,0.253
Au2S2,2.01
Au2Se2,0.7805
Au2Te2,0.38166666666666665
Au2WO4,4.436
Au2WS4,1.827
Au2WSe4,1.415
Au2WTe4,0.792
Au4I4Te4,1.672
BN,5.675
BP,1.362
BSb,0.551
Ba4F4Sb4Se8,2.045
BaBr2,5.683333333333334
BaCl2,6.499666666666667
BaF12Sb2,7.344
BaF2,7.672
BaI2,4.687
Bi2,0.611
Bi2Br2,1.041
Bi2Br2O2,2.321
Bi2Br2S2,1.621
Bi2Br2Se2,1.24
Bi2Br6,2.7105
Bi2Cd2Cl2O4,4.073
Bi2Cl2,1.078
Bi2Cl2O2,2.721
Bi2Cl2S2,1.658
Bi2Cl2Se2,1.236
Bi2Cl6,3.25
Bi2Cu2S4,0.896
Bi2F6,5.899
Bi2I2,1.02
Bi2I2O2,1.829
Bi2I2S2,1.389
Bi2I2Se2,1.18
Bi2I6,1.9925
Bi2In2,0.138
Bi2O2,1.042
Bi2OS2,1.179
Bi2OSe2,1.036
Bi2OTe2,0.685
Bi2P2S6,1.316
Bi2P2Se6,1.164
Bi2P2Te6,0.777
Bi2S2,0.4475
Bi2S2Se,0.972
Bi2S2Te,0.528
Bi2S3,1.041
Bi2SSe2,0.857
Bi2STe2,0.584
Bi2Se2,0.4413333333333333
Bi2Se3,0.752
Bi2SeTe2,0.518
Bi2Te2,0.34800000000000003
Bi2Te3,0.468
Bi4B4O12,4.227
Bi4Sr2O8,4.038
Bi8Rh4,0.01
BiBrS,1.79
BiBrSe,1.5525
BiBrTe,1.1604999999999999
BiClS,2.008
BiClSe,1.7505
BiClTe,1.1745
BiCuP2Se6,2.06
BiIS,1.326
BiISe,1.2025000000000001
BiITe,0.962
Br2Ge,2.829333333333333
Br2Ge2N2,2.54
Br2Sb2,0.439
Br6Sb2,3.085
BrSSb,1.933
BrSbSe,1.843
BrSbTe,1.717
C2F2,4.909
C2H2,4.421
C6N2,1.014
CF2Si,3.306
CH2Si,4.871
Ca2Br2H2,5.531
Ca2Cl4H8O4,7.085
Ca2Cl4O8,4.623
Ca2Sn4F12,4.948
Ca4As4,1.583
Ca4O12Te4,5.348
CaBr2,5.909333333333333
CaCl2,6.905333333333334
CaF2,8.625
CaH2S2,4.861
CaI2,4.648666666666666
Cd2H4O8Se2,5.485
Cd2P2S6,2.921
Cd2P2Se6,2.15
Cd2P2Te6,1.447
Cd2S2,1.399
Cd2S4,2.378
Cd2Se2,2.197
Cd2Se4,2.236
Cd2Te2,1.4045
Cd2Te4,1.764
Cd4I4O4,0.033
CdBr2,3.8729999999999998
CdC4Cl2H4N2,3.619
CdCl2,4.834666666666667
CdClHO,3.774
CdF2,5.883
CdF2O2,3.615
CdGaInS4,1.34
CdH2O2,3.883
CdH2S2,3.296
CdI2,2.859
CdO2,1.028
CdPb2Cl2O2,3.928
CdS2,2.38
Cl2Ge,3.200333333333333
Cl2Ge2N2,2.954
Cl2Sb2,0.431
ClSSb,2.157
ClSbSe,2.047
ClSbTe,1.8785
Co2Br2O2,0.801
Co2Br2S2,0.428
Co2Br6,3.098
Co2Cl2O2,1.027
Co2Cl2S2,0.29
Co2Cl6,3.558
Co2F2O4,2.473
Co2H2O4,2.596
Co2H2S4,1.204
Co2I2S2,0.45
Co2I6,1.876
Co4Br4O4,1.678
Co4S8,0.618
CoBr2,3.1775
CoCl2,3.2329999999999997
CoCl2O8,0.378
CoZrBr6,0.379
Cr2Br2S2,2.023
Cr2Br2Se2,1.009
Cr2Br6,3.431
Cr2Cl2O2,3.028
Cr2Cl2S2,2.144
Cr2Cl2Se2,0.914
Cr2Cl6,4.047
Cr2I2S2,1.548
Cr2I2Se2,0.895
Cr2I6,2.091
Cr2Mo2Te8,0.98
Cr2P2Se6,0.824
Cr2S4,0.125
Cr2Se4,0.045
Cr2W2S8,1.442
Cr2W2Se8,1.203
Cr2W2Te8,0.876
Cr3MoTe8,0.893
Cr3WTe8,0.841
CrMo3Se8,1.432
CrMo3Te8,1.105
CrO2,1.144
CrS2,1.351
CrSSe,1.241
CrSTe,0.45099999999999996
CrSe2,1.128
CrSeTe,0.994
CrTe2,0.869
CrW3Se8,1.333
CrW3Te8,0.937
Cs2Br2,5.145
Cs2C6N6Se6,2.808
Cs2Cl2,5.654
Cs2F2,6.059
Cu2As4Cl2S3,2.91
Cu2Br2,3.449
Cu2Br2C4H4N2,2.528
Cu2Br2S4,2.203
Cu2Br2Se4,2.315
Cu2Br2Te4,2.299
Cu2Br6,0.643
Cu2C2Cl2O2,4.689
Cu2C6H8I2N2,2.502
Cu2Cl2,3.609
Cu2Cl2Se4,2.424
Cu2Cl2Te4,2.308
Cu2Cl6,1.409
Cu2F2,0.2385
Cu2F4,0.596
Cu2Hg2Cl2Se2,2.303
Cu2I2,3.4555
Cu2I2S4,1.818
Cu2I2Se4,2.099
Cu2I2Te4,2.166
Cu2MoSe4,2.124
Cu2MoTe4,1.23
Cu2O2,1.013
Cu2O4S,3.842
Cu2S2,0.6555
Cu2S4Sb2,1.411
Cu2Sb2Se4,0.669
Cu2Se2,0.558
Cu2WS4,2.994
Cu2WSe4,2.444
Cu2WTe4,1.488
Cu4Cl4H4O4,0.009
Cu4Cl4O4,1.237
Cu4O12Te2,1.738
F2Ge,2.708
F2Ge2,0.38
F2Si2,1.492
Fe2P2Te6,1.168
Fe2S4,1.331
Fe2Se4,1.053
Fe2Te4,0.581
FeBr2,1.7085
FeCl2,1.8115
FeGa2S4,2.313
FeH2O2,1.53
FeHfBr6,3.395
FeHfCl6,3.81
FeHfF6,4.951
FeHfI6,2.795
FeI2,1.424
FeZn2C6N6,5.456
FeZrBr6,3.164
FeZrCl6,3.545
FeZrF6,4.892
FeZrI6,2.598
Ga2Br2O2,3.601
Ga2Br2S2,2.265
Ga2Br2Se2,1.352
Ga2Br6,2.9695
Ga2Cl2,3.22
Ga2Cl2O2,4.957
Ga2Cl2S2,2.23
Ga2Cl2Se2,1.243
Ga2Cl2Te2,2.893
Ga2Cl6,4.5025
Ga2Ge2Te2,1.165
Ga2H2O8Se2,5.796
Ga2I2,2.399
Ga2I2O2,1.838
Ga2I2S2,1.487
Ga2I2Se2,1.39
Ga2I6,1.2329999999999999
Ga2In2S6,2.831
Ga2O2,2.472
Ga2P2Te6,0.703
Ga2S2,3.121
Ga2Se2,1.8953333333333333
Ga2Te2,1.2326666666666668
GaAs,1.719
GaN,3.09
GaP,2.369
Ge2,0.025
Ge2H2,1.488
Ge2I2N2,0.451
Ge2P2S6,2.096
Ge2P2Se6,1.62
Ge2P2Te6,1.249
Ge2S2,1.2165
Ge2S4,0.875
Ge2Se2,0.8019999999999999
Ge2Se4,0.359
Ge2Te2,1.103
Ge2Te4,0.134
GeH2O2,2.194
GeI2,2.1305
GeO,2.811
GeO2,4.387666666666667
GeS,3.231
GeS2,1.3190000000000002
GeSe,2.915
GeSe2,0.913
GeTe,1.994
GeTe2,0.5
H2Si2,2.862
Hf2Br2N2,3.1765
Hf2Br4,1.313
Hf2CO2,1.681
Hf2Cl2N2,3.399
Hf2Cl4,1.425
Hf2Ge2Te8,1.067
Hf2I2N2,2.05
Hf2I4,1.014
Hf2O6,5.747
Hf2P2S6,1.606
Hf2P2Se6,1.099
Hf2P2Te6,0.302
Hf2S2,0.135
Hf2S6,2.109
Hf2Se2,0.0595
Hf2Se6,0.885
Hf2Te10,0.126
Hf2Te2,0.0725
Hf2Ti2S8,2.084
Hf2Ti2Se8,1.61
Hf2Ti2Te8,0.692
Hf2Zr2S8,2.148
Hf2Zr2Se8,1.715
Hf2Zr2Te8,0.717
Hf3C2O2,0.917
Hf3N2O2,0.508
Hf3TiS8,2.137
Hf3TiSe8,1.643
Hf3TiTe8,0.688
Hf3ZrS8,2.134
Hf3ZrSe8,1.692
Hf3ZrTe8,0.69
HfBr2,1.226
HfBrCl,1.361
HfBrI,1.157
HfCl2,1.471
HfClI,1.295
HfH2,0.244
HfH2O2,0.853
HfI2,1.022
HfMnI6,1.192
HfNa2H6O6,5.786
HfNiCl6,1.786
HfO2,5.475666666666666
HfS2,2.4456666666666664
HfSSe,1.5785
HfSTe,0.344
HfSe2,1.8263333333333334
HfSeTe,0.4115
HfTe2,1.2045
HfTi3S8,2.117
HfTi3Se8,1.544
HfTi3Te8,0.724
HfZr3S8,2.158
HfZr3Se8,1.729
HfZr3Te8,0.766
Hg2Br2,0.19
Hg2Cl2,0.13
Hg2I2,1.918
Hg2P2S6,1.894
Hg2P2Se6,1.337
Hg2P2Te6,0.909
Hg2Pt4Se6,0.195
Hg2Se2,0.289
Hg2Te2,0.2075
Hg3B2O6,5.206
Hg4I8,2.49
Hg4Mo2O8,3.407
Hg4W2O8,3.867
HgBr2,2.816333333333333
HgCl2,3.502666666666667
HgF2,3.875
HgH2O2,2.241
HgH2S2,3.319
HgI2,1.8953333333333333
HgO,0.025
HgS,0.724
HgSe,0.423
HgTe,0.279
I2Sb2,0.621
I6Sb2,2.484
ISSb,1.6185
ISbSe,1.5605
ISbTe,1.3820000000000001
In2Br2,1.774
In2Br2O2,3.324
In2Br2S2,2.729
In2Br2Se2,1.887
In2Br6,3.412
In2Cl2,2.517
In2Cl2O2,4.019
