"key","description","unit"
"A","Single-ion anisotropy (out-of-plane)","meV"
"E_B","Exciton binding energy from BSE","eV"
"E_x","Soc. total energy, x-direction","eV/unit cell"
"E_y","Soc. total energy, y-direction","eV/unit cell"
"E_z","Soc. total energy, z-direction","eV/unit cell"
"J","Nearest neighbor exchange coupling","meV"
"N_nn","Number of nearest neighbors",""
"Topology","Band topology",""
"age","Time since creation",""
"alphax","Static total polarizability (x)","Å"
"alphax_el","Static interband polarizability (x)","Å"
"alphax_lat","Static lattice polarizability (x)","Å"
"alphay","Static total polarizability (y)","Å"
"alphay_el","Static interband polarizability (y)","Å"
"alphay_lat","Static lattice polarizability (y)","Å"
"alphaz","Static total polarizability (z)","Å"
"alphaz_el","Static interband polarizability (z)","Å"
"alphaz_lat","Static lattice polarizability (z)","Å"
"asr_id","Material unique ID",""
"c_11","Stiffness tensor, 11-component","N/m<sup>dim-1</sup>"
"c_12","Stiffness tensor, 12-component","N/m<sup>dim-1</sup>"
"c_13","Stiffness tensor, 13-component","N/m<sup>dim-1</sup>"
"c_21","Stiffness tensor, 21-component","N/m<sup>dim-1</sup>"
"c_22","Stiffness tensor, 22-component","N/m<sup>dim-1</sup>"
"c_23","Stiffness tensor, 23-component","N/m<sup>dim-1</sup>"
"c_31","Stiffness tensor, 31-component","N/m<sup>dim-1</sup>"
"c_32","Stiffness tensor, 32-component","N/m<sup>dim-1</sup>"
"c_33","Stiffness tensor, 33-component","N/m<sup>dim-1</sup>"
"calculator","ASE-calculator name",""
"cbm","Conduction band minimum","eV"
"cbm_gw","Conduction band minimum (G₀W₀)","eV"
"cbm_hse","Conduction band minimum (HSE06)","eV"
"cell_area","Area of unit-cell","Å²Å²"
"charge","Net charge in unit cell","|e|"
"class","Material class",""
"cod_id","Related COD id",""
"crystal_type","Crystal type",""
"dE_zx","Magnetic anisotropy (E<sub>z</sub> - E<sub>x</sub>)","meV/unit cell"
"dE_zy","Magnetic anisotropy (E<sub>z</sub> - E<sub>y</sub>)","meV/unit cell"
