formula,2Dpfx,2Dpfy,CBM_GW,CBM,CBM_HSE06,Dgap_gw,Dgap_WSOC,Dgap,EBE,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM,VL,Eng,area,TDSL,CBM_HSE06.1,Eng
ScO,6.780477111111114,6.560595222222226,-0.6073088749999996,-0.7984204761904764,-1.5293384516126405,6.758352777777782,3.1160821333333324,2.8137950000000007,2.3234833333333325,6.969133333333333,5.580019444444448,3.342659166666666,-4.975169999999999,-3.366844999999996,1.841164285714286,-2.2422128551707345,18.62308133333333,2.0,-1.5293384516126405,-2.2422128551707345
ScS,6.969696777777781,6.842946888888888,-0.639003111111111,-0.903421428571428,-1.5473239158478929,5.600027777777779,1.9892319666666656,1.7053280000000002,1.6812400000000007,5.821369999999999,3.4261477777777767,1.9832234999999985,-4.093890666666664,-2.690956666666663,2.216470476190475,8.631856845426583,17.504208333333334,2.0,-1.5473239158478929,8.631856845426583
ScSe,7.200925333333336,7.203641166666663,-0.5553475972222219,-0.9127504761904756,-2.1194928652049496,5.115156111111111,1.7788531,1.457384333333333,1.3195450000000006,5.071643333333334,2.982439444444444,1.749575666666666,-3.853334666666668,-2.430418333333329,2.278890476190474,11.717522295584637,18.447787,2.0,-2.1194928652049496,11.717522295584637
ScTe,8.569012666666664,8.751402333333328,-0.3842281250000001,-0.7283723809523804,-1.781098977762977,3.905618333333336,1.417776566666665,1.547493,1.1576066666666665,3.4522766666666653,2.377117777777777,1.3603720833333333,-3.5110106666666674,-1.7224694444444428,2.492009142857144,18.102694162773084,18.897278,2.0,-1.781098977762977,18.102694162773084
YO,7.205885611111113,6.531613333333335,-0.5274227361111109,-0.6594547619047623,-1.584715561131917,6.481095555555557,2.9717564666666667,2.839955,2.30324,6.727493333333333,5.333687777777779,3.060245,-4.697120666666666,-3.031679999999996,1.9442259047619024,-5.780819661443847,20.609100666666663,2.0,-1.584715561131917,-5.7808196614438465
YS,7.655662444444441,7.271068222222221,-0.6365503749999998,-0.8273885714285707,-1.8036337169562373,5.405733888888887,1.723434666666667,1.747596,1.7504050000000002,5.465983333333332,3.090511666666666,1.7491116666666662,-3.928457333333333,-2.5861655555555534,2.2825295714285674,6.850508997676108,19.002208666666668,2.0,-1.8036337169562373,6.850508997676108
YSe,8.037532999999996,7.719144777777772,-0.5680057222222221,-0.8556476190476183,-2.1539882373041905,4.99101333333333,1.7313578000000005,1.6184400000000003,1.4060966666666668,5.02322,2.935044999999999,1.6953466666666666,-3.758592666666668,-2.383575555555555,2.280735523809521,11.905095151009869,19.69610933333333,2.0,-2.1539882373041905,11.905095151009867
YTe,8.820544333333332,8.545784777777772,-0.4872143472222223,-0.7084233333333328,-2.0617898741891656,3.841185555555556,1.477041099999999,1.6186783333333332,1.196221666666667,3.368306666666667,2.4100122222222224,1.531896583333333,-3.473273333333333,-1.7317227777777764,2.536808095238096,15.49536216828723,20.178257999999992,2.0,-2.0617898741891656,15.49536216828723
LaO,7.2900200555555585,7.208930222222223,-0.4741022083333333,-0.5917980952380956,-1.4421532335978426,6.290949999999994,2.912312466666667,2.8790883333333324,2.15951,6.2395266666666656,5.052040555555559,3.10638,-4.6632240000000005,-2.774978888888887,2.0071939999999984,-6.052048641218587,22.287108999999983,2.0,-1.4421532335978426,-6.052048641218587
LaS,8.241668222222216,7.501202888888885,-0.6477396666666668,-0.7942814285714276,-1.731759492088317,5.193873333333331,1.877337133333333,1.987524,1.6764300000000003,5.38706,2.999188333333332,1.8278831666666664,-3.9364186666666687,-2.568146666666663,2.200653523809521,5.879584818255943,20.46888,2.0,-1.731759492088317,5.8795848182559425
