formula,plasmafrequency_x,plasmafrequency_y,cbm_gw,cbm,cbm_hse,gap_dir_gw,gap_dir_nosoc,gap_dir,E_B,gap_gw,gap_hse,gap_nosoc,vbm_gw,vbm,evac,energy,cell_area,thermodynamic_stability_level,gap,vbm_hse,gap_dir_hse,vbm_hse - evac,cbm_hse - evac
ScO,6.78047711111111,6.56059522222223,-0.607308875,-0.798420476190476,-1.52933845161264,6.75835277777778,3.11608213333333,2.813795,2.32348333333333,6.96913333333333,5.58001944444445,3.34265916666667,-4.97517,-3.366845,1.84116428571429,-2.24221285517073,18.6230813333333,2,2.863730952380953,-4.445213749999999,5.856991666666667,-6.286378035714289,-3.3705027373269303
ScS,6.96969677777778,6.84294688888889,-0.639003111111111,-0.903421428571428,-1.54732391584789,5.60002777777778,1.98923196666667,1.705328,1.68124,5.82137,3.42614777777778,1.9832235,-4.09389066666666,-2.69095666666666,2.21647047619048,8.63185684542658,17.5042083333333,2,2.043186,-3.2476854166666658,3.485155,-5.464155892857146,-3.76379439203837
ScSe,7.20092533333334,7.20364116666666,-0.555347597222222,-0.912750476190475,-2.11949286520495,5.11515611111111,1.7788531,1.45738433333333,1.319545,5.07164333333333,2.98243944444444,1.74957566666667,-3.85333466666667,-2.43041833333333,2.27889047619047,11.7175222955846,18.447787,2,1.746983571428571,-2.835529583333332,2.9035012499999997,-5.114420059523802,-4.398383341395419
ScTe,8.56901266666666,8.75140233333333,-0.384228125,-0.72837238095238,-1.78109897776298,3.90561833333334,1.41777656666667,1.547493,1.15760666666667,3.45227666666667,2.37711777777778,1.36037208333333,-3.51101066666667,-1.72246944444444,2.49200914285714,18.1026941627731,18.897278,2,1.284071761904762,-2.1888374999999995,2.3287041666666664,-4.680846642857139,-4.27310812062012
YO,7.20588561111111,6.53161333333334,-0.527422736111111,-0.659454761904762,-1.58471556113192,6.48109555555556,2.97175646666667,2.839955,2.30324,6.72749333333333,5.33368777777778,3.060245,-4.69712066666667,-3.03168,1.9442259047619,-5.78081966144385,20.6091006666667,2,2.716483809523809,-3.951373749999998,5.645798333333333,-5.895599654761898,-3.52894146589382
YS,7.65566244444444,7.27106822222222,-0.636550375,-0.827388571428571,-1.80363371695624,5.40573388888889,1.72343466666667,1.747596,1.750405,5.46598333333333,3.09051166666667,1.74911166666667,-3.92845733333333,-2.58616555555555,2.28252957142857,6.85050899767611,19.0022086666667,2,1.899799142857144,-3.264985416666666,3.4019995833333327,-5.5475149880952355,-4.08616328838481
YSe,8.037533,7.71914477777777,-0.568005722222222,-0.855647619047618,-2.15398823730419,4.99101333333333,1.7313578,1.61844,1.40609666666667,5.02322,2.935045,1.69534666666667,-3.75859266666667,-2.38357555555555,2.28073552380952,11.9050951510099,19.6961093333333,2,1.70828180952381,-2.876760833333333,2.7957579166666666,-5.157496357142853,-4.434723761113711
YTe,8.82054433333333,8.54578477777777,-0.487214347222222,-0.708423333333333,-2.06178987418917,3.84118555555556,1.4770411,1.61867833333333,1.19622166666667,3.36830666666667,2.41001222222222,1.53189658333333,-3.47327333333333,-1.73172277777778,2.5368080952381,15.4953621682872,20.178258,2,1.338190809523809,-2.2099145833333336,2.0961525,-4.746722678571434,-4.59859796942727
LaO,7.29002005555556,7.20893022222222,-0.474102208333333,-0.591798095238096,-1.44215323359784,6.29094999999999,2.91231246666667,2.87908833333333,2.15951,6.23952666666667,5.05204055555556,3.10638,-4.663224,-2.77497888888889,2.007194,-6.05204864121859,22.287109,2,2.611935714285716,-3.855348333333331,5.316481666666666,-5.862542333333331,-3.44934723359784
LaS,8.24166822222222,7.50120288888889,-0.647739666666667,-0.794281428571428,-1.73175949208832,5.19387333333333,1.87733713333333,1.987524,1.67643,5.38706,2.99918833333333,1.82788316666667,-3.93641866666667,-2.56814666666666,2.20065352380952,5.87958481825594,20.46888,2,1.7881710000000004,-3.355657916666664,3.1833712499999995,-5.556311440476184,-3.93241301589784
