formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,TDSL
ScO,6.780477111111114,6.560595222222226,18.62308133333333,-0.6073088749999996,-0.3357761111111111,-0.7984204761904764,6.758352777777782,5.856991666666667,3.1160821333333324,2.8137950000000007,2.3234833333333325,-12.353865925925922,6.969133333333333,5.580019444444448,3.342659166666666,-4.975169999999999,-4.445213749999999,-3.366844999999996,1.841164285714286,2.0
ScS,6.969696777777781,6.842946888888888,17.504208333333334,-0.639003111111111,-0.5882388888888889,-0.903421428571428,5.600027777777779,3.485155,1.9892319666666656,1.7053280000000002,1.6812400000000007,-8.591757962962962,5.821369999999999,3.4261477777777767,1.9832234999999985,-4.093890666666664,-3.2476854166666658,-2.690956666666663,2.216470476190475,2.0
ScSe,7.200925333333336,7.203641166666663,18.447787,-0.5553475972222219,-0.5335505555555555,-0.9127504761904756,5.115156111111111,2.90350125,1.7788531,1.457384333333333,1.3195450000000006,-7.9381116666666625,5.071643333333334,2.982439444444444,1.749575666666666,-3.853334666666668,-2.835529583333332,-2.430418333333329,2.278890476190474,2.0
ScTe,8.569012666666664,8.751402333333328,18.897278,-0.3842281250000001,-0.348435,-0.7283723809523804,3.905618333333336,2.3287041666666664,1.417776566666665,1.547493,1.1576066666666665,-7.579105925925924,3.4522766666666653,2.377117777777777,1.3603720833333333,-3.5110106666666674,-2.1888374999999995,-1.7224694444444428,2.492009142857144,2.0
YO,7.205885611111113,6.531613333333335,20.609100666666663,-0.5274227361111109,-0.3313816666666668,-0.6594547619047623,6.481095555555557,5.645798333333333,2.9717564666666667,2.839955,2.30324,-11.841529259259248,6.727493333333333,5.333687777777779,3.060245,-4.697120666666666,-3.951373749999998,-3.031679999999996,1.9442259047619024,2.0
YS,7.655662444444441,7.271068222222221,19.002208666666668,-0.6365503749999998,-0.5318422222222222,-0.8273885714285707,5.405733888888887,3.4019995833333327,1.723434666666667,1.747596,1.7504050000000002,-8.625605925925925,5.465983333333332,3.090511666666666,1.7491116666666662,-3.928457333333333,-3.264985416666666,-2.5861655555555534,2.2825295714285674,2.0
YSe,8.037532999999996,7.719144777777772,19.69610933333333,-0.5680057222222221,-0.5477805555555557,-0.8556476190476183,4.99101333333333,2.7957579166666666,1.7313578000000005,1.6184400000000003,1.4060966666666668,-8.095502962962959,5.02322,2.935044999999999,1.6953466666666666,-3.758592666666668,-2.876760833333333,-2.383575555555555,2.280735523809521,2.0
YTe,8.820544333333332,8.545784777777772,20.178257999999992,-0.4872143472222223,-0.4870777777777779,-0.7084233333333328,3.841185555555556,2.0961525,1.477041099999999,1.6186783333333332,1.196221666666667,-7.566469259259255,3.368306666666667,2.4100122222222224,1.531896583333333,-3.473273333333333,-2.2099145833333336,-1.7317227777777764,2.536808095238096,2.0
LaO,7.2900200555555585,7.208930222222223,22.287108999999983,-0.4741022083333333,-0.1976727777777777,-0.5917980952380956,6.290949999999994,5.316481666666666,2.912312466666667,2.8790883333333324,2.15951,-11.029832777777772,6.2395266666666656,5.052040555555559,3.10638,-4.6632240000000005,-3.855348333333331,-2.774978888888887,2.0071939999999984,2.0
LaS,8.241668222222216,7.501202888888885,20.46888,-0.6477396666666668,-0.4181744444444444,-0.7942814285714276,5.193873333333331,3.1833712499999995,1.877337133333333,1.987524,1.6764300000000003,-8.467897037037035,5.38706,2.999188333333332,1.8278831666666664,-3.9364186666666687,-3.355657916666664,-2.568146666666663,2.200653523809521,2.0
LaSe,8.287407555555552,8.458329222222217,20.53759633333333,-0.622966111111111,-0.5324811111111112,-0.7952514285714274,4.892583888888886,2.90251625,1.8142858,1.7094110000000002,1.5115650000000005,-8.015310555555551,4.892676666666667,2.9355733333333327,1.7431648333333325,-3.763670000000002,-3.1047199999999986,-2.455558888888887,2.251950047619046,2.0
LaTe,9.149913333333336,8.934819444444438,20.683236666666662,-0.5272552777777778,-0.5148072222222222,-0.7217823809523802,3.824918888888888,2.013762916666667,1.5716729,1.6575116666666665,1.1655433333333334,-7.604129629629624,3.335516666666666,2.3153572222222216,1.5677162499999993,-3.42735,-2.5448145833333333,-1.8728694444444431,2.432548857142855,2.0
TiO,6.664879555555558,5.932256000000002,13.489681333333328,-0.5627814166666663,-0.2485972222222222,-0.7315190476190484,4.83369388888889,3.940169166666668,2.086483666666666,2.563231666666665,1.847515000000001,-13.032472407407402,4.568613333333334,3.454431111111111,2.0894175000000006,-4.534792666666664,-2.691382083333332,-2.2311311111111114,2.32757895238095,2.0
TiS,6.937129111111116,6.210536277777778,14.07784433333334,-0.6696169999999995,-0.5774244444444444,-0.8552395238095234,3.7185438888888895,2.267589166666666,1.5536150333333336,1.6675016666666669,1.2835200000000002,-9.379316666666666,3.9851833333333326,2.198646111111111,1.5209566666666674,-3.8479933333333305,-2.1572191666666662,-2.1047272222222224,2.6338612380952364,2.0
TiSe,6.811906222222224,6.526758611111108,15.254560333333334,-0.496174972222222,-0.5040350000000001,-0.7894395238095233,3.3822333333333336,1.7169504166666667,1.271826200000001,1.3606053333333332,1.0672283333333332,-8.394434814814815,3.164473333333332,1.6450119444444442,1.2629826666666673,-3.639741999999999,-1.8310995833333328,-1.8139166666666653,2.581288238095235,2.0
TiTe,7.628108166666667,7.801304277777773,16.02101666666666,-0.3321111388888891,-0.1851022222222222,-0.6114804761904761,3.060959444444445,1.5337554166666665,1.0944103666666667,1.3081896666666668,0.7325349999999998,-7.982415740740738,3.012696666666668,1.631574166666666,1.1675035833333334,-3.3376313333333334,-1.4318866666666676,-1.3445755555555543,2.7909485238095217,2.0
ZrO,7.637170722222222,6.101513000000002,14.921850333333332,-0.3861498055555555,-0.0110111111111111,-0.3234333333333333,4.306515000000004,3.7507383333333335,2.2064125,2.387068333333333,1.7518449999999997,-13.219123888888884,4.301603333333333,2.8367927777777786,1.8689638333333327,-4.329233333333332,-1.424112916666666,-1.4891250000000018,3.1521034761904705,2.0
ZrS,7.2034910000000005,6.317217666666669,15.04926466666667,-0.5863821666666664,-0.5190683333333334,-0.5664523809523804,3.480437222222222,2.02431375,1.453077100000001,1.5203909999999998,1.1146333333333336,-10.094831666666662,3.5763033333333336,1.6908244444444434,1.4121563333333338,-3.787846,-1.4015870833333333,-1.2753427777777775,3.4799621428571386,2.0
ZrSe,7.717882944444446,6.936874777777775,15.243820666666666,-0.5287327638888888,-0.5037305555555556,-0.5653809523809519,3.172945000000001,1.6312270833333329,1.3826035666666665,1.3144816666666668,1.1004600000000004,-9.52358222222222,3.1549033333333325,1.616398333333334,1.2414915,-3.5825346666666675,-1.198789166666667,-1.0967844444444443,3.6435490476190417,2.0
ZrTe,8.341547611111112,8.442718833333332,16.125267666666662,-0.3836394861111112,-0.2198422222222223,-0.3403395238095237,2.856290000000002,1.4740645833333326,1.197868133333334,1.183193333333333,0.7741416666666663,-8.931141111111106,2.9172466666666668,1.6708430555555558,1.2008974166666668,-3.240186666666668,-0.5937899999999996,-0.6766299999999996,3.975677666666665,2.0
HfO,7.4314905,6.171154555555557,15.055652,-0.2903900972222222,0.0249933333333333,-0.3263985714285716,4.112527222222221,3.1777245833333336,2.2954397666666675,2.341991333333333,1.58272,-12.526065555555554,4.089823333333334,2.196919444444444,1.7142735,-4.156719999999999,-1.0081212499999994,-1.0155750000000003,3.367093428571426,2.0
HfS,7.131962777777778,6.382968111111111,15.137714166666663,-0.534000833333333,-0.3737011111111111,-0.4304752380952384,3.274000555555556,1.6875091666666662,1.448216,1.640634666666667,1.1039766666666664,-10.468881111111106,3.4135533333333337,1.4708761111111108,1.305513166666667,-3.619090000000004,-1.1754487500000006,-1.0314549999999998,3.745204809523804,2.0
HfSe,7.339002722222223,7.010840666666668,15.477728999999997,-0.5348404583333329,-0.3290077777777777,-0.5151676190476184,2.958925555555558,1.6406849999999995,1.296502966666666,1.370235,1.0964716666666672,-10.152406481481474,3.0854533333333323,1.5858666666666663,1.163590166666666,-3.460576000000002,-1.080518333333334,-0.9245288888888896,3.9078758095238046,2.0
HfTe,8.174395944444447,8.695223499999997,16.21888233333333,-0.388348277777778,-0.1888366666666666,-0.3355071428571426,2.717274444444446,1.539456666666666,1.1685779666666671,1.1384856666666665,0.6788116666666663,-9.638497037037032,2.653846666666668,1.5616127777777775,1.1298334166666664,-3.124616000000002,-0.4375466666666663,-0.614996111111111,4.10325914285714,2.0
VO,6.3856397222222245,5.783490000000004,11.538691666666669,-0.5618452083333333,-0.2558483333333333,-0.980824761904762,4.410532222222227,2.548661666666668,1.8260061333333333,1.6643186666666665,1.6855683333333338,-14.153506111111104,4.087563333333334,2.2951105555555555,1.7467590000000006,-4.470811999999996,-2.312009166666666,-2.143810555555558,2.701051476190474,2.0
