formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
ScO,6.780477111,6.560595222,18.62308133,-0.607308875,-0.335776111,-0.798420476,6.758352778,5.856991667,3.116082133,2.813795,2.323483333,-12.35386593,6.969133333,5.580019444,3.342659167,-4.97517,-4.44521375,-3.366845,1.841164286,-6.286378036,-2.176940397,2.0
ScS,6.969696778,6.842946889,17.50420833,-0.639003111,-0.588238889,-0.903421429,5.600027778,3.485155,1.989231967,1.705328,1.68124,-8.591757963,5.82137,3.426147778,1.9832235,-4.093890667,-3.247685417,-2.690956667,2.216470476,-5.464155893,-2.804709365,2.0
ScSe,7.200925333,7.203641167,18.447787,-0.555347597,-0.533550556,-0.912750476,5.115156111,2.90350125,1.7788531,1.457384333,1.319545,-7.938111667,5.071643333,2.982439444,1.749575667,-3.853334667,-2.835529583,-2.430418333,2.278890476,-5.11442006,-2.812441032,2.0
ScTe,8.569012667,8.751402333,18.897278,-0.384228125,-0.348435,-0.728372381,3.905618333,2.328704167,1.417776567,1.547493,1.157606667,-7.579105926,3.452276667,2.377117778,1.360372083,-3.511010667,-2.1888375,-1.722469444,2.492009143,-4.680846643,-2.840444143,2.0
YO,7.205885611,6.531613333,20.60910067,-0.527422736,-0.331381667,-0.659454762,6.481095556,5.645798333,2.971756467,2.839955,2.30324,-11.84152926,6.727493333,5.333687778,3.060245,-4.697120667,-3.95137375,-3.03168,1.944225905,-5.895599655,-2.275607571,2.0
YS,7.655662444,7.271068222,19.00220867,-0.636550375,-0.531842222,-0.827388571,5.405733889,3.401999583,1.723434667,1.747596,1.750405,-8.625605926,5.465983333,3.090511667,1.749111667,-3.928457333,-3.264985417,-2.586165556,2.282529571,-5.547514988,-2.814371794,2.0
YSe,8.037533,7.719144778,19.69610933,-0.568005722,-0.547780556,-0.855647619,4.991013333,2.795757917,1.7313578,1.61844,1.406096667,-8.095502963,5.02322,2.935045,1.695346667,-3.758592667,-2.876760833,-2.383575556,2.280735524,-5.157496357,-2.828516079,2.0
YTe,8.820544333,8.545784778,20.178258,-0.487214347,-0.487077778,-0.708423333,3.841185556,2.0961525,1.4770411,1.618678333,1.196221667,-7.566469259,3.368306667,2.410012222,1.531896583,-3.473273333,-2.209914583,-1.731722778,2.536808095,-4.746722679,-3.023885873,2.0
LaO,7.290020056,7.208930222,22.287109,-0.474102208,-0.197672778,-0.591798095,6.29095,5.316481667,2.912312467,2.879088333,2.15951,-11.02983278,6.239526667,5.052040556,3.10638,-4.663224,-3.855348333,-2.774978889,2.007194,-5.862542333,-2.204866778,2.0
LaS,8.241668222,7.501202889,20.46888,-0.647739667,-0.418174444,-0.794281429,5.193873333,3.18337125,1.877337133,1.987524,1.67643,-8.467897037,5.38706,2.999188333,1.827883167,-3.936418667,-3.355657917,-2.568146667,2.200653524,-5.55631144,-2.618827968,2.0
LaSe,8.287407556,8.458329222,20.53759633,-0.622966111,-0.532481111,-0.795251429,4.892583889,2.90251625,1.8142858,1.709411,1.511565,-8.015310556,4.892676667,2.935573333,1.743164833,-3.76367,-3.10472,-2.455558889,2.251950048,-5.356670048,-2.784431159,2.0
LaTe,9.149913333,8.934819444,20.68323667,-0.527255278,-0.514807222,-0.721782381,3.824918889,2.013762917,1.5716729,1.657511667,1.165543333,-7.60412963,3.335516667,2.315357222,1.56771625,-3.42735,-2.544814583,-1.872869444,2.432548857,-4.97736344,-2.947356079,2.0
TiO,6.664879556,5.932256,13.48968133,-0.562781417,-0.248597222,-0.731519048,4.833693889,3.940169167,2.086483667,2.563231667,1.847515,-13.03247241,4.568613333,3.454431111,2.0894175,-4.534792667,-2.691382083,-2.231131111,2.327578952,-5.018961036,-2.576176175,2.0
TiS,6.937129111,6.210536278,14.07784433,-0.669617,-0.577424444,-0.855239524,3.718543889,2.267589167,1.553615033,1.667501667,1.28352,-9.379316667,3.985183333,2.198646111,1.520956667,-3.847993333,-2.157219167,-2.104727222,2.633861238,-4.791080405,-3.211285683,2.0
TiSe,6.811906222,6.526758611,15.25456033,-0.496174972,-0.504035,-0.789439524,3.382233333,1.716950417,1.2718262,1.360605333,1.067228333,-8.394434815,3.164473333,1.645011944,1.262982667,-3.639742,-1.831099583,-1.813916667,2.581288238,-4.412387821,-3.085323238,2.0
TiTe,7.628108167,7.801304278,16.02101667,-0.332111139,-0.185102222,-0.611480476,3.060959444,1.533755417,1.094410367,1.308189667,0.732535,-7.982415741,3.012696667,1.631574167,1.167503583,-3.337631333,-1.431886667,-1.344575556,2.790948524,-4.22283519,-2.976050746,2.0
ZrO,7.637170722,6.101513,14.92185033,-0.386149806,-0.011011111,-0.323433333,4.306515,3.750738333,2.2064125,2.387068333,1.751845,-13.21912389,4.301603333,2.836792778,1.868963833,-4.329233333,-1.424112917,-1.489125,3.152103476,-4.576216393,-3.163114587,2.0
ZrS,7.203491,6.317217667,15.04926467,-0.586382167,-0.519068333,-0.566452381,3.480437222,2.02431375,1.4530771,1.520391,1.114633333,-10.09483167,3.576303333,1.690824444,1.412156333,-3.787846,-1.401587083,-1.275342778,3.479962143,-4.881549226,-3.999030476,2.0
