formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Mn2STe,6.105144722,5.292520722,13.83372967,-0.607549736,-0.076012778,-0.612239524,2.81001,0.9893925,0.956800833,0.764116333,0.845317778,-10.6489237,2.515973333,1.319865,0.93436575,-3.72764,-2.12080875,-1.700465,4.071669524,-6.192478274,-4.147682302,3.0
Mn2Se3,5.498674222,5.546472222,18.284857,-0.481780583,-0.35392,-0.969459524,3.424599444,1.753696667,1.377282167,1.255893,0.885211667,-15.02823631,2.971116667,1.428133056,1.0813175,-3.871733333,-2.511567292,-2.195592222,3.181115,-5.692682292,-3.535035,3.0
Mn2S1Se2,5.275902833,5.251603333,17.4031975,-0.567289611,-0.344987222,-0.885423333,3.215033889,1.537739167,1.290770167,0.969325667,0.925699444,-15.74868472,3.02241,1.485184167,1.009047667,-3.929152,-2.605711458,-2.063878889,3.165963905,-5.771675363,-3.510951127,3.0
CrSe2,7.321812556,6.545808778,11.88219667,-0.312631917,-0.553545,-1.135457143,3.319540556,2.223911667,1.2593652,1.33664,0.89184,-9.856497222,2.54087,1.701283611,1.070179833,-3.48721,-2.527714167,-2.357621111,3.179906476,-5.707620643,-3.733451476,3.0
MnSe2,5.9473335,6.326022889,12.84852833,-0.579837139,-0.940821111,-1.41572381,3.704332778,2.169806667,1.6245244,1.612616667,0.873078333,-8.33813463,3.007703333,1.917383889,1.418090833,-4.062746667,-3.150383333,-2.787392778,3.063268571,-6.213651905,-4.004089683,3.0
FeSe2,6.366116667,7.081526333,12.435956,-0.641319236,-1.106278889,-1.465428571,3.574102778,2.0909925,1.270938067,1.45943,0.87134,-7.664180185,2.744963333,1.799155,1.135065333,-3.768188667,-3.19365,-2.848913889,3.095997143,-6.289647143,-4.202276032,3.0
CoSe2,8.079801167,7.373549111,12.56250567,-0.681157167,-1.223341111,-1.681757143,3.585988333,2.110029167,1.507347433,1.59904,0.937936667,-6.318918333,3.117693333,1.821255,1.253079667,-3.770862,-3.099349167,-2.872197778,2.940988571,-6.040337738,-4.164329683,3.0
WSTe,7.597032556,6.652719,12.10844067,0.763311181,0.591300556,0.287354286,2.44163,1.73311,1.045193867,1.044304,0.732033333,-11.68186741,2.310153333,1.634901111,0.874961833,-2.850238,-0.899049583,-0.842139444,4.805583238,-5.704632821,-4.214282683,3.0
Mn2O1Te3,4.942978833,6.389359778,20.87618883,-0.605239736,-0.605622222,-1.278092857,3.374096667,1.644800833,1.277198367,1.014048333,0.941586667,-23.59243637,2.802896667,1.388708889,1.272455,-3.626893333,-2.73047625,-2.275081111,3.45312781,-6.18360406,-4.058750032,3.0
Mn2S1Se3,4.6792935,5.717905722,21.93942667,-0.475743042,-0.667535556,-1.32397,3.165761667,1.864790833,1.381222467,1.39006,0.812167778,-24.47290959,2.832423333,1.471512778,1.276743,-3.779147333,-2.689105625,-2.459382222,3.289241048,-5.978346673,-3.956776603,3.0
MnSSe,5.304466,5.351885444,12.450355,-0.631774375,-0.918215,-1.298219524,3.665253889,2.309243333,1.579873167,1.273114667,0.878724444,-8.761675741,2.901133333,1.980248333,1.443794167,-4.134244667,-3.434510417,-2.788869444,2.672390476,-6.106900893,-3.590605476,3.0
MnSTe,5.377457333,5.218033667,13.45766233,-0.701621097,-0.781442222,-1.160602381,3.365332222,1.847523333,1.422521667,1.030219833,0.648538333,-8.46535463,2.85282,1.657955556,1.364885833,-3.946673333,-3.032484583,-2.520087778,2.661208095,-5.693692679,-3.442650317,3.0
Mn2S3Te1,4.736501778,5.731188333,21.18448933,-0.570760486,-0.780596111,-1.335439048,3.117523333,2.191759167,1.461158067,1.7046,0.891516667,-24.16977306,3.06922,2.011627778,1.510986333,-3.843607333,-3.059902708,-2.844496111,3.112183333,-6.172086042,-3.892779444,3.0
Mn2Se3Te1,4.750795833,5.773512444,24.192073,-0.344514653,-0.627251667,-1.24540119,3.003895556,1.65746,1.2058286,1.023036667,0.742874444,-21.22846796,2.306486667,1.268919722,1.1434115,-3.363289333,-2.589707083,-2.268902778,3.233247143,-5.822954226,-3.86049881,3.0
Tc2O1Te3,5.881271833,6.441593944,22.2473105,-0.151856903,-0.648170556,-0.946808571,2.088319444,1.406728333,1.006470567,0.964858333,0.917052222,-34.43279244,1.74983,1.263870833,0.704452417,-1.576376,-2.121354167,-1.727256667,3.657144905,-5.778499071,-4.30531546,3.0
TcSSe,5.554871278,5.541406722,11.27443233,-0.526188778,-0.431107222,-0.977049048,2.952781111,2.1308425,1.1347805,1.229652,0.831451667,-11.2630733,2.511246667,1.771523056,0.918415,-3.375538,-2.07371875,-1.710637778,3.986362952,-6.060081702,-4.417470175,3.0
Tc2S3Te1,5.437953611,6.228322778,22.44694483,-0.178339625,-0.418288333,-0.989300952,2.462611667,1.429294167,0.790751233,0.960963333,0.860581667,-35.88103883,2.355073333,1.299411111,0.719901667,-2.086554667,-2.190364583,-1.888170556,3.445384095,-5.635748679,-3.863672429,3.0
Re2O1Se3,5.759258444,7.449785778,17.32799917,0.152432625,-0.69298,-0.891101429,2.588083889,1.561815,1.141300367,1.068303333,0.93979,-40.14666783,2.45151,1.320680556,0.997101,-1.918625333,-2.274796667,-1.955936111,3.48728281,-5.762079476,-4.18026281,3.0
Re2S3Se1,6.086514167,6.949556556,21.35115217,0.164783431,-0.146532222,-0.831352857,2.405052778,1.190414167,0.9289325,0.922188333,0.807694444,-38.21705506,2.23702,1.1788975,0.889016833,-2.133842,-1.867676667,-1.626983889,3.848969857,-5.716646524,-3.995502079,3.0
Fe2S1Se3,4.977620667,6.352987278,21.6540445,-0.679862,-1.053847778,-1.380798095,2.893347222,1.813695,1.076414867,1.227727333,0.911193333,-23.76959002,2.32729,1.493186667,0.862133333,-3.41588,-2.814519167,-2.522892778,3.22707719,-6.041596357,-4.280924968,3.0
