formula,plasmafrequency_x,plasmafrequency_y,cbm_gw,cbm,cbm_hse,gap_dir_gw,gap_dir_nosoc,gap_dir,E_B,gap_gw,gap_hse,gap_nosoc,vbm_gw,vbm,evac,energy,cell_area,thermodynamic_stability_level,gap,vbm_hse,gap_dir_hse,vbm_hse - evac,cbm_hse - evac
Mn2STe,6.10514472222223,5.29252072222223,-0.607549736111111,-0.612239523809523,-0.328202042373669,2.81001,0.956800833333334,0.764116333333333,0.845317777777778,2.51597333333333,1.319865,0.93436575,-3.72764,-1.700465,4.07166952380952,-16.4856729008448,13.8337296666667,3,0.7644852380952383,-2.12080875,0.9893925,-6.19247827380952,-4.399871566183189
Mn2Se3,5.49867422222222,5.54647222222222,-0.481780583333333,-0.969459523809524,-0.158240783979647,3.42459944444444,1.37728216666667,1.255893,0.885211666666667,2.97111666666667,1.42813305555556,1.0813175,-3.87173333333333,-2.19559222222222,3.181115,-17.502069256519,18.284857,3,1.050984904761906,-2.5115672916666654,1.753696666666667,-5.6926822916666655,-3.3393557839796477
Mn2S1Se2,5.27590283333333,5.25160333333334,-0.567289611111111,-0.885423333333334,0.291927822178335,3.21503388888889,1.29077016666667,0.969325666666667,0.925699444444445,3.02241,1.48518416666667,1.00904766666667,-3.929152,-2.06387888888889,3.16596390476191,-28.7610890952315,17.4031975,3,0.97659042857143,-2.605711458333333,1.537739166666667,-5.771675363095243,-2.874036082583575
MnSe2,5.9473335,6.32602288888889,-0.579837138888889,-1.41572380952381,-1.2608427882161,3.70433277777778,1.6245244,1.61261666666667,0.873078333333334,3.00770333333333,1.91738388888889,1.41809083333333,-4.06274666666666,-2.78739277777778,3.06326857142857,3.60344746949892,12.8485283333333,3,1.417223761904763,-3.150383333333337,2.1698066666666667,-6.213651904761907,-4.32411135964467
FeSe2,6.36611666666667,7.08152633333333,-0.641319236111111,-1.46542857142857,-1.19743273714461,3.57410277777778,1.27093806666667,1.45943,0.87134,2.74496333333333,1.799155,1.13506533333333,-3.76818866666666,-2.84891388888889,3.09599714285714,6.94876307915098,12.435956,3,1.193874190476192,-3.193650000000001,2.0909925,-6.289647142857142,-4.29342988000175
CoSe2,8.07980116666666,7.37354911111111,-0.681157166666667,-1.68175714285714,-1.34142721128128,3.58598833333333,1.50734743333333,1.59904,0.937936666666666,3.11769333333333,1.821255,1.25307966666667,-3.770862,-2.87219777777778,2.94098857142857,7.03647033265116,12.5625056666667,3,1.3025711904761923,-3.0993491666666646,2.110029166666667,-6.040337738095235,-4.28241578270985
WSTe,7.59703255555556,6.652719,0.763311180555555,0.287354285714286,0.40382501842916,2.44163,1.04519386666667,1.044304,0.732033333333334,2.31015333333333,1.63490111111111,0.874961833333333,-2.850238,-0.842139444444445,4.80558323809524,-2.96766883434783,12.1084406666667,3,0.8437797619047617,-0.8990495833333337,1.7331099999999986,-5.704632821428573,-4.40175821966608
Mn2O1Te3,4.94297883333334,6.38935977777778,-0.605239736111111,-1.27809285714286,-0.848362328074212,3.37409666666667,1.27719836666667,1.01404833333333,0.941586666666666,2.80289666666667,1.38870888888889,1.272455,-3.62689333333333,-2.27508111111111,3.45312780952381,-34.2547763739681,20.8761888333333,3,1.071928095238096,-2.730476249999998,1.6448008333333328,-6.183604059523808,-4.301490137598022
MnSSe,5.304466,5.35188544444444,-0.631774375,-1.29821952380952,-1.43341535477154,3.66525388888889,1.57987316666667,1.27311466666667,0.878724444444445,2.90113333333333,1.98024833333333,1.44379416666667,-4.13424466666666,-2.78886944444444,2.67239047619048,-5.86542828946915,12.450355,3,1.3895865238095244,-3.434510416666669,2.3092433333333333,-6.1069008928571495,-4.10580583096202
MnSTe,5.37745733333333,5.21803366666666,-0.701621097222222,-1.16060238095238,-1.33189437600699,3.36533222222222,1.42252166666667,1.03021983333333,0.648538333333333,2.85282,1.65795555555556,1.36488583333333,-3.94667333333333,-2.52008777777778,2.6612080952381,-6.56163257428522,13.4576623333333,3,1.177340047619048,-3.032484583333335,1.847523333333333,-5.693692678571435,-3.9931024712450895
